dataset,year_wave,file,format,size_mb,rows,cols,n_var_labels,has_var_labels,n_value_label_sets,has_value_labels,encoding,read_error
ACWF (中国妇女地位调查),1990,surveys/中国妇女地位调查/1990/w1990.dta,stata,5.23,23740,168,163,True,138,True,,
ACWF (中国妇女地位调查),1990,surveys/中国妇女地位调查/1990/w1990_fixed.dta,stata,27.34,23740,168,163,True,138,True,,
ACWF (中国妇女地位调查),2000,surveys/中国妇女地位调查/2000/village.dta,stata,0.2,1184,115,109,True,82,True,,
ACWF (中国妇女地位调查),2000,surveys/中国妇女地位调查/2000/w2000.dta,stata,8.52,19449,347,346,True,336,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/2010年全国样本加权库--11.2最终库-2013.9.17给扩展专家.DTA,stata,138.71,29693,1226,1224,True,423,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/2010年妇女社会地位调查--儿童数据库.DTA,stata,84.44,19894,1226,1226,True,412,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/2010年妇女社会地位调查--大学生数据库.DTA,stata,6.2,5032,287,287,True,233,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/2010年妇女社会地位调查--流动数据库.DTA,stata,5.54,2154,1196,1195,True,389,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/2010年妇女社会地位调查--老年数据库.DTA,stata,16.96,10575,425,425,True,131,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/2010年妇女社会地位调查--高层数据库.DTA,stata,15.37,6788,527,527,True,192,True,,
ACWF (中国妇女地位调查),2010,surveys/中国妇女地位调查/2010/w2010.DTA,stata,187.14,29693,1226,1224,True,423,True,,
CEPS,,surveys/CEPS13-14/CEPS基线调查学校数据.dta,stata,0.31,112,363,363,True,64,True,,
CEPS,,surveys/CEPS13-14/CEPS基线调查学生数据.dta,stata,7.07,19487,300,300,True,69,True,,
CEPS,,surveys/CEPS13-14/CEPS基线调查家长数据.dta,stata,6.17,19487,237,237,True,66,True,,
CEPS,,surveys/CEPS13-14/CEPS基线调查班级数据.dta,stata,0.97,438,853,853,True,85,True,,
CEPS,,surveys/CEPS13-14/CEPS追访学生数据.dta,stata,4.22,10750,311,311,True,59,True,,
CEPS,,surveys/CEPS13-14/bak.stunicode/CEPS基线调查学校数据.dta,stata,0.14,112,363,363,True,64,True,,
CEPS,,surveys/CEPS13-14/bak.stunicode/CEPS基线调查学生数据.dta,stata,6.79,19487,300,300,True,69,True,,
CEPS,,surveys/CEPS13-14/bak.stunicode/CEPS基线调查家长数据.dta,stata,5.86,19487,237,237,True,66,True,,
CEPS,,surveys/CEPS13-14/bak.stunicode/CEPS基线调查班级数据.dta,stata,0.58,438,853,853,True,85,True,,
CEPS,,surveys/CEPS13-14/bak.stunicode/CEPS追访学生数据.dta,stata,3.95,10750,311,311,True,59,True,,
CEPS,,surveys/CEPS13-14/bkm.dta,stata,0.94,18591,13,13,True,0,False,,
CEPS,,surveys/CEPS13-14/追访-变量对照表.xls,xls,0.48,(see file),10,,,,,,
CFPS,2014,surveys/CFPS/cfps2014_adult.dta,stata,380.64,39768,1191,1191,True,1186,True,,
CFPS,2020,surveys/CFPS/cfps2020_adult.dta,stata,301.54,28530,1312,1312,True,1187,True,,
CFPS,2020,surveys/provincial/cfps_2020_gender_data.dta,stata,1.03,28530,6,3,True,3,True,,
CFPS,2020,surveys/provincial/cfps_2020_gender_ideation.dta,stata,1.54,22551,9,8,True,8,True,,
CGSS,2010,surveys/CGSS/2010/CGSS2010.dta,stata,13.8,11783,869,869,True,292,True,,
CGSS,2011,surveys/CGSS/2011/CGSS2011.dta,stata,4.51,5620,595,595,True,122,True,,
CGSS,2012,surveys/CGSS/2012/CGSS2012.dta,stata,57.26,11765,687,687,True,189,True,,
CGSS,2013,surveys/CGSS/2013/CGSS2013.dta,stata,35.25,11438,724,724,True,190,True,,
CGSS,2015,surveys/CGSS/2015/CGSS2015.dta,stata,88.33,10968,1398,1398,True,1184,True,,
CGSS,2017,surveys/CGSS/2017/CGSS2017.dta,stata,48.19,12582,784,784,True,619,True,,
CGSS,2018,surveys/CGSS/2018/CGSS2018.dta,stata,72.56,12787,1029,1029,True,701,True,,
CGSS,2021,surveys/CGSS/2021/CGSS2021.dta,stata,7.78,8148,700,700,True,684,True,,
CGSS,2023,surveys/CGSS/2023/CGSS2023.dta,stata,47.68,11326,437,437,True,202,True,,
Processed,,surveys/processed/gender_ideation_by_province_year.csv,csv,0.01,216,7,,,,,,
Processed,,surveys/processed/gender_ideation_by_year.csv,csv,0.0,13,6,,,,,,
Processed,,surveys/processed/gender_ideation_individual.parquet,parquet,0.35,209631,6,,,,,,
