dataset,year,variable,short,value,value_label,count,is_valid
ACWF,1990,w611,men-society/women-family,0,未回答,0,False
ACWF,1990,w611,men-society/women-family,1,1、非常同意,1550,True
ACWF,1990,w611,men-society/women-family,2,2、同意,8947,True
ACWF,1990,w611,men-society/women-family,3,3、无所谓,1563,True
ACWF,1990,w611,men-society/women-family,4,4、不一定,4512,True
ACWF,1990,w611,men-society/women-family,5,5、不同意,7149,True
ACWF,1990,w612,men-innately-more-capable,0,未回答,0,False
ACWF,1990,w612,men-innately-more-capable,1,1、非常同意,621,True
ACWF,1990,w612,men-innately-more-capable,2,2、同意,5366,True
ACWF,1990,w612,men-innately-more-capable,3,3、无所谓,935,True
ACWF,1990,w612,men-innately-more-capable,4,4、不一定,9337,True
ACWF,1990,w612,men-innately-more-capable,5,5、不同意,7458,True
ACWF,1990,w613,women-avoid-surpassing-husband,0,未回答,0,False
ACWF,1990,w613,women-avoid-surpassing-husband,1,1、非常同意,344,True
ACWF,1990,w613,women-avoid-surpassing-husband,2,2、同意,4120,True
ACWF,1990,w613,women-avoid-surpassing-husband,3,3、无所谓,3435,True
ACWF,1990,w613,women-avoid-surpassing-husband,4,4、不一定,5618,True
ACWF,1990,w613,women-avoid-surpassing-husband,5,5、不同意,10196,True
ACWF,1990,w614,wife-supports-husband-success,0,未回答,0,False
ACWF,1990,w614,wife-supports-husband-success,1,1、非常同意,2677,True
ACWF,1990,w614,wife-supports-husband-success,2,2、同意,14733,True
ACWF,1990,w614,wife-supports-husband-success,3,3、无所谓,1634,True
ACWF,1990,w614,wife-supports-husband-success,4,4、不一定,2632,True
ACWF,1990,w614,wife-supports-husband-success,5,5、不同意,2039,True
ACWF,1990,w615,child-takes-mother-surname,0,未回答,0,False
ACWF,1990,w615,child-takes-mother-surname,1,1、非常同意,209,True
ACWF,1990,w615,child-takes-mother-surname,2,2、同意,3089,True
ACWF,1990,w615,child-takes-mother-surname,3,3、无所谓,9296,True
ACWF,1990,w615,child-takes-mother-surname,4,4、不一定,1535,True
ACWF,1990,w615,child-takes-mother-surname,5,5、不同意,9579,True
ACWF,1990,w616,women-not-half-the-sky,0,未回答,0,False
ACWF,1990,w616,women-not-half-the-sky,1,1、非常同意,584,True
ACWF,1990,w616,women-not-half-the-sky,2,2、同意,6715,True
ACWF,1990,w616,women-not-half-the-sky,3,3、无所谓,1397,True
ACWF,1990,w616,women-not-half-the-sky,4,4、不一定,4457,True
ACWF,1990,w616,women-not-half-the-sky,5,5、不同意,10558,True
ACWF,1990,w617,men-handle-external-affairs,0,未回答,0,False
ACWF,1990,w617,men-handle-external-affairs,1,1、非常同意,997,True
ACWF,1990,w617,men-handle-external-affairs,2,2、同意,10100,True
ACWF,1990,w617,men-handle-external-affairs,3,3、无所谓,2313,True
ACWF,1990,w617,men-handle-external-affairs,4,4、不一定,6370,True
ACWF,1990,w617,men-handle-external-affairs,5,5、不同意,3934,True
ACWF,1990,w618,widow-remarry-leave-property,0,未回答,0,False
