dataset,year,variable,short,missing_code,label,count,pct
ACWF,1990,w611,men-society/women-family,NaN,,19,0.08
ACWF,1990,w612,men-innately-more-capable,NaN,,23,0.1
ACWF,1990,w613,women-avoid-surpassing-husband,NaN,,27,0.11
ACWF,1990,w614,wife-supports-husband-success,NaN,,25,0.11
ACWF,1990,w615,child-takes-mother-surname,NaN,,32,0.13
ACWF,1990,w616,women-not-half-the-sky,NaN,,29,0.12
ACWF,1990,w617,men-handle-external-affairs,NaN,,26,0.11
ACWF,1990,w618,widow-remarry-leave-property,NaN,,33,0.14
ACWF,2000,i3_a,men-society/women-family,NaN,,487,2.5
ACWF,2000,i3_b,men-innately-more-capable,NaN,,581,2.99
ACWF,2000,i3_c,marry-well-over-work,NaN,,1112,5.72
ACWF,2000,i3_d,woman-needs-children,NaN,,1426,7.33
ACWF,2000,i3_e,women-avoid-surpassing-husband,NaN,,1302,6.69
ACWF,2000,i3_g,women-looks-over-ability,NaN,,1575,8.1
ACWF,2000,i3_h,30pct-women-leaders,NaN,,2494,12.82
ACWF,2000,i3_i,men-share-half-housework,NaN,,646,3.32
ACWF,2010,J2A,women-no-less-capable,NaN,,3531,11.89
ACWF,2010,J2A,women-no-less-capable,8,说不清,462,1.56
ACWF,2010,J2B,men-society/women-family,NaN,,3530,11.89
ACWF,2010,J2B,men-society/women-family,8,说不清,400,1.35
ACWF,2010,J2C,breadwinning-mens-job,NaN,,3530,11.89
ACWF,2010,J2C,breadwinning-mens-job,8,说不清,294,0.99
ACWF,2010,J2D,husband-career-more-important,NaN,,3530,11.89
ACWF,2010,J2D,husband-career-more-important,8,说不清,764,2.57
ACWF,2010,J2E,men-share-housework,NaN,,3530,11.89
ACWF,2010,J2E,men-share-housework,8,说不清,288,0.97
ACWF,2010,J2F,boys-be-boys-girls-be-girls,NaN,,3530,11.89
ACWF,2010,J2F,boys-be-boys-girls-be-girls,8,说不清,453,1.53
ACWF,2010,J2G,marry-well-over-work,NaN,,3530,11.89
ACWF,2010,J2G,marry-well-over-work,8,说不清,1236,4.16
ACWF,2010,J2H,equal-leadership,NaN,,3530,11.89
ACWF,2010,J2H,equal-leadership,8,说不清,2629,8.85
ACWF,2010,J2I,actively-promote-equality,NaN,,3530,11.89
ACWF,2010,J2I,actively-promote-equality,8,说不清,2151,7.24
CFPS,2014,qm1101,men-career/women-family,NaN,,8171,20.55
CFPS,2014,qm1101,men-career/women-family,-1.0,不知道,81,0.2
CFPS,2014,qm1101,men-career/women-family,-2.0,拒绝回答,5,0.01
CFPS,2014,qm1102,marry-well-over-work,NaN,,8171,20.55
CFPS,2014,qm1102,marry-well-over-work,-1.0,不知道,157,0.39
CFPS,2014,qm1102,marry-well-over-work,-2.0,拒绝回答,6,0.02
CFPS,2014,qm1103,woman-needs-children,NaN,,8171,20.55
CFPS,2014,qm1103,woman-needs-children,-1.0,不知道,101,0.25
CFPS,2014,qm1103,woman-needs-children,-2.0,拒绝回答,9,0.02
CFPS,2014,qm1104,men-share-half-housework,NaN,,8171,20.55
CFPS,2014,qm1104,men-share-half-housework,-1.0,不知道,75,0.19
CFPS,2014,qm1104,men-share-half-housework,-2.0,拒绝回答,7,0.02
CFPS,2020,qm1101,men-career/women-family,NaN,,3448,12.09
CFPS,2020,qm1101,men-career/women-family,-8.0,不适用,2384,8.36
CFPS,2020,qm1101,men-career/women-family,-1.0,不知道,22,0.08
CFPS,2020,qm1101,men-career/women-family,-2.0,拒绝回答,2,0.01
CFPS,2020,qm1102,marry-well-over-work,NaN,,3448,12.09
CFPS,2020,qm1102,marry-well-over-work,-8.0,不适用,2385,8.36
CFPS,2020,qm1102,marry-well-over-work,-1.0,不知道,75,0.26
CFPS,2020,qm1102,marry-well-over-work,-2.0,拒绝回答,5,0.02
CFPS,2020,qm1103,woman-needs-children,NaN,,3448,12.09
CFPS,2020,qm1103,woman-needs-children,-8.0,不适用,2387,8.37
CFPS,2020,qm1103,woman-needs-children,-1.0,不知道,55,0.19
CFPS,2020,qm1103,woman-needs-children,-2.0,拒绝回答,4,0.01
CFPS,2020,qm1104,men-share-half-housework,NaN,,3448,12.09
CFPS,2020,qm1104,men-share-half-housework,-8.0,不适用,2388,8.37
CFPS,2020,qm1104,men-share-half-housework,-1.0,不知道,23,0.08
CFPS,2020,qm1104,men-share-half-housework,-2.0,拒绝回答,2,0.01
CGSS,2010,a421,men-career/women-family,-3,拒绝回答缺失值,23,0.2
CGSS,2010,a421,men-career/women-family,-2,不知道缺失值,4,0.03
CGSS,2010,a422,men-innately-more-capable,-3,拒绝回答缺失值,41,0.35
CGSS,2010,a422,men-innately-more-capable,-2,不知道缺失值,4,0.03
CGSS,2010,a423,marry-well-over-work,-3,拒绝回答缺失值,63,0.53
CGSS,2010,a423,marry-well-over-work,-2,不知道缺失值,2,0.02
CGSS,2010,a424,fire-women-first,-3,拒绝回答缺失值,69,0.59
CGSS,2010,a424,fire-women-first,-2,不知道缺失值,24,0.2
CGSS,2010,a424,fire-women-first,-1,不适用缺失值,1,0.01
CGSS,2010,a425,equal-housework-split,-3,拒绝回答缺失值,30,0.25
CGSS,2010,a425,equal-housework-split,-2,不知道缺失值,4,0.03
CGSS,2012,a421,men-career/women-family,-2.0,不知道缺失值,8,0.07
CGSS,2012,a421,men-career/women-family,-3.0,拒绝回答缺失值,8,0.07
CGSS,2012,a421,men-career/women-family,-1.0,不适用缺失值,1,0.01
CGSS,2012,a422,men-innately-more-capable,-3.0,拒绝回答缺失值,18,0.15
CGSS,2012,a422,men-innately-more-capable,-2.0,不知道缺失值,13,0.11
CGSS,2012,a422,men-innately-more-capable,-1.0,不适用缺失值,1,0.01
CGSS,2012,a423,marry-well-over-work,-3.0,拒绝回答缺失值,19,0.16
CGSS,2012,a423,marry-well-over-work,-2.0,不知道缺失值,12,0.1
CGSS,2012,a423,marry-well-over-work,-1.0,不适用缺失值,2,0.02
