dataset,year,n_total,n_items,n_any_valid,pct_any_valid,n_all_valid,pct_all_valid,mean_valid_items
ACWF,1990,23740,8,23722,99.9,23677,99.7,7.99
ACWF,2000,19449,8,19283,99.1,14930,76.8,7.51
ACWF,2010,29693,9,26021,87.6,22188,74.7,7.64
CFPS,2014,39768,4,31554,79.3,31346,78.8,3.17
CFPS,2020,28530,4,22692,79.5,22552,79.0,3.18
CGSS,2010,11783,5,11761,99.8,11659,98.9,4.98
CGSS,2012,11765,5,11755,99.9,11673,99.2,4.99
CGSS,2013,11438,5,11424,99.9,11303,98.8,4.98
CGSS,2015,10968,5,10951,99.8,10470,95.5,4.94
CGSS,2017,12582,5,12558,99.8,12205,97.0,4.95
CGSS,2018,12787,5,12766,99.8,12364,96.7,4.95
CGSS,2023,11326,5,7015,61.9,6786,59.9,3.07
CGSS,2021,8148,5,8131,99.8,7649,93.9,4.91
