dataset,year,n_items,n_complete,cronbach_alpha,mean_inter_item_r,min_inter_item_r,max_inter_item_r
ACWF,1990,8,23677,0.642,0.181,-0.059,0.433
ACWF,2000,8,14930,0.713,0.229,0.004,0.574
ACWF,2010,9,22188,0.559,0.113,-0.269,0.6
CFPS,2014,4,31346,0.37,0.108,-0.252,0.45
CFPS,2020,4,22552,0.509,0.163,-0.232,0.509
CGSS,2010,5,11659,0.593,0.218,-0.002,0.463
CGSS,2012,5,11673,0.562,0.197,-0.021,0.441
CGSS,2013,5,11303,0.616,0.235,0.009,0.489
CGSS,2015,5,10470,0.614,0.232,-0.009,0.518
CGSS,2017,5,12205,0.646,0.258,0.013,0.529
CGSS,2018,5,12364,0.645,0.258,-0.011,0.523
CGSS,2023,5,6786,0.641,0.246,-0.011,0.539
CGSS,2021,5,7649,0.658,0.262,0.028,0.511
