year,cohort,gender,n,mean,sd
2014,1930-1949,male,2336,0.6186,0.1559
2014,1930-1949,female,2216,0.6512,0.1383
2014,1950-1959,male,2792,0.6245,0.1548
2014,1950-1959,female,2857,0.653,0.1431
2014,1960-1969,male,3193,0.6092,0.1613
2014,1960-1969,female,3413,0.6463,0.1479
2014,1970-1979,male,2734,0.5853,0.1777
2014,1970-1979,female,2817,0.6038,0.172
2014,1980-1989,male,2545,0.5697,0.1844
2014,1980-1989,female,2668,0.556,0.1836
2014,1990-2004,male,1817,0.5252,0.177
2014,1990-2004,female,1995,0.4641,0.2033
2020,1930-1949,male,829,0.6075,0.1652
2020,1930-1949,female,758,0.6221,0.1553
2020,1950-1959,male,1598,0.6054,0.157
2020,1950-1959,female,1552,0.6349,0.1542
2020,1960-1969,male,2180,0.5956,0.1659
2020,1960-1969,female,2176,0.6272,0.1615
2020,1970-1979,male,2036,0.5506,0.1792
2020,1970-1979,female,1999,0.5607,0.1856
2020,1980-1989,male,2168,0.5336,0.1846
2020,1980-1989,female,2141,0.474,0.1986
2020,1990-2004,male,2552,0.4602,0.1865
2020,1990-2004,female,2643,0.3508,0.2026
