model,n,term,coef,se,t
wife_housework_hrs,10674,const,2.0022,0.0916,21.85
wife_housework_hrs,10674,wife_ideation,0.9714,0.1204,8.07
wife_housework_hrs,10674,husband_ideation,0.2283,0.1138,2.01
wife_housework_hrs,10674,wife_age_c,0.2798,0.0564,4.96
wife_housework_hrs,10674,husband_age_c,-0.0402,0.0553,-0.73
husband_housework_hrs,10674,const,1.2985,0.0832,15.61
husband_housework_hrs,10674,wife_ideation,0.0875,0.1092,0.8
husband_housework_hrs,10674,husband_ideation,-0.1092,0.1033,-1.06
husband_housework_hrs,10674,wife_age_c,-0.169,0.0512,-3.3
husband_housework_hrs,10674,husband_age_c,0.334,0.0502,6.66
wife_share,10674,const,0.5971,0.0122,48.87
wife_share,10674,wife_ideation,0.0788,0.016,4.91
wife_share,10674,husband_ideation,0.1024,0.0152,6.75
wife_share,10674,wife_age_c,0.0414,0.0075,5.51
wife_share,10674,husband_age_c,-0.0489,0.0074,-6.63
