year,model,n,term,coef,se,t
2014,A: child_ideation ~ mother+father,5564,const,0.385,0.0139,27.76
2014,A: child_ideation ~ mother+father,5564,mother_ideation,0.1258,0.0173,7.26
2014,A: child_ideation ~ mother+father,5564,father_ideation,0.1531,0.0161,9.49
2014,A: child_ideation ~ mother+father,5564,child_female,-0.0585,0.0053,-11.04
2014,A: child_ideation ~ mother+father,5564,age_c,0.0329,0.0032,10.17
2014,B: + gender interactions,5564,const,0.3939,0.0178,22.16
2014,B: + gender interactions,5564,mother_ideation,0.1039,0.0222,4.68
2014,B: + gender interactions,5564,father_ideation,0.1618,0.0209,7.76
2014,B: + gender interactions,5564,child_female,-0.0807,0.0274,-2.95
2014,B: + gender interactions,5564,mother_x_daughter,0.0564,0.0355,1.59
2014,B: + gender interactions,5564,father_x_daughter,-0.0229,0.0329,-0.7
2014,B: + gender interactions,5564,age_c,0.033,0.0032,10.19
2020,A: child_ideation ~ mother+father,4119,const,0.3662,0.0141,25.95
2020,A: child_ideation ~ mother+father,4119,mother_ideation,0.1015,0.0175,5.81
2020,A: child_ideation ~ mother+father,4119,father_ideation,0.1158,0.0173,6.69
2020,A: child_ideation ~ mother+father,4119,child_female,-0.1201,0.0059,-20.27
2020,A: child_ideation ~ mother+father,4119,age_c,0.0539,0.0037,14.68
2020,B: + gender interactions,4119,const,0.3855,0.0186,20.74
2020,B: + gender interactions,4119,mother_ideation,0.0811,0.0238,3.4
2020,B: + gender interactions,4119,father_ideation,0.1046,0.0229,4.57
2020,B: + gender interactions,4119,child_female,-0.1623,0.0272,-5.96
2020,B: + gender interactions,4119,mother_x_daughter,0.0437,0.0348,1.26
2020,B: + gender interactions,4119,father_x_daughter,0.0267,0.0349,0.76
2020,B: + gender interactions,4119,age_c,0.0542,0.0037,14.73
