year,model,n,term,coef,se,t
2014,A naive child_eduy (age>=0),5343,const,12.3553,0.3415,36.18
2014,A naive child_eduy (age>=0),5343,mother_pi,-0.7471,0.4195,-1.78
2014,A naive child_eduy (age>=0),5343,father_pi,-1.8499,0.3953,-4.68
2014,A naive child_eduy (age>=0),5343,child_female,1.0116,0.5198,1.95
2014,A naive child_eduy (age>=0),5343,mother_x_daughter,-0.1654,0.6713,-0.25
2014,A naive child_eduy (age>=0),5343,father_x_daughter,-0.0962,0.6212,-0.15
2014,A naive child_eduy (age>=0),5343,age_c,-0.472,0.0617,-7.66
2014,A naive child_eduy (age>=0),5343,age_c2,-0.6732,0.058,-11.61
2014,A naive child_eduy (age>=25),2923,const,12.2187,0.4848,25.2
2014,A naive child_eduy (age>=25),2923,mother_pi,-0.5854,0.5933,-0.99
2014,A naive child_eduy (age>=25),2923,father_pi,-2.2824,0.5641,-4.05
2014,A naive child_eduy (age>=25),2923,child_female,2.7419,0.9025,3.04
2014,A naive child_eduy (age>=25),2923,mother_x_daughter,-1.3149,1.1391,-1.15
2014,A naive child_eduy (age>=25),2923,father_x_daughter,-1.2112,1.0398,-1.16
2014,A naive child_eduy (age>=25),2923,age_c,-1.9741,0.1828,-10.8
2014,A naive child_eduy (age>=25),2923,age_c2,0.4905,0.1292,3.8
2014,B within-family edu_gap(daughter-son) [all-ages],367,const,2.2355,1.0909,2.05
2014,B within-family edu_gap(daughter-son) [all-ages],367,parent_mean_ideology,-2.7076,1.664,-1.63
2014,B within-family edu_gap(daughter-son) [all-ages],367,age_gap,0.0639,0.0356,1.8
2014,B within-family edu_gap(daughter-son) [both>=25],107,const,0.3105,2.498,0.12
2014,B within-family edu_gap(daughter-son) [both>=25],107,parent_mean_ideology,0.4428,3.7064,0.12
2014,B within-family edu_gap(daughter-son) [both>=25],107,age_gap,-0.072,0.0924,-0.78
2020,A naive child_eduy (age>=0),3980,const,15.4375,0.3106,49.71
2020,A naive child_eduy (age>=0),3980,mother_pi,-2.3506,0.3908,-6.01
2020,A naive child_eduy (age>=0),3980,father_pi,-2.1416,0.3757,-5.7
2020,A naive child_eduy (age>=0),3980,child_female,0.5422,0.445,1.22
2020,A naive child_eduy (age>=0),3980,mother_x_daughter,0.6061,0.5679,1.07
2020,A naive child_eduy (age>=0),3980,father_x_daughter,-0.2856,0.5705,-0.5
2020,A naive child_eduy (age>=0),3980,age_c,-0.0907,0.0608,-1.49
2020,A naive child_eduy (age>=0),3980,age_c2,-1.1233,0.0588,-19.09
2020,A naive child_eduy (age>=25),2411,const,15.1916,0.4525,33.57
2020,A naive child_eduy (age>=25),2411,mother_pi,-2.4948,0.575,-4.34
2020,A naive child_eduy (age>=25),2411,father_pi,-2.0387,0.5395,-3.78
2020,A naive child_eduy (age>=25),2411,child_female,1.6896,0.6996,2.41
2020,A naive child_eduy (age>=25),2411,mother_x_daughter,-0.201,0.9031,-0.22
2020,A naive child_eduy (age>=25),2411,father_x_daughter,-1.1322,0.8539,-1.33
2020,A naive child_eduy (age>=25),2411,age_c,-1.4873,0.1959,-7.59
2020,A naive child_eduy (age>=25),2411,age_c2,0.0487,0.1393,0.35
2020,B within-family edu_gap(daughter-son) [all-ages],385,const,0.7159,0.8839,0.81
2020,B within-family edu_gap(daughter-son) [all-ages],385,parent_mean_ideology,-0.1696,1.4219,-0.12
2020,B within-family edu_gap(daughter-son) [all-ages],385,age_gap,0.0926,0.0335,2.76
2020,B within-family edu_gap(daughter-son) [both>=25],189,const,0.4849,1.4354,0.34
2020,B within-family edu_gap(daughter-son) [both>=25],189,parent_mean_ideology,-0.4721,2.2631,-0.21
2020,B within-family edu_gap(daughter-son) [both>=25],189,age_gap,-0.0838,0.061,-1.37
