model,n,term,coef,se,t
parent_expect_college ~ female + controls,18476,const,0.7133,0.0104,68.87
parent_expect_college ~ female + controls,18476,female,0.0423,0.0048,8.75
parent_expect_college ~ female + controls,18476,grade9,-0.0415,0.0048,-8.57
parent_expect_college ~ female + controls,18476,ses,0.0098,0.0051,1.94
parent_expect_college ~ female + controls,18476,medu,0.0137,0.0017,8.21
parent_expect_college ~ female + controls,18476,fedu,0.0204,0.0017,12.37
parent_expect_college ~ female*has_brother (non-only),10418,const,0.7279,0.0158,45.94
parent_expect_college ~ female*has_brother (non-only),10418,female,0.0468,0.011,4.26
parent_expect_college ~ female*has_brother (non-only),10418,has_brother,-0.0162,0.0106,-1.53
parent_expect_college ~ female*has_brother (non-only),10418,female_x_brother,0.0026,0.0149,0.17
parent_expect_college ~ female*has_brother (non-only),10418,grade9,-0.0413,0.0072,-5.72
parent_expect_college ~ female*has_brother (non-only),10418,ses,0.0099,0.007,1.41
parent_expect_college ~ female*has_brother (non-only),10418,medu,0.0075,0.0028,2.65
parent_expect_college ~ female*has_brother (non-only),10418,fedu,0.0197,0.0027,7.31
tutoring ~ female + controls,18454,const,-0.2559,0.0135,-18.91
tutoring ~ female + controls,18454,female,0.0425,0.0063,6.74
tutoring ~ female + controls,18454,grade9,0.057,0.0063,9.0
tutoring ~ female + controls,18454,ses,0.0969,0.0066,14.67
tutoring ~ female + controls,18454,medu,0.0491,0.0022,22.53
tutoring ~ female + controls,18454,fedu,0.0368,0.0022,17.05
tutoring ~ female*has_brother (non-only),10384,const,-0.1949,0.0168,-11.62
tutoring ~ female*has_brother (non-only),10384,female,0.0527,0.0116,4.54
tutoring ~ female*has_brother (non-only),10384,has_brother,-0.0018,0.0112,-0.17
tutoring ~ female*has_brother (non-only),10384,female_x_brother,-0.0262,0.0158,-1.66
tutoring ~ female*has_brother (non-only),10384,grade9,0.0337,0.0076,4.41
tutoring ~ female*has_brother (non-only),10384,ses,0.097,0.0074,13.1
tutoring ~ female*has_brother (non-only),10384,medu,0.0324,0.003,10.86
tutoring ~ female*has_brother (non-only),10384,fedu,0.0248,0.0028,8.7
log_tutor_cost ~ female + controls,17553,const,-2.2482,0.1062,-21.16
log_tutor_cost ~ female + controls,17553,female,0.3049,0.0497,6.14
log_tutor_cost ~ female + controls,17553,grade9,0.5533,0.0498,11.11
log_tutor_cost ~ female + controls,17553,ses,0.7676,0.0519,14.79
log_tutor_cost ~ female + controls,17553,medu,0.3905,0.0171,22.77
log_tutor_cost ~ female + controls,17553,fedu,0.3073,0.017,18.09
log_tutor_cost ~ female*has_brother (non-only),9885,const,-1.6725,0.1278,-13.08
log_tutor_cost ~ female*has_brother (non-only),9885,female,0.3595,0.0882,4.07
log_tutor_cost ~ female*has_brother (non-only),9885,has_brother,0.1045,0.0852,1.23
log_tutor_cost ~ female*has_brother (non-only),9885,female_x_brother,-0.326,0.1201,-2.72
log_tutor_cost ~ female*has_brother (non-only),9885,grade9,0.3621,0.0582,6.22
log_tutor_cost ~ female*has_brother (non-only),9885,ses,0.7639,0.0564,13.55
log_tutor_cost ~ female*has_brother (non-only),9885,medu,0.243,0.0228,10.66
log_tutor_cost ~ female*has_brother (non-only),9885,fedu,0.2047,0.0218,9.41
own_desk ~ female + controls,18765,const,0.2564,0.0118,21.69
own_desk ~ female + controls,18765,female,0.0124,0.0055,2.25
own_desk ~ female + controls,18765,grade9,0.0178,0.0055,3.22
own_desk ~ female + controls,18765,ses,0.1663,0.0058,28.89
own_desk ~ female + controls,18765,medu,0.0295,0.0019,15.53
own_desk ~ female + controls,18765,fedu,0.0244,0.0019,12.94
own_desk ~ female*has_brother (non-only),10525,const,0.1559,0.0187,8.35
