year,outcome,age_min,n_families,term,coef,se,t
2014,eduy_gap(daughter-son),25,107,const,0.3105,2.498,0.12
2014,eduy_gap(daughter-son),25,107,parent_mean_ideology,0.4428,3.7064,0.12
2014,eduy_gap(daughter-son),25,107,age_gap,-0.072,0.0924,-0.78
2014,eduy_gap(daughter-son),0,367,const,2.2355,1.0909,2.05
2014,eduy_gap(daughter-son),0,367,parent_mean_ideology,-2.7076,1.664,-1.63
2014,eduy_gap(daughter-son),0,367,age_gap,0.0639,0.0356,1.8
2014,hw_gap(daughter-son),0,385,const,0.0672,0.5634,0.12
2014,hw_gap(daughter-son),0,385,parent_mean_ideology,0.9368,0.8589,1.09
2014,hw_gap(daughter-son),0,385,age_gap,0.0331,0.0185,1.79
2020,eduy_gap(daughter-son),25,189,const,0.4849,1.4354,0.34
2020,eduy_gap(daughter-son),25,189,parent_mean_ideology,-0.4721,2.2631,-0.21
2020,eduy_gap(daughter-son),25,189,age_gap,-0.0838,0.061,-1.37
2020,eduy_gap(daughter-son),0,385,const,0.7159,0.8839,0.81
2020,eduy_gap(daughter-son),0,385,parent_mean_ideology,-0.1696,1.4219,-0.12
2020,eduy_gap(daughter-son),0,385,age_gap,0.0926,0.0335,2.76
2020,hw_gap(daughter-son),0,177,const,-0.1902,0.8316,-0.23
2020,hw_gap(daughter-son),0,177,parent_mean_ideology,1.1102,1.3097,0.85
2020,hw_gap(daughter-son),0,177,age_gap,0.0298,0.0267,1.12
