year,rung,outcome,n_families,term,coef,se,t,p
2014,2 within-family (all mixed-gender),eduy_gap(daughter-son),129,const,-0.1413,2.3854,-0.06,0.9529
2014,2 within-family (all mixed-gender),eduy_gap(daughter-son),129,parent_mean_ideology,0.8553,3.5512,0.24,0.8101
2014,2 within-family (all mixed-gender),eduy_gap(daughter-son),129,age_gap,-0.063,0.0816,-0.77,0.4415
2014,2 within-family (all mixed-gender),hw_gap(daughter-son),503,const,0.656,0.5058,1.3,0.1953
2014,2 within-family (all mixed-gender),hw_gap(daughter-son),503,parent_mean_ideology,-0.0305,0.7686,-0.04,0.9683
2014,2 within-family (all mixed-gender),hw_gap(daughter-son),503,age_gap,0.0361,0.0172,2.1,0.0366
2020,2 within-family (all mixed-gender),eduy_gap(daughter-son),232,const,0.1537,1.3188,0.12,0.9073
2020,2 within-family (all mixed-gender),eduy_gap(daughter-son),232,parent_mean_ideology,0.188,2.0514,0.09,0.9271
2020,2 within-family (all mixed-gender),eduy_gap(daughter-son),232,age_gap,-0.0963,0.0554,-1.74,0.0836
2020,2 within-family (all mixed-gender),hw_gap(daughter-son),207,const,-0.5971,0.8053,-0.74,0.4593
2020,2 within-family (all mixed-gender),hw_gap(daughter-son),207,parent_mean_ideology,1.9403,1.2646,1.53,0.1265
2020,2 within-family (all mixed-gender),hw_gap(daughter-son),207,age_gap,0.0328,0.0268,1.22,0.2223
