dataset,year,step,n
ACWF,1990,raw_rows,23740
ACWF,1990,has_any_item_value,23722
ACWF,1990,has_one_valid_norm_item,23722
ACWF,1990,has_gender,23740
ACWF,1990,has_birth_year,23740
ACWF,1990,final_analysis_sample,23722
ACWF,2000,raw_rows,19449
ACWF,2000,has_any_item_value,19283
ACWF,2000,has_one_valid_norm_item,19283
ACWF,2000,has_gender,19449
ACWF,2000,has_birth_year,19449
ACWF,2000,final_analysis_sample,19283
ACWF,2010,raw_rows,29693
ACWF,2010,has_any_item_value,26163
ACWF,2010,has_one_valid_norm_item,26021
ACWF,2010,has_gender,26166
ACWF,2010,has_birth_year,26166
ACWF,2010,final_analysis_sample,26021
CFPS,2014,raw_rows,39768
CFPS,2014,has_any_item_value,31597
CFPS,2014,has_one_valid_norm_item,31554
CFPS,2014,has_gender,37147
CFPS,2014,has_birth_year,37131
CFPS,2014,final_analysis_sample,31548
CFPS,2020,raw_rows,28530
CFPS,2020,has_any_item_value,25082
CFPS,2020,has_one_valid_norm_item,22692
CFPS,2020,has_gender,28530
CFPS,2020,has_birth_year,27104
CFPS,2020,final_analysis_sample,22641
CGSS,2010,raw_rows,11783
CGSS,2010,has_any_item_value,11783
CGSS,2010,has_one_valid_norm_item,11761
CGSS,2010,has_gender,11783
CGSS,2010,has_birth_year,11775
CGSS,2010,final_analysis_sample,11754
CGSS,2012,raw_rows,11765
CGSS,2012,has_any_item_value,11765
CGSS,2012,has_one_valid_norm_item,11755
CGSS,2012,has_gender,11765
CGSS,2012,has_birth_year,11757
CGSS,2012,final_analysis_sample,11747
CGSS,2013,raw_rows,11438
CGSS,2013,has_any_item_value,11438
CGSS,2013,has_one_valid_norm_item,11424
CGSS,2013,has_gender,11438
CGSS,2013,has_birth_year,11434
CGSS,2013,final_analysis_sample,11421
CGSS,2015,raw_rows,10968
CGSS,2015,has_any_item_value,10968
CGSS,2015,has_one_valid_norm_item,10951
CGSS,2015,has_gender,10968
CGSS,2015,has_birth_year,10968
CGSS,2015,final_analysis_sample,10951
CGSS,2017,raw_rows,12582
CGSS,2017,has_any_item_value,12582
CGSS,2017,has_one_valid_norm_item,12558
CGSS,2017,has_gender,12582
CGSS,2017,has_birth_year,12579
CGSS,2017,final_analysis_sample,12555
CGSS,2018,raw_rows,12787
CGSS,2018,has_any_item_value,12787
CGSS,2018,has_one_valid_norm_item,12766
CGSS,2018,has_gender,12787
CGSS,2018,has_birth_year,12782
CGSS,2018,final_analysis_sample,12762
CGSS,2023,raw_rows,11326
CGSS,2023,has_any_item_value,7021
CGSS,2023,has_one_valid_norm_item,7015
CGSS,2023,has_gender,11326
CGSS,2023,has_birth_year,11242
CGSS,2023,final_analysis_sample,6997
CGSS,2021,raw_rows,8148
CGSS,2021,has_any_item_value,8148
CGSS,2021,has_one_valid_norm_item,8131
CGSS,2021,has_gender,8148
CGSS,2021,has_birth_year,8148
CGSS,2021,final_analysis_sample,8131
