program,cohort,n,mean,ci_lo,ci_hi
ACWF,1930-1949,12251,0.42734,0.42424,0.43036
ACWF,1950-1959,18086,0.43447,0.43214,0.43687
ACWF,1960-1969,20343,0.42197,0.41962,0.42416
ACWF,1970-1979,12022,0.40262,0.39981,0.40528
ACWF,1980-1989,4656,0.40660,0.40229,0.41089
ACWF,1990-2005,766,0.42519,0.41505,0.43543
CFPS,1930-1949,4002,0.62681,0.62205,0.63139
CFPS,1950-1959,5558,0.62850,0.62410,0.63258
CFPS,1960-1969,7029,0.61886,0.61512,0.62305
CFPS,1970-1979,6236,0.57212,0.56756,0.57676
CFPS,1980-1989,6584,0.52599,0.52144,0.53081
CFPS,1990-2005,6892,0.42800,0.42363,0.43270
CGSS,1930-1949,15052,0.46049,0.45781,0.46344
CGSS,1950-1959,17025,0.46607,0.46358,0.46876
CGSS,1960-1969,18023,0.45501,0.45248,0.45764
CGSS,1970-1979,15571,0.41769,0.41495,0.42043
CGSS,1980-1989,12235,0.37474,0.37149,0.37783
CGSS,1990-2005,7700,0.31233,0.30812,0.31670
