program,wave,cohort,mean,sd,n,se
ACWF,1990,1930-1949,0.44528972638779263,0.1658,7240,0.0019
ACWF,1990,1950-1959,0.4519916390033578,0.1633,7488,0.0019
ACWF,1990,1960-1969,0.44040324017511706,0.1652,6548,0.002
ACWF,1990,1970-1979,0.41156550703182826,0.1646,1544,0.0042
ACWF,2000,1930-1949,0.3693047926537799,0.1768,3407,0.003
ACWF,2000,1950-1959,0.3748185704344351,0.1732,4790,0.0025
ACWF,2000,1960-1969,0.36315257641835524,0.1761,6464,0.0022
ACWF,2000,1970-1979,0.3333399386216275,0.1695,3905,0.0027
ACWF,2000,1980-1989,0.3004427619490383,0.1789,717,0.0067
ACWF,2010,1930-1949,0.46956393737877355,0.13,1604,0.0032
ACWF,2010,1950-1959,0.46107956822919044,0.1264,5808,0.0017
ACWF,2010,1960-1969,0.45736213687038924,0.1276,7331,0.0015
ACWF,2010,1970-1979,0.4416782983457244,0.1276,6573,0.0016
ACWF,2010,1980-1989,0.4259194783947242,0.1283,3939,0.002
ACWF,2010,1990-2005,0.4251906419660997,0.1382,766,0.005
CFPS,2014,1930-1949,0.6349033816425123,0.1468,2415,0.003
CFPS,2014,1950-1959,0.6396819629014396,0.1479,2408,0.003
CFPS,2014,1960-1969,0.6310091657313879,0.1548,2673,0.003
CFPS,2014,1970-1979,0.6024061032863849,0.175,2201,0.0037
CFPS,2014,1980-1989,0.5677380952380953,0.1844,2275,0.0039
CFPS,2014,1990-2005,0.5000491642084562,0.1936,1695,0.0047
CFPS,2020,1930-1949,0.6144980046208779,0.1607,1587,0.004
CFPS,2020,1950-1959,0.6199537037037037,0.1563,3150,0.0028
CFPS,2020,1960-1969,0.6114028543005816,0.1645,4356,0.0025
CFPS,2020,1970-1979,0.5556020239570427,0.1825,4035,0.0029
CFPS,2020,1980-1989,0.5039452309120447,0.1939,4309,0.003
CFPS,2020,1990-2005,0.4045001924187031,0.2024,5197,0.0028
CGSS,2010,1930-1949,0.4660841909662672,0.1834,2332,0.0038
CGSS,2010,1950-1959,0.46879689754689674,0.179,2310,0.0037
CGSS,2010,1960-1969,0.45966127432750664,0.1733,2689,0.0033
CGSS,2010,1970-1979,0.43025307846506317,0.1769,2328,0.0037
CGSS,2010,1980-1989,0.39707178841309876,0.1781,1588,0.0045
CGSS,2010,1990-2005,0.35927051671732513,0.1823,329,0.0101
CGSS,2012,1930-1949,0.4631547619047621,0.1632,2380,0.0033
CGSS,2012,1950-1959,0.4718005952380942,0.1576,2296,0.0033
CGSS,2012,1960-1969,0.46003660466956786,0.161,2527,0.0032
CGSS,2012,1970-1979,0.4291459837545128,0.1683,2216,0.0036
CGSS,2012,1980-1989,0.40925725756639836,0.174,1619,0.0043
CGSS,2012,1990-2005,0.3592421441774493,0.1792,541,0.0077
CGSS,2013,1930-1949,0.4724014336917559,0.1682,2139,0.0036
CGSS,2013,1950-1959,0.4735230169440703,0.1619,2223,0.0034
CGSS,2013,1960-1969,0.46990639965171954,0.1683,2297,0.0035
CGSS,2013,1970-1979,0.43822777777777777,0.1649,2250,0.0035
CGSS,2013,1980-1989,0.4062867647058825,0.1706,1700,0.0041
CGSS,2013,1990-2005,0.36704545454545423,0.1743,693,0.0066
CGSS,2015,1930-1949,0.47438679245283066,0.1709,2120,0.0037
CGSS,2015,1950-1959,0.47520940973853015,0.1636,2129,0.0035
CGSS,2015,1960-1969,0.46866994177583776,0.1654,2290,0.0035
CGSS,2015,1970-1979,0.4317989417989426,0.1685,1890,0.0039
CGSS,2015,1980-1989,0.39583049886621374,0.1714,1470,0.0045
CGSS,2015,1990-2005,0.3743521476748316,0.1737,939,0.0057
CGSS,2017,1930-1949,0.452007172605276,0.1821,2161,0.0039
CGSS,2017,1950-1959,0.4671973580441631,0.1762,2536,0.0035
CGSS,2017,1960-1969,0.4514171227521489,0.1836,2558,0.0036
CGSS,2017,1970-1979,0.40681584362139933,0.1875,2106,0.0041
CGSS,2017,1980-1989,0.3603070175438596,0.1796,1843,0.0042
CGSS,2017,1990-2005,0.3234875097580025,0.1836,1281,0.0051
CGSS,2018,1930-1949,0.44406524757056914,0.172,2161,0.0037
CGSS,2018,1950-1959,0.45153074186991876,0.181,2624,0.0035
CGSS,2018,1960-1969,0.4413912649040954,0.1752,2572,0.0035
CGSS,2018,1970-1979,0.40337543226582545,0.1775,2217,0.0038
CGSS,2018,1980-1989,0.3600535815002825,0.1755,1773,0.0042
CGSS,2018,1990-2005,0.31053903573176744,0.1818,1362,0.0049
CGSS,2021,1930-1949,0.45691190253045927,0.1839,1067,0.0056
CGSS,2021,1950-1959,0.4671742282991498,0.1881,1609,0.0047
CGSS,2021,1960-1969,0.44873417721519,0.1888,1659,0.0046
CGSS,2021,1970-1979,0.39224745497259206,0.1914,1277,0.0054
CGSS,2021,1980-1989,0.31740321662396814,0.1827,1171,0.0053
CGSS,2021,1990-2005,0.26056758775205446,0.178,1339,0.0049
CGSS,2023,1930-1949,0.4363439306358385,0.201,692,0.0076
CGSS,2023,1950-1959,0.4491814329738064,0.1948,1298,0.0054
CGSS,2023,1960-1969,0.4297664803167944,0.1919,1431,0.0051
CGSS,2023,1970-1979,0.3862859362859367,0.1987,1287,0.0055
CGSS,2023,1980-1989,0.3223039215686274,0.1893,1071,0.0058
CGSS,2023,1990-2005,0.24692982456140364,0.1769,1216,0.0051
