program,cohort,mean,sd,n,se
ACWF,1930-1949,0.4273365115643332,0.1688,12251,0.0015
ACWF,1950-1959,0.43447110900770364,0.1594,18086,0.0012
ACWF,1960-1969,0.42196826898844125,0.1618,20343,0.0011
ACWF,1970-1979,0.4026202843288172,0.1553,12022,0.0014
ACWF,1980-1989,0.4065967108492868,0.1446,4656,0.0021
ACWF,1990-2005,0.4251906419660997,0.1382,766,0.005
CFPS,1930-1949,0.6268115942028988,0.1528,4002,0.0024
CFPS,1950-1959,0.6285009595777858,0.153,5558,0.0021
CFPS,1960-1969,0.6188587755489163,0.1611,7029,0.0019
CFPS,1970-1979,0.5721215522771006,0.1812,6236,0.0023
CFPS,1980-1989,0.5259878746456054,0.1931,6584,0.0024
CFPS,1990-2005,0.4279992503385568,0.2045,6892,0.0025
CGSS,1930-1949,0.4604883625653317,0.1759,15052,0.0014
CGSS,1950-1959,0.46607268722467393,0.1745,17025,0.0013
CGSS,1960-1969,0.45500749042890126,0.1752,18023,0.0013
CGSS,1970-1979,0.41768779568856895,0.1785,15571,0.0014
CGSS,1980-1989,0.3747432229941424,0.1799,12235,0.0016
CGSS,1990-2005,0.31232954545454483,0.1847,7700,0.0021
