column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",26021,0.4493,0.1286,0.0000,1.0000,3672,12.3666,ACWF,2010
female,Female (0/1),"1 if respondent is female, 0 if male",26166,0.5162,0.4997,0.0000,1.0000,3527,11.8782,ACWF,2010
birthy,Birth year,4-digit year of birth,26166,1967.4272,11.8015,1943.0000,1992.0000,3527,11.8782,ACWF,2010
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",29682,0.4674,0.4989,0.0000,1.0000,11,0.0370,ACWF,2010
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),26166,7.1435,4.3541,0.0000,19.0000,3527,11.8782,ACWF,2010
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,26164,0.7656,0.4236,0.0000,1.0000,3529,11.8850,ACWF,2010
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,29693,100.0000,ACWF,2010
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,29693,100.0000,ACWF,2010
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,29693,100.0000,ACWF,2010
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),26076,14255.6122,48182.8376,0.0000,5000000.0000,3617,12.1813,ACWF,2010
log_income,log(1 + income),Natural log of (1+income),26076,7.3203,3.8546,0.0000,15.4249,3617,12.1813,ACWF,2010
