column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",31554,0.5982,0.1737,0.0000,1.0000,8214,20.6548,CFPS,2014
female,Female (0/1),"1 if respondent is female, 0 if male",37147,0.5000,0.5000,0.0000,1.0000,2621,6.5907,CFPS,2014
birthy,Birth year,4-digit year of birth,37131,1968.7777,17.4006,1920.0000,2004.0000,2637,6.6310,CFPS,2014
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",35893,0.2643,0.4409,0.0000,1.0000,3875,9.7440,CFPS,2014
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),37094,7.4958,4.7548,0.0000,22.0000,2674,6.7240,CFPS,2014
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,23983,0.9827,0.1302,0.0000,1.0000,15785,39.6927,CFPS,2014
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,39768,100.0000,CFPS,2014
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,728,64.7802,17.6106,16.0000,85.0000,39040,98.1694,CFPS,2014
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,837,15.7718,1.8455,9.0000,23.0000,38931,97.8953,CFPS,2014
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),19419,13768.0145,22912.1020,0.0000,442000.0000,20349,51.1693,CFPS,2014
log_income,log(1 + income),Natural log of (1+income),19419,4.7449,4.9991,0.0000,12.9991,20349,51.1693,CFPS,2014
