program,cohort,contrast,n_a,n_b,mean_a,mean_b,diff,welch_t,welch_df,p,ci95_lo,ci95_hi,cohens_d,hedges_g
ACWF,1930-1949,U - R,6349,5896,0.39608,0.46105,-0.06497,-21.66253,12136.54783,0.00000,-0.07085,-0.05909,-0.39208,-0.39205
ACWF,1950-1959,U - R,8696,9386,0.40694,0.46003,-0.05309,-22.74134,18071.50031,0.00000,-0.05767,-0.04851,-0.33778,-0.33777
ACWF,1960-1969,U - R,9298,11030,0.39965,0.44074,-0.04109,-18.28230,20093.41659,0.00000,-0.04549,-0.03668,-0.25601,-0.25600
ACWF,1970-1979,U - R,5544,6464,0.37993,0.42197,-0.04204,-14.99895,11908.67897,0.00000,-0.04753,-0.03654,-0.27323,-0.27322
ACWF,1980-1989,U - R,2099,2555,0.38799,0.42183,-0.03384,-8.01099,4501.51727,0.00000,-0.04212,-0.02556,-0.23566,-0.23563
ACWF,1990-2005,U - R,261,504,0.40363,0.43602,-0.03240,-3.13392,546.29692,0.00182,-0.05270,-0.01209,-0.23575,-0.23552
CFPS,1930-1949,U - R,1417,2579,0.59536,0.64424,-0.04888,-9.30992,2515.62402,0.00000,-0.05918,-0.03859,-0.32386,-0.32380
CFPS,1950-1959,U - R,1771,3777,0.59523,0.64422,-0.04899,-10.69441,3071.61185,0.00000,-0.05797,-0.04001,-0.32365,-0.32361
CFPS,1960-1969,U - R,1881,5135,0.57572,0.63467,-0.05894,-12.89275,2980.46720,0.00000,-0.06791,-0.04998,-0.37074,-0.37070
CFPS,1970-1979,U - R,1831,4393,0.52187,0.59306,-0.07120,-13.88719,3190.32802,0.00000,-0.08125,-0.06114,-0.39937,-0.39932
CFPS,1980-1989,U - R,2049,4515,0.47848,0.54749,-0.06902,-13.31132,3760.61614,0.00000,-0.07918,-0.05885,-0.36232,-0.36228
CFPS,1990-2005,U - R,1636,5202,0.37896,0.44379,-0.06483,-11.25819,2726.95122,0.00000,-0.07612,-0.05354,-0.32007,-0.32004
CGSS,1930-1949,U - R,7023,7748,0.40698,0.51064,-0.10366,-37.13476,13821.09185,0.00000,-0.10913,-0.09819,-0.61681,-0.61678
CGSS,1950-1959,U - R,7569,9149,0.42056,0.50526,-0.08470,-31.92713,15467.52240,0.00000,-0.08990,-0.07950,-0.50057,-0.50055
CGSS,1960-1969,U - R,7086,10649,0.40327,0.49009,-0.08681,-32.81149,14472.95153,0.00000,-0.09200,-0.08162,-0.50980,-0.50978
CGSS,1970-1979,U - R,6692,8642,0.37117,0.45451,-0.08334,-29.39086,14184.48332,0.00000,-0.08890,-0.07778,-0.48031,-0.48028
CGSS,1980-1989,U - R,5574,6474,0.34897,0.39794,-0.04897,-15.06634,11876.11675,0.00000,-0.05534,-0.04260,-0.27467,-0.27465
CGSS,1990-2005,U - R,3282,4302,0.29706,0.32385,-0.02679,-6.27361,7080.66651,0.00000,-0.03516,-0.01842,-0.14529,-0.14528
