dataset,year,n,mean,sd,min,max,var,alpha
ACWF,1990,23722,0.4438,0.1653,0.0,1.0,0.0273,0.642
ACWF,2000,19283,0.3588,0.1753,0.0,1.0,0.0307,0.713
ACWF,2010,26021,0.4493,0.1286,0.0,1.0,0.0165,0.559
CFPS,2014,31554,0.5982,0.1737,0.0,1.0,0.0302,0.37
CFPS,2020,22692,0.5348,0.1992,0.0,1.0,0.0397,0.509
CGSS,2010,11761,0.4457,0.1808,0.0,1.0,0.0327,0.593
CGSS,2012,11755,0.4458,0.1671,0.0,1.0,0.0279,0.562
CGSS,2013,11424,0.4494,0.1701,0.0,1.0,0.0289,0.616
CGSS,2015,10951,0.4473,0.1722,0.0,1.0,0.0297,0.614
CGSS,2017,12558,0.4208,0.1884,0.0,1.0,0.0355,0.646
CGSS,2018,12766,0.4122,0.1831,0.0,1.0,0.0335,0.645
CGSS,2023,7015,0.3777,0.205,0.0,1.0,0.042,0.641
CGSS,2021,8131,0.3946,0.2011,0.0,1.0,0.0404,0.658
