dataset,year,item,short,direction,reversed,scale_max,n,mean_raw,sd_raw,min_raw,max_raw,var_raw,missing_pct,mean_normalized
ACWF,1990,w611,men-society/women-family,traditional,N,5,23721,3.2851,1.3975,1,5,1.9531,0.08,0.4287
ACWF,1990,w612,men-innately-more-capable,traditional,N,5,23717,3.744,1.1954,1,5,1.4291,0.1,0.314
ACWF,1990,w613,women-avoid-surpassing-husband,traditional,N,5,23713,3.8941,1.1787,1,5,1.3892,0.11,0.2765
ACWF,1990,w614,wife-supports-husband-success,traditional,N,5,23715,2.4359,1.0998,1,5,1.2096,0.11,0.641
ACWF,1990,w615,child-takes-mother-surname,progressive,Y,5,23708,3.7249,1.1494,1,5,1.321,0.13,0.6812
ACWF,1990,w616,women-not-half-the-sky,traditional,N,5,23711,3.7461,1.3395,1,5,1.7943,0.12,0.3135
ACWF,1990,w617,men-handle-external-affairs,traditional,N,5,23714,3.0904,1.2321,1,5,1.5182,0.11,0.4774
ACWF,1990,w618,widow-remarry-leave-property,traditional,N,5,23707,3.3292,1.2834,1,5,1.6472,0.14,0.4177
ACWF,2000,i3_a,men-society/women-family,traditional,N,4,18962,2.5153,0.983,1,4,0.9662,2.5,0.4949
ACWF,2000,i3_b,men-innately-more-capable,traditional,N,4,18868,2.8566,0.9092,1,4,0.8267,2.99,0.3811
ACWF,2000,i3_c,marry-well-over-work,traditional,N,4,18337,2.7851,0.9495,1,4,0.9016,5.72,0.405
ACWF,2000,i3_d,woman-needs-children,traditional,N,4,18023,2.9733,0.9322,1,4,0.869,7.33,0.3422
ACWF,2000,i3_e,women-avoid-surpassing-husband,traditional,N,4,18147,3.0736,0.83,1,4,0.6888,6.69,0.3088
ACWF,2000,i3_g,women-looks-over-ability,traditional,N,4,17874,2.7991,0.9142,1,4,0.8357,8.1,0.4003
ACWF,2000,i3_h,30pct-women-leaders,progressive,Y,4,16955,1.752,0.7441,1,4,0.5537,12.82,0.2507
ACWF,2000,i3_i,men-share-half-housework,progressive,Y,4,18803,1.7387,0.7436,1,4,0.553,3.32,0.2462
ACWF,2010,J2A,women-no-less-capable,progressive,Y,4,25700,1.7604,0.7782,1,4,0.6055,13.45,0.2535
ACWF,2010,J2B,men-society/women-family,traditional,N,4,25763,2.3171,0.8556,1,4,0.7321,13.24,0.561
ACWF,2010,J2C,breadwinning-mens-job,traditional,N,4,25869,2.3073,0.878,1,4,0.7709,12.88,0.5642
ACWF,2010,J2D,husband-career-more-important,traditional,N,4,25399,2.2812,0.854,1,4,0.7294,14.46,0.5729
ACWF,2010,J2E,men-share-housework,progressive,Y,4,25875,1.791,0.6841,1,4,0.4679,12.86,0.2637
ACWF,2010,J2F,boys-be-boys-girls-be-girls,traditional,N,4,25710,1.7081,0.6878,1,4,0.4731,13.41,0.764
ACWF,2010,J2G,marry-well-over-work,traditional,N,4,24927,2.5259,0.9217,1,4,0.8496,16.05,0.4914
ACWF,2010,J2H,equal-leadership,progressive,Y,4,23534,1.9586,0.7199,1,4,0.5182,20.74,0.3195
ACWF,2010,J2I,actively-promote-equality,progressive,Y,4,24012,1.6268,0.6103,1,4,0.3725,19.13,0.2089
CFPS,2014,qm1101,men-career/women-family,traditional,N,5,31511,3.9694,1.1785,1,5,1.3888,20.76,0.7424
CFPS,2014,qm1102,marry-well-over-work,traditional,N,5,31434,3.5586,1.3183,1,5,1.7379,20.96,0.6396
CFPS,2014,qm1103,woman-needs-children,traditional,N,5,31487,4.1289,1.1401,1,5,1.2999,20.82,0.7822
CFPS,2014,qm1104,men-share-half-housework,progressive,Y,5,31515,4.085,1.0669,1,5,1.1382,20.75,0.2287
CFPS,2020,qm1101,men-career/women-family,traditional,N,5,22674,3.5306,1.3201,1,5,1.7427,20.53,0.6327
CFPS,2020,qm1102,marry-well-over-work,traditional,N,5,22617,3.3428,1.3578,1,5,1.8437,20.73,0.5857
CFPS,2020,qm1103,woman-needs-children,traditional,N,5,22636,3.8342,1.2987,1,5,1.6867,20.66,0.7086
CFPS,2020,qm1104,men-share-half-housework,progressive,Y,5,22669,4.1502,1.0028,1,5,1.0056,20.54,0.2125
CGSS,2010,a421,men-career/women-family,traditional,N,5,11756,3.5941,1.2338,1,5,1.5222,0.23,0.6485
CGSS,2010,a422,men-innately-more-capable,traditional,N,5,11738,2.9738,1.2756,1,5,1.6272,0.38,0.4935
CGSS,2010,a423,marry-well-over-work,traditional,N,5,11718,3.1231,1.2249,1,5,1.5005,0.55,0.5308
CGSS,2010,a424,fire-women-first,traditional,N,5,11689,2.1087,1.0342,1,5,1.0695,0.8,0.2772
CGSS,2010,a425,equal-housework-split,progressive,Y,5,11749,3.8919,1.0611,1,5,1.1259,0.29,0.277
CGSS,2012,a421,men-career/women-family,traditional,N,5,11748,3.4939,1.1578,1,5,1.3405,0.14,0.6235
CGSS,2012,a422,men-innately-more-capable,traditional,N,5,11733,3.0009,1.2045,1,5,1.4509,0.27,0.5002
CGSS,2012,a423,marry-well-over-work,traditional,N,5,11732,3.1168,1.1706,1,5,1.3704,0.28,0.5292
CGSS,2012,a424,fire-women-first,traditional,N,5,11711,2.117,0.9796,1,5,0.9597,0.46,0.2792
CGSS,2012,a425,equal-housework-split,progressive,Y,5,11747,3.8149,1.0073,1,5,1.0146,0.15,0.2963
CGSS,2013,a421,men-career/women-family,traditional,N,5,11416,3.4156,1.1293,1,5,1.2752,0.19,0.6039
CGSS,2013,a422,men-innately-more-capable,traditional,N,5,11404,2.9761,1.1636,1,5,1.354,0.3,0.494
CGSS,2013,a423,marry-well-over-work,traditional,N,5,11399,3.0833,1.125,1,5,1.2657,0.34,0.5208
CGSS,2013,a424,fire-women-first,traditional,N,5,11322,2.2244,0.9865,1,5,0.9731,1.01,0.3061
CGSS,2013,a425,equal-housework-split,progressive,Y,5,11407,3.7214,0.997,1,5,0.9941,0.27,0.3197
CGSS,2015,a421,men-career/women-family,traditional,N,5,10907,3.3661,1.1671,1,5,1.3621,0.56,0.5915
CGSS,2015,a422,men-innately-more-capable,traditional,N,5,10894,3.0117,1.1668,1,5,1.3615,0.67,0.5029
CGSS,2015,a423,marry-well-over-work,traditional,N,5,10828,3.1092,1.1331,1,5,1.2839,1.28,0.5273
CGSS,2015,a424,fire-women-first,traditional,N,5,10630,2.2213,0.9863,1,5,0.9728,3.08,0.3053
CGSS,2015,a425,equal-housework-split,progressive,Y,5,10881,3.7895,0.9897,1,5,0.9796,0.79,0.3026
CGSS,2017,a421,men-career/women-family,traditional,N,5,12539,3.1967,1.2845,1,5,1.6499,0.34,0.5492
CGSS,2017,a422,men-innately-more-capable,traditional,N,5,12497,2.8866,1.2338,1,5,1.5223,0.68,0.4717
CGSS,2017,a423,marry-well-over-work,traditional,N,5,12472,3.0624,1.231,1,5,1.5155,0.87,0.5156
CGSS,2017,a424,fire-women-first,traditional,N,5,12303,2.0723,0.9955,1,5,0.991,2.22,0.2681
CGSS,2017,a425,equal-housework-split,progressive,Y,5,12526,3.8284,1.0456,1,5,1.0932,0.45,0.2929
CGSS,2018,a421,men-career/women-family,traditional,N,5,12737,3.1343,1.2572,1,5,1.5806,0.39,0.5336
CGSS,2018,a422,men-innately-more-capable,traditional,N,5,12705,2.8352,1.2076,1,5,1.4582,0.64,0.4588
CGSS,2018,a423,marry-well-over-work,traditional,N,5,12673,3.0058,1.1951,1,5,1.4282,0.89,0.5014
CGSS,2018,a424,fire-women-first,traditional,N,5,12452,2.0948,0.9422,1,5,0.8877,2.62,0.2737
CGSS,2018,a425,equal-housework-split,progressive,Y,5,12719,3.8581,1.018,1,5,1.0362,0.53,0.2855
CGSS,2023,a421,men-career/women-family,traditional,N,5,6995,3.0357,1.4135,1,5,1.9979,38.24,0.5089
CGSS,2023,a422,men-innately-more-capable,traditional,N,5,6962,2.7307,1.3597,1,5,1.8489,38.53,0.4327
CGSS,2023,a423,marry-well-over-work,traditional,N,5,6932,2.9649,1.3664,1,5,1.867,38.8,0.4912
CGSS,2023,a424,fire-women-first,traditional,N,5,6894,1.8726,1.1048,1,5,1.2207,39.13,0.2182
CGSS,2023,a425,equal-housework-split,progressive,Y,5,6988,4.07,1.0795,1,5,1.1654,38.3,0.2325
CGSS,2021,A42_1,men-career/women-family,traditional,N,5,8079,3.1662,1.3492,1,5,1.8202,0.85,0.5416
CGSS,2021,A42_2,men-innately-more-capable,traditional,N,5,8041,2.8126,1.3187,1,5,1.7389,1.31,0.4531
CGSS,2021,A42_3,marry-well-over-work,traditional,N,5,8003,2.947,1.3371,1,5,1.7877,1.78,0.4868
CGSS,2021,A42_4,fire-women-first,traditional,N,5,7812,1.9547,1.065,1,5,1.1343,4.12,0.2387
CGSS,2021,A42_5,equal-housework-split,progressive,Y,5,8087,4.0344,1.0501,1,5,1.1027,0.75,0.2414
