dataset,year,variable,n_total,n_nan,n_zero,n_one,mean_nonnull
ACWF,1990,urban,23740,0,12053,11687.0000,0.4923
ACWF,1990,employed,23740,2725,0,21015.0000,1.0000
ACWF,1990,income,23740,12527,370,,176.5977
ACWF,1990,edu_yrs,23740,0,3899,,7.4469
ACWF,1990,birthy,23740,0,0,,1952.9670
ACWF,2000,urban,19449,32,10396,9021.0000,0.4646
ACWF,2000,employed,19449,23,10202,9224.0000,0.4748
ACWF,2000,income,19449,1960,501,,5937.9489
ACWF,2000,edu_yrs,19449,101,1199,,6.4072
ACWF,2000,birthy,19449,0,0,,1960.7654
ACWF,2010,urban,29693,11,15810,13872.0000,0.4674
ACWF,2010,employed,29693,3529,6133,20031.0000,0.7656
ACWF,2010,income,29693,3617,5377,,14255.6122
ACWF,2010,edu_yrs,29693,3527,2033,,7.1435
ACWF,2010,birthy,29693,3527,0,,1967.4272
CFPS,2014,urban,39768,3875,26408,9485.0000,0.2643
CFPS,2014,employed,39768,15785,414,23569.0000,0.9827
CFPS,2014,income,39768,20349,10127,,13768.0145
CFPS,2014,edu_yrs,39768,2674,7563,,7.4958
CFPS,2014,birthy,39768,2637,0,,1968.7777
CFPS,2020,urban,28530,5611,16480,6439.0000,0.2809
CFPS,2020,employed,28530,10334,278,17918.0000,0.9847
CFPS,2020,income,28530,18256,212,,45752.8311
CFPS,2020,edu_yrs,28530,1286,4238,,8.3194
CFPS,2020,birthy,28530,1426,0,,1975.2141
CGSS,2010,urban,11783,30,6040,5713.0000,0.4861
CGSS,2010,employed,11783,8,4255,7520.0000,0.6386
CGSS,2010,income,11783,1625,1157,,19210.6771
CGSS,2010,edu_yrs,11783,15,1538,,7.0101
CGSS,2010,birthy,11783,8,0,,1962.7167
CGSS,2012,urban,11765,742,6263,4760.0000,0.4318
CGSS,2012,employed,11765,3,4255,7507.0000,0.6382
CGSS,2012,income,11765,1134,933,,21053.9335
CGSS,2012,edu_yrs,11765,2,1571,,7.0224
CGSS,2012,birthy,11765,8,0,,1963.1196
CGSS,2013,urban,11438,449,6333,4656.0000,0.4237
CGSS,2013,employed,11438,2,4281,7155.0000,0.6257
CGSS,2013,income,11438,1195,1171,,23814.4280
CGSS,2013,edu_yrs,11438,3,1484,,7.1242
CGSS,2013,birthy,11438,4,0,,1964.4151
CGSS,2015,urban,10968,21,6194,4753.0000,0.4342
CGSS,2015,employed,10968,0,4689,6279.0000,0.5725
CGSS,2015,income,10968,605,1641,,32805.3319
CGSS,2015,edu_yrs,10968,19,1479,,7.0375
CGSS,2015,birthy,10968,0,0,,1964.6028
CGSS,2017,urban,12582,54,6767,5761.0000,0.4598
CGSS,2017,employed,12582,0,5547,7035.0000,0.5591
CGSS,2017,income,12582,683,1909,,41076.2761
CGSS,2017,edu_yrs,12582,0,1528,,7.4840
CGSS,2017,birthy,12582,3,0,,1966.0028
CGSS,2018,urban,12787,32,6994,5761.0000,0.4517
CGSS,2018,employed,12787,0,5894,6893.0000,0.5391
CGSS,2018,income,12787,681,1945,,41494.2488
CGSS,2018,edu_yrs,12787,29,1859,,7.2687
CGSS,2018,birthy,12787,5,0,,1966.1905
CGSS,2023,urban,11326,65,5652,5609.0000,0.4981
CGSS,2023,employed,11326,5743,2722,2861.0000,0.5124
CGSS,2023,income,11326,705,1521,,70178.7390
CGSS,2023,edu_yrs,11326,1,625,,10.1835
CGSS,2023,birthy,11326,84,0,,1975.2477
CGSS,2021,urban,8148,93,4842,3213.0000,0.3989
CGSS,2021,employed,8148,0,4056,4092.0000,0.5022
CGSS,2021,income,8148,815,1468,,51241.0993
CGSS,2021,edu_yrs,8148,21,858,,7.6817
CGSS,2021,birthy,8148,0,0,,1969.3563
