term,coef,se_classical,t_classical,p_classical,se_hc1,t_hc1,p_hc1
const,0.49621,0.19741,2.51362,0.01210,0.06413,7.73724,0.00000
female,-0.04697,0.01223,-3.83968,0.00013,0.01224,-3.83656,0.00013
urban,-0.02079,0.01486,-1.39906,0.16210,0.01521,-1.36643,0.17211
edu_yrs,-0.01445,0.00191,-7.55646,0.00000,0.00184,-7.84653,0.00000
log_income,-0.00209,0.00479,-0.43575,0.66311,0.00426,-0.48954,0.62456
employed,0.06553,0.05999,1.09241,0.27491,0.06387,1.02602,0.30513
isei_current,0.00003,0.00045,0.07410,0.94095,0.00047,0.07054,0.94378
cohort_1950-1959,0.21676,0.19884,1.09010,0.27593,0.05165,4.19664,0.00003
cohort_1960-1969,0.15781,0.19434,0.81205,0.41695,0.04401,3.58594,0.00035
cohort_1970-1979,0.13677,0.19433,0.70378,0.48173,0.04502,3.03795,0.00244
cohort_1980-1989,0.12818,0.19473,0.65825,0.51053,0.04636,2.76517,0.00579
cohort_1990-2005,0.08788,0.19502,0.45064,0.65235,0.04829,1.81998,0.06906
