program,term,coef,se_classical,t_classical,p_classical,se_hc1,t_hc1,p_hc1
CFPS,const,0.67725,0.01354,50.00024,0.00000,0.01385,48.90916,0.00000
CFPS,female,-0.04450,0.00273,-16.28150,0.00000,0.00275,-16.20022,0.00000
CFPS,urban,-0.01715,0.00332,-5.17071,0.00000,0.00342,-5.00920,0.00000
CFPS,edu_yrs,-0.01032,0.00037,-27.60312,0.00000,0.00037,-28.21778,0.00000
CFPS,log_income,-0.00107,0.00041,-2.63921,0.00832,0.00040,-2.67593,0.00746
CFPS,employed,0.02175,0.01157,1.88068,0.06003,0.01247,1.74435,0.08112
CFPS,cohort_1950-1959,0.02812,0.00820,3.42761,0.00061,0.00705,3.99054,0.00007
CFPS,cohort_1960-1969,0.04213,0.00774,5.44011,0.00000,0.00667,6.31386,0.00000
CFPS,cohort_1970-1979,0.01566,0.00780,2.00710,0.04475,0.00682,2.29580,0.02170
CFPS,cohort_1980-1989,-0.00180,0.00800,-0.22449,0.82238,0.00705,-0.25464,0.79901
CFPS,cohort_1990-2005,-0.05895,0.00832,-7.08290,0.00000,0.00746,-7.90065,0.00000
CFPS,wave_2020,-0.04984,0.00336,-14.83924,0.00000,0.00345,-14.43314,0.00000
CGSS,const,0.56108,0.00267,210.09244,0.00000,0.00267,210.47231,0.00000
CGSS,female,-0.03727,0.00127,-29.34028,0.00000,0.00127,-29.43792,0.00000
CGSS,urban,-0.03246,0.00151,-21.53210,0.00000,0.00152,-21.31134,0.00000
CGSS,edu_yrs,-0.00875,0.00016,-54.93043,0.00000,0.00016,-53.95835,0.00000
CGSS,log_income,-0.00283,0.00020,-14.43048,0.00000,0.00020,-14.24338,0.00000
CGSS,employed,0.00566,0.00155,3.65035,0.00026,0.00155,3.65327,0.00026
CGSS,cohort_1950-1959,0.01654,0.00200,8.27219,0.00000,0.00198,8.33829,0.00000
CGSS,cohort_1960-1969,0.01520,0.00211,7.21736,0.00000,0.00208,7.29726,0.00000
CGSS,cohort_1970-1979,-0.01171,0.00226,-5.18426,0.00000,0.00224,-5.22797,0.00000
CGSS,cohort_1980-1989,-0.02918,0.00250,-11.68674,0.00000,0.00252,-11.58241,0.00000
CGSS,cohort_1990-2005,-0.07406,0.00300,-24.67344,0.00000,0.00304,-24.37701,0.00000
CGSS,wave_2012,-0.00124,0.00239,-0.51722,0.60501,0.00233,-0.52976,0.59628
CGSS,wave_2013,0.00727,0.00240,3.03292,0.00242,0.00237,3.05962,0.00222
CGSS,wave_2015,0.00713,0.00237,3.00503,0.00266,0.00234,3.04450,0.00233
CGSS,wave_2017,-0.01292,0.00230,-5.61178,0.00000,0.00233,-5.54219,0.00000
CGSS,wave_2018,-0.02272,0.00230,-9.88894,0.00000,0.00230,-9.86856,0.00000
CGSS,wave_2021,-0.03312,0.00263,-12.58228,0.00000,0.00272,-12.15558,0.00000
CGSS,wave_2023,-0.04165,0.00288,-14.46857,0.00000,0.00308,-13.50519,0.00000
ACWF,const,0.50227,0.00375,134.10231,0.00000,0.00360,139.65748,0.00000
ACWF,female,-0.03290,0.00131,-25.02544,0.00000,0.00132,-24.97378,0.00000
ACWF,urban,-0.01561,0.00185,-8.44190,0.00000,0.00174,-8.97792,0.00000
ACWF,edu_yrs,-0.00624,0.00019,-33.30453,0.00000,0.00018,-33.78386,0.00000
ACWF,log_income,0.00026,0.00028,0.92982,0.35247,0.00027,0.96124,0.33644
ACWF,employed,-0.00239,0.00218,-1.09289,0.27445,0.00225,-1.06337,0.28762
ACWF,cohort_1950-1959,0.00917,0.00212,4.32903,0.00002,0.00224,4.10409,0.00004
ACWF,cohort_1960-1969,0.00794,0.00213,3.71777,0.00020,0.00226,3.50430,0.00046
ACWF,cohort_1970-1979,-0.00852,0.00241,-3.53807,0.00040,0.00248,-3.43473,0.00059
ACWF,cohort_1980-1989,-0.01291,0.00309,-4.17903,0.00003,0.00298,-4.33080,0.00001
ACWF,cohort_1990-2005,-0.01756,0.00583,-3.01344,0.00258,0.00530,-3.31164,0.00093
ACWF,wave_2000,-0.08423,0.00297,-28.37121,0.00000,0.00307,-27.44887,0.00000
ACWF,wave_2010,0.01621,0.00250,6.48372,0.00000,0.00245,6.61246,0.00000
