program,prov_gb,n,mean
ACWF,11,3289.0,0.40150711808320527
ACWF,12,936.0,0.42234050671550727
ACWF,13,4389.0,0.4030295797213089
ACWF,14,1555.0,0.4238592014154719
ACWF,15,1181.0,0.3735007324973455
ACWF,21,1964.0,0.3837060474789601
ACWF,22,3479.0,0.40039525702970663
ACWF,23,1496.0,0.4073634630619926
ACWF,31,1232.0,0.4042250738679318
ACWF,32,6237.0,0.43784624929907123
ACWF,33,1827.0,0.42141814580238257
ACWF,34,4069.0,0.4284480200015343
ACWF,35,1118.0,0.43677473473985157
ACWF,36,3376.0,0.4562044128802127
ACWF,37,2827.0,0.39111941164470265
ACWF,41,2400.0,0.408898699294532
ACWF,42,3749.0,0.42919683344129866
ACWF,43,2041.0,0.44648281654651
ACWF,44,4710.0,0.4545817114885581
ACWF,45,1393.0,0.3937066283799951
ACWF,46,347.0,0.4607116173398596
ACWF,50,649.0,0.3965981444795003
ACWF,51,2216.0,0.39946313964815766
ACWF,52,3090.0,0.42057180099655855
ACWF,53,1748.0,0.380777805019796
ACWF,54,282.0,0.4701883747983039
ACWF,61,1236.0,0.39934472440540436
ACWF,62,2836.0,0.4644931870844249
ACWF,63,2224.0,0.4746557813273191
ACWF,64,139.0,0.44393342468882063
ACWF,65,991.0,0.4023738781306901
CFPS,11,440.0,0.5005681818181819
CFPS,12,364.0,0.5907165750915752
CFPS,13,3322.0,0.5670655227774433
CFPS,14,2634.0,0.5902540496076942
CFPS,15,25.0,0.535
CFPS,21,4816.0,0.5822864756367664
CFPS,22,965.0,0.5941278065630398
CFPS,23,1631.0,0.5707899039444104
CFPS,31,3296.0,0.5401559971682848
CFPS,32,1210.0,0.5646522038567493
CFPS,33,1080.0,0.5461805555555556
CFPS,34,1069.0,0.575011693171188
CFPS,35,623.0,0.6005551096843231
CFPS,36,952.0,0.6258534663865546
CFPS,37,2739.0,0.5712395034684191
CFPS,41,6649.0,0.5842701910061664
CFPS,42,797.0,0.5365955667084902
CFPS,43,1391.0,0.5816259285885454
CFPS,44,4903.0,0.5867496090828743
CFPS,45,1092.0,0.5715430402930403
CFPS,46,9.0,0.5138888888888888
CFPS,50,441.0,0.564625850340136
CFPS,51,2570.0,0.5599221789883269
CFPS,52,1392.0,0.5531309865900383
CFPS,53,1782.0,0.5460274036662925
CFPS,54,5.0,0.3875
CFPS,61,1244.0,0.5669044748124331
CFPS,62,6671.0,0.5670470444211263
CFPS,63,12.0,0.484375
CFPS,64,19.0,0.48026315789473684
CFPS,65,103.0,0.49211165048543687
CGSS,11,4673.0,0.361710892360368
CGSS,12,2875.0,0.44491449275362316
CGSS,13,917.0,0.4494956379498365
CGSS,14,4554.0,0.38471032791684967
CGSS,15,2835.0,0.45393445032333923
CGSS,21,4471.0,0.4253886155222545
CGSS,22,2618.0,0.4114575375604787
CGSS,23,1207.0,0.4471727423363711
CGSS,31,3848.0,0.43608259702009694
CGSS,32,4141.0,0.43359293246397806
CGSS,33,2648.0,0.40217145015105743
CGSS,34,3150.0,0.4338611111111111
CGSS,35,3112.0,0.42653706083976
CGSS,36,719.0,0.4520224849327769
CGSS,37,3670.0,0.4292132152588556
CGSS,41,3997.0,0.4563464264865316
CGSS,42,2835.0,0.43920194003527346
CGSS,43,4260.0,0.4509096244131456
CGSS,44,3627.0,0.39501309622277364
CGSS,45,518.0,0.41842020592020596
CGSS,46,3654.0,0.44801359241014416
CGSS,50,3348.0,0.4485439068100358
CGSS,51,2016.0,0.4369915674603175
CGSS,52,2519.0,0.43109037978033615
CGSS,53,486.0,0.4597136488340192
CGSS,54,1513.0,0.3909534038334435
CGSS,61,3191.0,0.4145004178418469
CGSS,62,2288.0,0.46530448717948725
CGSS,63,2465.0,0.44622718052738336
CGSS,64,813.0,0.3586818368183682
CGSS,65,3015.0,0.4556412382531786
