program,cohort,n_urban,n_rural,mean_urban,mean_rural,U_minus_R,welch_t
ACWF,1930-1949,6462,5789,0.3973,0.4609,-0.0636,-21.17
ACWF,1950-1959,9054,9032,0.4093,0.4597,-0.0503,-21.5
ACWF,1960-1969,10044,10299,0.4023,0.4412,-0.0389,-17.28
ACWF,1970-1979,6211,5811,0.3852,0.4213,-0.0361,-12.78
ACWF,1980-1989,2444,2212,0.3952,0.4192,-0.0241,-5.67
ACWF,1990-2005,338,428,0.4065,0.44,-0.0335,-3.36
CFPS,1930-1949,1959,1983,0.6098,0.6435,-0.0337,-6.97
CFPS,1950-1959,2712,2750,0.6158,0.643,-0.0272,-6.63
CFPS,1960-1969,3255,3617,0.6035,0.6336,-0.0301,-7.72
CFPS,1970-1979,3199,2837,0.5505,0.5963,-0.0458,-9.93
CFPS,1980-1989,3512,2757,0.5031,0.5574,-0.0543,-11.22
CFPS,1990-2005,3316,3051,0.4057,0.4576,-0.0519,-10.19
CGSS,1930-1949,7892,4598,0.422,0.505,-0.083,-26.4
CGSS,1950-1959,8947,5473,0.4348,0.5032,-0.0684,-23.28
CGSS,1960-1969,9115,5963,0.4219,0.4922,-0.0703,-24.58
CGSS,1970-1979,8780,4328,0.3874,0.4614,-0.074,-22.67
CGSS,1980-1989,7754,2729,0.3553,0.4154,-0.06,-15.13
CGSS,1990-2005,5044,1630,0.3018,0.3433,-0.0414,-7.71
