variable,n,mean,sd,min,p25,median,p75,max
ideation_2014,17744,0.5949076683198077,0.17467170178536198,0.0,0.5,0.625,0.75,1.0
ideation_2020,17521,0.5570208606814679,0.190024029473108,0.0,0.4375,0.5625,0.75,1.0
delta_ideation,15859,-0.030383641255228366,0.19596357728834113,-0.875,-0.125,0.0,0.0625,0.875
female,20100,0.5027860696517413,0.5000046758376775,0.0,0.0,1.0,1.0,1.0
birthy_2014,20097,1969.6161616161617,16.222755625814536,1920.0,1957.0,1969.0,1984.0,1998.0
urban_2014,19459,0.24410298576494166,0.42956513001623314,0.0,0.0,0.0,0.0,1.0
marital_2014,20100,2.0340796019900496,0.7992002903941966,1.0,2.0,2.0,2.0,5.0
marital_2020,17755,2.1277386651647423,0.813604080653794,1.0,2.0,2.0,2.0,5.0
employed_2014,13997,0.9861398871186683,0.11691444186970129,0.0,1.0,1.0,1.0,1.0
employed_2020,14661,0.9870404474456039,0.11310382444160172,0.0,1.0,1.0,1.0,1.0
children_n_2014,20100,1.1477611940298507,0.9305755781765684,0.0,0.0,1.0,2.0,9.0
children_n_2020,20100,0.484726368159204,1.049506220269667,0.0,0.0,0.0,0.0,8.0
household_n_2014,20100,5.278557213930348,1.95251044494626,2.0,4.0,5.0,6.0,18.0
household_n_2020,17735,4.0682266704257115,2.07863141684389,1.0,2.0,4.0,5.0,15.0
delta_children_n,20100,-0.6630348258706468,1.4428553901829686,-9.0,-2.0,-1.0,0.0,7.0
delta_household_n,17735,-1.1575979701155907,1.8732612128396178,-13.0,-2.0,-1.0,0.0,11.0
delta_employed,11713,0.004524886877828055,0.1403669630159019,-1.0,0.0,0.0,0.0,1.0
had_new_child,20100,0.13855721393034826,0.3454924759787831,0.0,0.0,0.0,0.0,1.0
entered_marriage,17755,0.05643480709659251,0.23076593978340854,0.0,0.0,0.0,0.0,1.0
divorced,17755,0.017403548296254578,0.1307731929855444,0.0,0.0,0.0,0.0,1.0
widowed,17755,0.02359898620107012,0.1518004344654075,0.0,0.0,0.0,0.0,1.0
lost_job,11713,0.007598394945786732,0.08684067699230696,0.0,0.0,0.0,0.0,1.0
entered_work,11713,0.012123281823614787,0.10944099062376005,0.0,0.0,0.0,0.0,1.0
