variable,n_missing,pct_missing
income_2014,14807,0.7366666666666667
income_2020,12355,0.6146766169154229
delta_employed,8387,0.4172636815920398
lost_job,8387,0.4172636815920398
entered_work,8387,0.4172636815920398
employed_2014,6103,0.3036318407960199
employed_2020,5439,0.27059701492537314
direction,4241,0.21099502487562188
delta_ideation,4241,0.21099502487562188
delta_urban,2985,0.14850746268656717
ideation_2020,2579,0.12830845771144278
urban_2020,2400,0.11940298507462686
delta_household_n,2365,0.11766169154228856
household_change_dir,2365,0.11766169154228856
household_n_2020,2365,0.11766169154228856
ideation_2014,2356,0.11721393034825871
marital_transition,2345,0.11666666666666667
entered_marriage,2345,0.11666666666666667
marital_2020,2345,0.11666666666666667
divorced,2345,0.11666666666666667
widowed,2345,0.11666666666666667
birthy_2020,723,0.03597014925373134
urban_2014,641,0.03189054726368159
delta_edu_yrs,534,0.02656716417910448
edu_yrs_2020,521,0.02592039800995025
cohort,52,0.0025870646766169153
edu_yrs_2014,22,0.0010945273631840797
birthy_2014,3,0.00014925373134328358
delta_children_n,0,0.0
children_n_2020,0,0.0
female_2020,0,0.0
had_new_child,0,0.0
n_valid_items_2020,0,0.0
household_n_2014,0,0.0
children_n_2014,0,0.0
marital_2014,0,0.0
female,0,0.0
n_valid_items_2014,0,0.0
pid,0,0.0
