section,sex_stratum,label,n,value,value_lo,value_hi,note
panel,all,pids in both waves,20100.0,-0.03,,,mean Δideation across panel = -0.030 (SD 0.196)
panel,all,pids with computable Δideation,15859.0,,,,81.7% changed by ≥1 notch (|Δ|≥0.05)
who_female,all,0.0,7760.0,-0.0183795103092783,-0.0226114824957044,-0.0140572648195876,share progressive=0.447
who_female,all,1.0,8099.0,-0.0418853150594723,-0.0459710818208009,-0.0377612848294028,share progressive=0.489
who_cohort,all,1930-1949,1391.0,-0.0123861730170141,-0.02227114785526,-0.001721258686796,share progressive=0.420
who_cohort,all,1950-1959,2780.0,-0.0125374700239808,-0.0192976244004796,-0.0058822317146282,share progressive=0.423
who_cohort,all,1960-1969,3721.0,-0.0119311564991489,-0.0171504075965242,-0.0061749753650452,share progressive=0.413
who_cohort,all,1970-1979,3228.0,-0.0306885068153655,-0.0368980083126807,-0.024071116016109,share progressive=0.474
who_cohort,all,1980-1989,2801.0,-0.0509341901701773,-0.0584636811257884,-0.042832358978936,share progressive=0.536
who_cohort,all,1990-2005,1934.0,-0.0743385901413305,-0.0836624224405377,-0.064048496208204,share progressive=0.570
who_urban_2014,all,0.0,11623.0,-0.0263916372709283,-0.0298333136166795,-0.0229159945080157,share progressive=0.456
who_urban_2014,all,1.0,4214.0,-0.0411970020566366,-0.0469819104967568,-0.0350813508542952,share progressive=0.503
marital_transition,all,stable_never_married,1227.0,-0.0757606628633523,-0.0877317644661776,-0.0633315505297473,share progressive=0.557
marital_transition,all,entered_marriage,760.0,-0.0580592105263157,-0.0736081414473684,-0.0430879934210526,share progressive=0.534
marital_transition,all,stable_divorced,150.0,-0.0459722222222222,-0.0805625,-0.0095729166666666,share progressive=0.533
marital_transition,all,divorced,256.0,-0.0428059895833333,-0.0673848470052083,-0.0186279296875,share progressive=0.504
marital_transition,all,started_cohab,14.0,-0.0401785714285714,-0.1651785714285714,0.0849330357142856,share progressive=0.500
marital_transition,all,stable_cohab,14.0,-0.0297619047619047,-0.1696428571428571,0.1130952380952381,share progressive=0.429
marital_transition,all,remarried,64.0,-0.0289713541666666,-0.0716145833333333,0.0123697916666666,share progressive=0.500
marital_transition,all,stable_married,12456.0,-0.0251016912866623,-0.0284527787813102,-0.0218430542175123,share progressive=0.457
marital_transition,all,other_change,55.0,-0.0204545454545454,-0.087528409090909,0.0398011363636363,share progressive=0.436
marital_transition,all,widowed,380.0,-0.0182017543859649,-0.0379413377192982,0.0017050438596491,share progressive=0.426
marital_transition,all,stable_widowed,483.0,-0.0069875776397515,-0.024156746031746,0.0109558316080055,share progressive=0.420
life_event,all,Had a new birth (child born 2015–2020),1591.0,-0.0203279051148083,-0.031107776620668288,-0.00954803360894831,p=0.000225; d=0.104
life_event,all,Entered marriage,760.0,-0.029068604084388,-0.044437987330198436,-0.013699220838577563,p=0.000224; d=0.148
life_event,all,Got divorced,256.0,-0.012626163054247,-0.03780588996472044,0.012553563856226435,p=0.327; d=0.064
life_event,all,Lost spouse to death,380.0,0.0124809447548064,-0.006636615873092449,0.03159850538270525,p=0.201; d=-0.064
life_event,all,Lost / left job (1→0),81.0,0.0140661010222719,-0.027034647432784043,0.05516684947732785,p=0.504; d=-0.073
life_event,all,Entered work (0→1),112.0,-0.0183241326357191,-0.06380864547206484,0.02716038020062664,p=0.431; d=0.095
ols_coef,all,const,,0.2536476732009708,0.23484693405626597,0.27244841234567563,HC1 p=3.85e-149
ols_coef,all,female,,-0.0115430702541713,-0.01783602751952281,-0.005250112988819787,HC1 p=0.000326
ols_coef,all,urban_2014,,-0.0538837400191693,-0.061989933159197104,-0.04577754687914149,HC1 p=1.69e-38
ols_coef,all,age_2014,,0.0028290309518979,0.00252006885253254,0.00313799305126326,HC1 p=6.07e-71
ols_coef,all,had_new_birth,,-0.0012434233539853,-0.013587673707751428,0.011100826999780829,HC1 p=0.843
ols_coef,all,lost_job,,0.0250368494032288,-0.009674475300348536,0.059748174106806134,HC1 p=0.157
ols_coef,all,entered_work,,-0.0190561237806705,-0.0595613240687918,0.021449076507450794,HC1 p=0.356
ols_coef,all,entered_marriage,,-0.0203736460499951,-0.03827791337364301,-0.002469378726347192,HC1 p=0.0257
ols_coef,all,divorced,,0.0031933442665202,-0.021897852417291856,0.028284540950332254,HC1 p=0.803
ols_coef,all,widowed,,-0.0037026081438452,-0.0293864761105217,0.021981259822831303,HC1 p=0.778
ols_coef,all,delta_household_n,,-0.0009624597427812,-0.002766420669327216,0.000841501183764816,HC1 p=0.296
ols_coef,all,delta_edu_yrs,,-0.0012549608784365,-0.003671729307117148,0.001161807550244148,HC1 p=0.309
ols_coef,all,ideation_2014,,-0.6438698038659535,-0.6645553285127243,-0.6231842792191827,HC1 p=0
life_event,male,Had a new birth (child born 2015–2020),752.0,-0.0118587875255027,-0.027641069935568113,0.003923494884562714,p=0.141; d=0.060
life_event,male,Entered marriage,374.0,-0.0168581150058428,-0.0384349751554225,0.004718745143736901,p=0.126; d=0.085
life_event,male,Got divorced,159.0,-0.0010337034986845,-0.03188242877226842,0.029815021774899423,p=0.948; d=0.005
life_event,male,Lost spouse to death,119.0,-0.003558817847254,-0.039280697143755046,0.03216306144924704,p=0.846; d=0.018
life_event,male,Lost / left job (1→0),38.0,0.0223925510176403,-0.03830072060831052,0.08308582264359113,p=0.474; d=-0.114
life_event,male,Entered work (0→1),62.0,-0.0110294117647058,-0.07750497718894009,0.055446153659528485,p=0.746; d=0.056
ols_coef,male,const,,0.2936533919346052,0.26977775028779366,0.31752903358141676,HC1 p=1.91e-122
ols_coef,male,urban_2014,,-0.034703729630277,-0.045014505850919886,-0.024392953409634117,HC1 p=4.57e-11
ols_coef,male,age_2014,,0.0021100713163835,0.00171684491173284,0.00250329772103416,HC1 p=1.22e-25
ols_coef,male,had_new_birth,,0.007045371942741,-0.008377829342761977,0.022468573228243978,HC1 p=0.371
ols_coef,male,lost_job,,0.0249096127476642,-0.024003994093435642,0.07382321958876403,HC1 p=0.318
ols_coef,male,entered_work,,-0.0062584785670761,-0.060993305331791925,0.048476348197639726,HC1 p=0.823
ols_coef,male,entered_marriage,,-0.0086919901559506,-0.030568627986106798,0.013184647674205598,HC1 p=0.436
ols_coef,male,divorced,,0.015932253163842,-0.013181990058227573,0.04504649638591157,HC1 p=0.284
ols_coef,male,widowed,,-0.0504888462981716,-0.09592560782874274,-0.005052084767600475,HC1 p=0.0295
ols_coef,male,delta_household_n,,-0.0011630399539439,-0.0034047094015636275,0.0010786294936758277,HC1 p=0.309
ols_coef,male,delta_edu_yrs,,-0.0015253422638583,-0.004935336422415525,0.001884651894698924,HC1 p=0.381
ols_coef,male,ideation_2014,,-0.6696813023687062,-0.6963656821713328,-0.6429969225660795,HC1 p=0
life_event,female,Had a new birth (child born 2015–2020),839.0,-0.0271521286108456,-0.04181077271753213,-0.012493484504159076,p=0.000297; d=0.141
life_event,female,Entered marriage,386.0,-0.0410286689341078,-0.0626869537886251,-0.0193703840795905,p=0.000233; d=0.213
life_event,female,Got divorced,97.0,-0.0397766484066268,-0.08205854633482884,0.0025052495215752424,p=0.0682; d=0.206
life_event,female,Lost spouse to death,261.0,0.0262068745545573,0.003544306775547009,0.04886944233356759,p=0.0242; d=-0.136
life_event,female,Lost / left job (1→0),43.0,0.0106739645306267,-0.04539911294395782,0.06674704200521121,p=0.711; d=-0.056
life_event,female,Entered work (0→1),50.0,-0.0269027777777777,-0.08700887667645212,0.03320332112089672,p=0.385; d=0.142
ols_coef,female,const,,0.1939199484493886,0.16479660151366401,0.22304329538511317,HC1 p=3.09e-38
ols_coef,female,urban_2014,,-0.0787455842652674,-0.0916230818892141,-0.0658680866413207,HC1 p=1.32e-32
ols_coef,female,age_2014,,0.0039455972870272,0.0034569219974360963,0.004434272576618304,HC1 p=6.18e-55
ols_coef,female,had_new_birth,,-0.0108239173443284,-0.030700949020259924,0.009053114331603126,HC1 p=0.286
ols_coef,female,lost_job,,0.0375350559935763,-0.011945472780072401,0.08701558476722501,HC1 p=0.137
ols_coef,female,entered_work,,-0.0274783104415296,-0.0842452466425674,0.0292886257595082,HC1 p=0.343
ols_coef,female,entered_marriage,,-0.0372690655606654,-0.06614019872406103,-0.008397932397269773,HC1 p=0.0114
ols_coef,female,divorced,,-0.0285253607582881,-0.07521262680003063,0.018161905283454433,HC1 p=0.231
ols_coef,female,widowed,,0.0101258438794941,-0.019569218841850596,0.03982090660083879,HC1 p=0.504
ols_coef,female,delta_household_n,,-0.0015247896691301,-0.004486839383810548,0.0014372600455503477,HC1 p=0.313
ols_coef,female,delta_edu_yrs,,-0.000309147313418,-0.003749859792502468,0.003131565165666468,HC1 p=0.86
ols_coef,female,ideation_2014,,-0.6330895116960152,-0.665527592401545,-0.6006514309904855,HC1 p=1.9e-277
