event,label,denom,n_no,n_yes,mean_no,mean_yes,ci_no_lo,ci_no_hi,ci_yes_lo,ci_yes_hi,diff,diff_se,welch_t,welch_p,cohen_d,hedges_g,sex_stratum
had_new_child,Had a new child (2014→2020),all,13211,2648,-0.03456557666590972,-0.009519763343403828,-0.0379531025281962,-0.031267740897736734,-0.016097447759315205,-0.0027920049723061443,0.02504581332250589,0.003956653457682139,6.330049773218721,2.7218785015663306e-10,-0.12794993009205102,-0.12794387825623543,all
entered_marriage,Entered marriage,all,15099,760,-0.028990606441927722,-0.05805921052631579,-0.032169969865554,-0.025978403647040644,-0.07401932565789474,-0.043577302631578954,-0.029068604084388067,0.007841522064189064,-3.7070104306840608,0.0002237277992990406,0.1484066119351285,0.1483995925295787,all
divorced,Got divorced,all,15603,256,-0.03017982652908629,-0.042805989583333336,-0.03338450538358008,-0.027025051272191247,-0.06844482421874999,-0.017250569661458333,-0.012626163054247047,0.012846799444119136,-0.9828255752857503,0.3265973492388864,0.06443126514814894,0.06442821764794486,all
widowed,Lost spouse to death,all,15479,380,-0.030682699140771368,-0.018201754385964913,-0.03357297252191141,-0.027664665299222603,-0.038381304824561396,-0.00038240131578947474,0.012480944754806454,0.009753857463213734,1.2795906442018263,0.20143157206527404,-0.06369113832443757,-0.06368812583109919,all
lost_job,Lost / left job (1→0),all,10328,81,-0.027183384972889232,-0.013117283950617283,-0.031171733798089338,-0.023515362767880195,-0.05632716049382716,0.02779706790123455,0.01406610102227195,0.02096976961992656,0.6707799502434978,0.504261011546929,-0.07261722661255636,-0.072611993190022,all
entered_work,Entered work (0→1),all,10297,112,-0.026876760221423716,-0.045200892857142856,-0.030458962561911235,-0.023279181234016382,-0.09207589285714286,0.0005580357142857143,-0.01832413263571914,0.023206384100176402,-0.7896160193082321,0.43141304438121597,0.09460219181808041,0.09459537396967783,all
had_new_child,Had a new child (2014→2020),at_risk,9983,89,-0.03959439380279809,-0.022237827715355808,-0.04359322306253965,-0.03554260993689271,-0.05758426966292135,0.013126170411985001,0.017356566087442283,0.018961145005141986,0.9153754207741903,0.3624395335355908,-0.08586272280885393,-0.08585632771045461,all
entered_marriage,Entered marriage,at_risk,1302,760,-0.07459677419354839,-0.05805921052631579,-0.08667874743983614,-0.06344286034306194,-0.07401932565789474,-0.043577302631578954,0.0165375636672326,0.00981379704855958,1.6851340602830074,0.0921528724463452,-0.07610638389849436,-0.07607867190047331,all
divorced,Got divorced,at_risk,12929,214,-0.0247747312243793,-0.03923286604361371,-0.02819634316910305,-0.021594944826874986,-0.06523072429906542,-0.012361273364485986,-0.014458134819234407,0.013814174404855887,-1.046615917499359,0.2964281040046424,0.07552380111383065,0.07551949064062058,all
widowed,Lost spouse to death,at_risk,12775,368,-0.02532126549249837,-0.014209692028985508,-0.02862952544031311,-0.02189399869536856,-0.03204398777173913,0.003736413043478261,0.011111573463512863,0.009777932933492233,1.1363928898972633,0.2564897918376095,-0.058042646058955316,-0.05803933331162018,all
lost_job,Lost / left job (1→0),at_risk,10210,81,-0.026995592556317335,-0.013117283950617283,-0.03092342066601371,-0.02326308969964088,-0.05632716049382716,0.02779706790123455,0.013878308605700052,0.02097021971774612,0.6618103573781577,0.5099632163210543,-0.07187268568353128,-0.07186744651314979,all
entered_work,Entered work (0→1),at_risk,6,112,-0.010416666666666666,-0.045200892857142856,-0.13541666666666666,0.11458333333333333,-0.09207589285714286,0.0005580357142857143,-0.03478422619047619,0.07477526123651716,-0.4651836130729424,0.6579162885372132,0.14364826598860816,0.14271749968630618,all
