event,label,denom,n_no,n_yes,mean_no,mean_yes,ci_no_lo,ci_no_hi,ci_yes_lo,ci_yes_hi,diff,diff_se,welch_t,welch_p,cohen_d,hedges_g,sex_stratum
had_new_child,Had a new child (2014→2020),all,6752,1347,-0.04743039099526066,-0.014089952981935168,-0.052197728450829387,-0.04252860263625593,-0.023804055308092056,-0.00496396312793863,0.033340438013325494,0.005411602615751353,6.160917639496053,8.688235617738216e-10,-0.17323095706758526,-0.17321491072580608,female
entered_marriage,Entered marriage,all,7713,386,-0.039929880288690094,-0.08095854922279792,-0.04423673235662734,-0.0357830664678681,-0.10412483808290154,-0.059419527202072546,-0.04102866893410783,0.011050145333937493,-3.7129528792801954,0.00023269602046690073,0.21295427895041222,0.21293455304690614,female
divorced,Got divorced,all,8002,97,-0.04140891860368241,-0.08118556701030928,-0.04556425997667249,-0.0373782856369241,-0.12371134020618557,-0.03928801546391754,-0.03977664840662687,0.02157239690214397,-1.8438678180760557,0.06822572315992086,0.2062955537228217,0.20627644461542774,female
widowed,Lost spouse to death,all,7838,261,-0.042729863060304504,-0.016522988505747127,-0.04674748288253807,-0.03836192002636727,-0.03815453384418902,0.005032726692209446,0.026206874554557377,0.01156253458112774,2.266533723266176,0.024183043213347005,-0.13592291177711613,-0.1359103212705755,female
lost_job,Lost / left job (1→0),all,4507,43,-0.03974373197248724,-0.029069767441860465,-0.04537004936765032,-0.03403432623326677,-0.0872093023255814,0.02180232558139535,0.010673964530626776,0.02860871299723707,0.37310187744753254,0.710912684340623,-0.05617321378460789,-0.056163949882603946,female
entered_work,Entered work (0→1),all,4500,50,-0.03934722222222222,-0.06625,-0.04492141203703704,-0.03383773148148148,-0.12375,-0.00625,-0.026902777777777782,0.030666376989119656,-0.8772727794784109,0.38454740270765575,0.14159292516155655,0.1415695741211803,female
entered_marriage,Entered marriage,at_risk,493,386,-0.11156186612576065,-0.08095854922279792,-0.1308443204868154,-0.09152193204868155,-0.10412483808290154,-0.059419527202072546,0.030603316902962724,0.014666969660647225,2.0865466835370996,0.03723076900330539,-0.1412732277146493,-0.1411523780758857,female
divorced,Got divorced,at_risk,6711,80,-0.03515993642278846,-0.06875,-0.03962803606019967,-0.030450007450454484,-0.11796875,-0.019511718750000018,-0.033590063577211546,0.02422820145056817,-1.3864035118638092,0.16945456677576373,0.17826562353634276,0.17824592930431885,female
widowed,Lost spouse to death,at_risk,6534,257,-0.0363515202530354,-0.01532101167315175,-0.0407029576063667,-0.03152675747372717,-0.038187013618677046,0.00591763942931258,0.02103050857988365,0.011722146706920298,1.7940833795799587,0.0738882260075207,-0.11161555388410775,-0.11160322294462506,female
lost_job,Lost / left job (1→0),at_risk,4454,43,-0.03950101032779524,-0.029069767441860465,-0.04549796063463553,-0.03406535324053286,-0.0872093023255814,0.02180232558139535,0.010431242885934774,0.02860997490260448,0.3646016091047034,0.7172023893605262,-0.05497380076682439,-0.05496462776486096,female
entered_work,Entered work (0→1),at_risk,3,50,0.041666666666666664,-0.06625,-0.0625,0.1875,-0.12375,-0.00625,-0.10791666666666666,0.08108508468300374,-1.330906505044165,0.28402406388046336,0.5061603360954358,0.49868013408417317,female
