marital_transition,n,mean_delta,ci_lo,ci_hi,share_progressive,share_traditional
stable_never_married,1227,-0.07576066286335234,-0.08773176446617767,-0.06333155052974736,0.5574572127139364,0.3015484922575387
entered_marriage,760,-0.05805921052631579,-0.07360814144736842,-0.043087993421052635,0.5342105263157895,0.3157894736842105
stable_divorced,150,-0.04597222222222223,-0.08056250000000001,-0.009572916666666676,0.5333333333333333,0.3333333333333333
divorced,256,-0.042805989583333336,-0.06738484700520833,-0.018627929687500006,0.50390625,0.328125
started_cohab,14,-0.04017857142857143,-0.16517857142857142,0.08493303571428562,0.5,0.35714285714285715
stable_cohab,14,-0.02976190476190475,-0.16964285714285715,0.11309523809523811,0.42857142857142855,0.35714285714285715
remarried,64,-0.02897135416666667,-0.07161458333333334,0.012369791666666663,0.5,0.3125
stable_married,12456,-0.02510169128666238,-0.028452778781310212,-0.021843054217512314,0.45728965960179835,0.3527617212588311
other_change,55,-0.020454545454545454,-0.08752840909090909,0.03980113636363634,0.43636363636363634,0.43636363636363634
widowed,380,-0.018201754385964913,-0.037941337719298245,0.001705043859649118,0.4263157894736842,0.37105263157894736
stable_widowed,483,-0.006987577639751554,-0.024156746031746036,0.01095583160800552,0.42028985507246375,0.38923395445134573
