event,sex,label,n_treated,n_control,note
entered_marriage,male,Entered marriage,200,255,
entered_marriage,female,Entered marriage,184,88,
had_new_birth,male,Had a new birth (child born 2015–2020),414,2164,
had_new_birth,female,Had a new birth (child born 2015–2020),371,1103,
divorced,male,Got divorced,77,2416,
divorced,female,Got divorced,35,1611,
widowed,male,Widowed,21,2472,
widowed,female,Widowed,39,1607,
lost_job,male,Lost / left job,21,2836,
lost_job,female,Lost / left job,33,1779,
entered_work,male,Entered work,33,7,insufficient sample
entered_work,female,Entered work,17,8,insufficient sample
