event,sex,n_treated,n_control,ATT,boot_se,ci_lo,ci_hi,p_norm,note,mean_abs_smd_pre,mean_abs_smd_post,max_abs_smd_post
entered_marriage,male,200,255,0.051875,0.0316905063514565,-0.0214649589958995,0.0985167100694443,0.101646023560831,,0.19230819566510782,0.06772126731681317,0.1434106969498469
entered_marriage,female,184,88,0.0794836956521739,0.0418855644912374,-0.0363807058355292,0.1236867769706752,0.0577436062036742,,0.10955304791168874,0.12608453391852795,0.2357165727045065
had_new_child,male,29,2549,0.076867816091954,0.0800594865364401,-0.1456423611111111,0.1806426711309522,0.3369878977272287,,0.6319593259294503,0.3958865304324346,0.985314281361969
had_new_child,female,0,1474,,,,,,insufficient sample,,,
divorced,male,77,2416,0.0316558441558441,0.0358757773340648,-0.0681106460378681,0.0751047585227271,0.3775747265748784,,0.18695405914930777,0.04166736527163698,0.1074430618700507
divorced,female,35,1611,-0.0232142857142857,0.0574843275411073,-0.142610294117647,0.0828835227272727,0.6863327483430719,,0.2160405406671965,0.11581224799857569,0.3980096579932218
widowed,male,21,2472,0.0396825396825396,0.0657841043675667,-0.1483630952380952,0.1155732996323528,0.546359793911366,,0.44119844729312985,0.27690262477817235,0.5243707079167135
widowed,female,39,1607,0.0251068376068376,0.0471326503975037,-0.0522235576923076,0.1323929398148146,0.5942519196878252,,0.35785551585355807,0.05014700082135071,0.1822202224722921
lost_job,male,21,2836,0.0089285714285714,0.0718012414862289,-0.1156770833333333,0.1897629310344826,0.9010372003201562,,0.15398455895865287,0.23475761322185704,0.4209360449419127
lost_job,female,33,1779,0.0454545454545454,0.0559489188158889,-0.0542242324561403,0.1576640624999999,0.4165452931870046,,0.12985286441912242,0.1291777131541923,0.206513832065058
entered_work,male,33,7,,,,,,insufficient sample,,,
entered_work,female,17,8,,,,,,insufficient sample,,,
