event,sex,label,n_treated,n_control,att,boot_se,p,ci_lo,ci_hi,n_boot,note
entered_marriage,male,Entered marriage,200,255,0.051875,0.03169050635145659,0.10164602356083102,-0.021464958995899588,0.09851671006944439,300,
entered_marriage,female,Entered marriage,184,88,0.07948369565217392,0.04188556449123742,0.05774360620367429,-0.0363807058355292,0.12368677697067525,300,
had_new_birth,male,Had a new birth (child born 2015–2020),414,2164,0.021386876006441225,0.018841950036531045,0.2563472402251735,-0.025226523241206028,0.04853748441396504,300,
had_new_birth,female,Had a new birth (child born 2015–2020),371,1103,0.04986522911051213,0.025369851983419924,0.049352817854032865,-0.010654373368146213,0.08600498435822007,300,
divorced,male,Got divorced,77,2416,0.03165584415584415,0.03587577733406486,0.37757472657487845,-0.06811064603786816,0.0751047585227271,300,
divorced,female,Got divorced,35,1611,-0.023214285714285715,0.057484327541107376,0.6863327483430719,-0.14261029411764706,0.0828835227272727,300,
widowed,male,Widowed,21,2472,0.03968253968253969,0.06578410436756678,0.546359793911366,-0.14836309523809524,0.11557329963235284,300,
widowed,female,Widowed,39,1607,0.02510683760683761,0.04713265039750372,0.5942519196878252,-0.05222355769230769,0.13239293981481468,300,
lost_job,male,Lost / left job,21,2836,0.008928571428571428,0.07180124148622893,0.9010372003201562,-0.11567708333333333,0.18976293103448266,300,
lost_job,female,Lost / left job,33,1779,0.045454545454545456,0.05594891881588892,0.4165452931870046,-0.05422423245614035,0.15766406249999998,300,
entered_work,male,Entered work,33,7,,,,,,0,insufficient sample
entered_work,female,Entered work,17,8,,,,,,0,insufficient sample
