event,sex,covariate,smd_pre,smd_post,n_treated_pre,n_control_pre,n_treated_post,n_control_post
entered_marriage,male,ideation_2014,-0.03305539231738666,-0.08030910074598277,200,255,200,200
entered_marriage,male,birthy_2014,-0.05566331941363221,0.11334986710544585,200,255,200,200
entered_marriage,male,edu_yrs_2014,0.2859311519579143,0.1434106969498469,200,255,200,200
entered_marriage,male,income_2014_log,0.42461788191530836,0.012009299957544958,200,255,200,200
entered_marriage,male,urban_2014,-0.024834416298381994,-0.021475146647289663,200,255,200,200
entered_marriage,male,marital_2014,0.3297470120880236,-0.035773492494769285,200,255,200,200
entered_marriage,female,ideation_2014,0.07838347281821055,-0.06582654265768968,184,88,184,184
entered_marriage,female,birthy_2014,-0.12481630196457096,-0.14289966117724065,184,88,184,184
entered_marriage,female,edu_yrs_2014,-0.05435710023603871,-0.06930238974543444,184,88,184,184
entered_marriage,female,income_2014_log,0.10026828274202951,0.1190933483805758,184,88,184,184
entered_marriage,female,urban_2014,-0.18470808906674663,0.12366868884572071,184,88,184,184
entered_marriage,female,marital_2014,0.11478504064253635,0.23571657270450658,184,88,184,184
had_new_birth,male,ideation_2014,-0.1375068941792991,-0.03438413073365511,414,2164,414,414
had_new_birth,male,birthy_2014,1.4831451481503832,-0.041042328671294294,414,2164,414,414
had_new_birth,male,edu_yrs_2014,0.4003719205484221,-0.08988699477062018,414,2164,414,414
had_new_birth,male,income_2014_log,0.04508975806566351,0.025895369795228673,414,2164,414,414
had_new_birth,male,urban_2014,-0.08920663674178024,-0.11699138691702408,414,2164,414,414
had_new_birth,male,children_n_2014,-0.8919968572787742,-0.14656367885672,414,2164,414,414
had_new_birth,female,ideation_2014,-0.2022525975954445,0.025866140379585994,371,1103,371,371
had_new_birth,female,birthy_2014,1.3873730979285794,-0.0662281583778038,371,1103,371,371
had_new_birth,female,edu_yrs_2014,0.5089776799740808,-0.031661207783516734,371,1103,371,371
had_new_birth,female,income_2014_log,-0.040713504128386736,-0.15076237849436203,371,1103,371,371
had_new_birth,female,urban_2014,-0.20834472945188157,-0.07430816505498337,371,1103,371,371
had_new_birth,female,children_n_2014,-1.0762903034382538,-0.0777408289836318,371,1103,371,371
divorced,male,ideation_2014,0.1426402646484076,-0.020077836915840704,77,2416,77,77
divorced,male,birthy_2014,0.6852465292251678,-0.012850931464303533,77,2416,77,77
divorced,male,edu_yrs_2014,0.01479220917057776,-0.03310777498558435,77,2416,77,77
divorced,male,income_2014_log,-0.16943590442959713,0.0765245863940427,77,2416,77,77
divorced,male,urban_2014,0.05476782575301545,0.10744306187005073,77,2416,77,77
divorced,male,marital_2014,0.054841621669081055,0.0,77,2416,77,77
divorced,female,ideation_2014,-0.1875597303740263,0.07542669529208866,35,1611,35,35
divorced,female,birthy_2014,0.49513525824012244,0.029050461496545353,35,1611,35,35
divorced,female,edu_yrs_2014,0.05193486459853272,0.07914295569373439,35,1611,35,35
divorced,female,income_2014_log,0.13428448130434123,-0.39800965799322185,35,1611,35,35
divorced,female,urban_2014,0.34088821002328284,0.11324371751586415,35,1611,35,35
divorced,female,marital_2014,-0.08644069946287386,0.0,35,1611,35,35
widowed,male,ideation_2014,0.10128573028087977,-0.5243707079167135,21,2472,21,21
widowed,male,birthy_2014,-0.9833446726037862,0.40428266791533424,21,2472,21,21
widowed,male,edu_yrs_2014,-0.7088380880800711,-0.10144355753780639,21,2472,21,21
widowed,male,income_2014_log,-0.45336103914681536,-0.22869318751333093,21,2472,21,21
widowed,male,urban_2014,-0.27592254010118095,-0.4026256277858494,21,2472,21,21
widowed,male,marital_2014,-0.12443861354604593,0.0,21,2472,21,21
widowed,female,ideation_2014,0.3168903137196676,0.18222022247229216,39,1607,39,39
widowed,female,birthy_2014,-1.0511862001403265,0.00511282424157198,39,1607,39,39
widowed,female,edu_yrs_2014,-0.5044942950890314,0.0,39,1607,39,39
widowed,female,income_2014_log,-0.1438509047788424,0.06115932978257081,39,1607,39,39
widowed,female,urban_2014,-0.04416283281268475,0.0523896284316694,39,1607,39,39
widowed,female,marital_2014,-0.08654854858079605,0.0,39,1607,39,39
lost_job,male,ideation_2014,-0.3484013550965631,0.06413736205242775,21,2836,21,21
lost_job,male,birthy_2014,0.10407451174951086,-0.3559671524348535,21,2836,21,21
lost_job,male,edu_yrs_2014,0.07817253103134589,-0.17330801295665477,21,2836,21,21
lost_job,male,income_2014_log,-0.1884580551429078,-0.1594394937234367,21,2836,21,21
lost_job,male,urban_2014,0.05081634177293689,0.4209360449419127,21,2836,21,21
lost_job,female,ideation_2014,0.044332362141757065,0.20651383206505805,33,1779,33,33
lost_job,female,birthy_2014,0.28735327905414476,-0.05553834731746093,33,1779,33,33
lost_job,female,edu_yrs_2014,0.09444685470959525,-0.19306141520865727,33,1779,33,33
lost_job,female,income_2014_log,-0.012300150821909835,-0.070694640589174,33,1779,33,33
lost_job,female,urban_2014,0.21083167536820538,-0.12008033059061132,33,1779,33,33
