frame,outcome,stratum,ideation_tertile,n,mean,sd
2014_cross,currently_married,all,low,13513,0.7263,0.4459
2014_cross,currently_married,all,mid,8151,0.8352,0.371
2014_cross,currently_married,all,high,9890,0.8494,0.3576
2014_cross,currently_married,male,low,6983,0.7362,0.4407
2014_cross,currently_married,male,mid,3989,0.8225,0.3821
2014_cross,currently_married,male,high,4508,0.8494,0.3577
2014_cross,currently_married,female,low,6530,0.7158,0.4511
2014_cross,currently_married,female,mid,4162,0.8474,0.3596
2014_cross,currently_married,female,high,5382,0.8495,0.3576
2014_cross,first_marriage_age,all,low,571,23.8844,3.9203
2014_cross,first_marriage_age,all,mid,355,23.569,4.0572
2014_cross,first_marriage_age,all,high,423,23.331,4.1591
2014_cross,first_marriage_age,male,low,292,24.5925,4.2639
2014_cross,first_marriage_age,male,mid,200,24.68,3.8759
2014_cross,first_marriage_age,male,high,210,24.4857,4.2192
2014_cross,first_marriage_age,female,low,279,23.1434,3.377
2014_cross,first_marriage_age,female,mid,155,22.1355,3.8411
2014_cross,first_marriage_age,female,high,213,22.1925,3.7762
2014_cross,ideal_children,all,low,13452,1.8993,0.6827
2014_cross,ideal_children,all,mid,8113,2.0691,0.7691
2014_cross,ideal_children,all,high,9851,2.1215,0.8551
2014_cross,ideal_children,male,low,6946,1.8932,0.6658
2014_cross,ideal_children,male,mid,3965,2.0497,0.7586
2014_cross,ideal_children,male,high,4488,2.0847,0.8602
2014_cross,ideal_children,female,low,6506,1.9058,0.7002
2014_cross,ideal_children,female,mid,4148,2.0878,0.7786
2014_cross,ideal_children,female,high,5363,2.1523,0.8496
2014_cross,housework_hours,all,low,13491,1.8046,1.7861
2014_cross,housework_hours,all,mid,8138,2.1185,1.8953
2014_cross,housework_hours,all,high,9866,2.3005,2.1171
2014_cross,housework_hours,male,low,6973,1.3731,1.6125
2014_cross,housework_hours,male,mid,3986,1.4279,1.6702
2014_cross,housework_hours,male,high,4502,1.5169,1.8998
2014_cross,housework_hours,female,low,6518,2.2663,1.8465
2014_cross,housework_hours,female,mid,4152,2.7816,1.8617
2014_cross,housework_hours,female,high,5364,2.9582,2.0658
2020_cross,currently_married,all,low,10524,0.6776,0.4674
2020_cross,currently_married,all,mid,5188,0.8225,0.3821
2020_cross,currently_married,all,high,6980,0.8563,0.3508
2020_cross,currently_married,male,low,5096,0.6662,0.4716
2020_cross,currently_married,male,mid,2833,0.7882,0.4086
2020_cross,currently_married,male,high,3460,0.8474,0.3597
2020_cross,currently_married,female,low,5428,0.6883,0.4632
2020_cross,currently_married,female,mid,2355,0.8637,0.3432
2020_cross,currently_married,female,high,3520,0.8651,0.3417
2020_cross,first_marriage_age,all,low,220,25.0955,3.7423
2020_cross,first_marriage_age,all,mid,83,25.3494,4.2353
2020_cross,first_marriage_age,all,high,91,23.7692,4.1475
2020_cross,first_marriage_age,male,low,125,25.216,3.9443
2020_cross,first_marriage_age,male,mid,55,25.8727,4.4056
2020_cross,first_marriage_age,male,high,50,24.08,3.811
2020_cross,first_marriage_age,female,low,95,24.9368,3.4727
2020_cross,first_marriage_age,female,mid,28,24.3214,3.7422
2020_cross,first_marriage_age,female,high,41,23.3902,4.5436
2020_cross,housework_hours,all,low,6784,1.9548,1.9263
2020_cross,housework_hours,all,mid,3997,2.279,2.1384
2020_cross,housework_hours,all,high,5766,2.6142,2.3484
2020_cross,housework_hours,male,low,3367,1.5731,1.8678
2020_cross,housework_hours,male,mid,2114,1.732,2.0046
2020_cross,housework_hours,male,high,2796,1.9902,2.2726
2020_cross,housework_hours,female,low,3417,2.3309,1.9092
2020_cross,housework_hours,female,mid,1883,2.893,2.1176
2020_cross,housework_hours,female,high,2970,3.2016,2.2661
panel_2014_baseline,currently_married_2020,all,low,7128,0.1288,0.335
panel_2014_baseline,currently_married_2020,all,mid,3991,0.0501,0.2182
panel_2014_baseline,currently_married_2020,all,high,4937,0.0306,0.1722
panel_2014_baseline,currently_married_2020,male,low,3722,0.1381,0.345
panel_2014_baseline,currently_married_2020,male,mid,1937,0.079,0.2698
panel_2014_baseline,currently_married_2020,male,high,2203,0.054,0.2261
panel_2014_baseline,currently_married_2020,female,low,3406,0.1186,0.3234
panel_2014_baseline,currently_married_2020,female,mid,2054,0.0229,0.1496
panel_2014_baseline,currently_married_2020,female,high,2734,0.0117,0.1076
panel_2014_baseline,housework_2020,all,low,4985,2.1909,2.1342
panel_2014_baseline,housework_2020,all,mid,3116,2.4961,2.1918
panel_2014_baseline,housework_2020,all,high,4076,2.6252,2.2948
panel_2014_baseline,housework_2020,male,low,2669,1.7448,2.0614
panel_2014_baseline,housework_2020,male,mid,1468,1.9474,2.1537
panel_2014_baseline,housework_2020,male,high,1792,1.9925,2.2272
panel_2014_baseline,housework_2020,female,low,2316,2.705,2.1011
panel_2014_baseline,housework_2020,female,mid,1648,2.9848,2.1088
panel_2014_baseline,housework_2020,female,high,2284,3.1217,2.2242
