frame,variable,n_total,n_nonmissing,pct_coverage
2014_cross,currently_married,31554,31554,100.0
2014_cross,first_marriage_age,31554,1349,4.28
2014_cross,ideal_children,31554,31416,99.56
2014_cross,housework_hours,31554,31495,99.81
2014_cross,marriage_sat,31554,25153,79.71
2014_cross,cohab_experience,31554,7141,22.63
2020_cross,currently_married,22692,22692,100.0
2020_cross,first_marriage_age,22692,394,1.74
2020_cross,housework_hours,22692,16547,72.92
2020_cross,ideal_marriage_age,22692,3435,15.14
2020_cross,birth_intention_2y,22692,8943,39.41
2020_cross,marriage_sat,22692,17450,76.9
2020_cross,cohab_experience,22692,5562,24.51
2020_cross,childcare_hours,22692,7570,33.36
panel,currently_married_2020,20100,17755,88.33
panel,housework_2020,20100,13316,66.25
panel,marriage_sat_2020,20100,14748,73.37
panel,cohab_experience_2020,20100,3160,15.72
panel,childcare_hours_2020,20100,6007,29.89
panel,birth_intention_2y_2020,20100,6935,34.5
