frame,outcome,stratum,ideation_tertile,n,mean,sd
2014_cross,employed,all,low,12284,0.7535,0.431
2014_cross,employed,all,mid,7981,0.7279,0.4451
2014_cross,employed,all,high,9810,0.7222,0.4479
2014_cross,employed,male,low,6428,0.8191,0.385
2014_cross,employed,male,mid,3881,0.8003,0.3998
2014_cross,employed,male,high,4457,0.8245,0.3804
2014_cross,employed,female,low,5856,0.6815,0.4659
2014_cross,employed,female,mid,4100,0.6593,0.474
2014_cross,employed,female,high,5353,0.637,0.4809
2014_cross,log_wage_month,all,low,3956,7.7612,0.8709
2014_cross,log_wage_month,all,mid,1743,7.7408,0.8014
2014_cross,log_wage_month,all,high,1789,7.6965,0.9061
2014_cross,log_wage_month,male,low,2281,7.8829,0.8849
2014_cross,log_wage_month,male,mid,1080,7.8875,0.7234
2014_cross,log_wage_month,male,high,1125,7.8618,0.9191
2014_cross,log_wage_month,female,low,1675,7.5954,0.8232
2014_cross,log_wage_month,female,mid,663,7.5017,0.8628
2014_cross,log_wage_month,female,high,664,7.4164,0.8105
2014_cross,log_wage_year,all,low,9256,4.7927,5.0429
2014_cross,log_wage_year,all,mid,5809,3.5888,4.8043
2014_cross,log_wage_year,all,high,7085,3.099,4.603
2014_cross,log_wage_year,male,low,5265,5.1336,5.1071
2014_cross,log_wage_year,male,mid,3106,4.3094,5.0241
2014_cross,log_wage_year,male,high,3675,3.9002,4.9198
2014_cross,log_wage_year,female,low,3991,4.3431,4.9216
2014_cross,log_wage_year,female,mid,2703,2.7607,4.3958
2014_cross,log_wage_year,female,high,3410,2.2356,4.0626
2014_cross,mgmt,all,low,3981,0.1384,0.3454
2014_cross,mgmt,all,mid,1760,0.125,0.3308
2014_cross,mgmt,all,high,1800,0.1017,0.3023
2014_cross,mgmt,male,low,2293,0.1539,0.361
2014_cross,mgmt,male,mid,1090,0.1431,0.3504
2014_cross,mgmt,male,high,1128,0.1197,0.3247
2014_cross,mgmt,female,low,1688,0.1173,0.3219
2014_cross,mgmt,female,mid,670,0.0955,0.2942
2014_cross,mgmt,female,high,672,0.0714,0.2577
2014_cross,promotion,all,low,3979,0.1025,0.3034
2014_cross,promotion,all,mid,1759,0.087,0.2819
2014_cross,promotion,all,high,1800,0.0644,0.2456
2014_cross,promotion,male,low,2292,0.1038,0.3051
2014_cross,promotion,male,mid,1090,0.1018,0.3026
2014_cross,promotion,male,high,1128,0.0762,0.2655
2014_cross,promotion,female,low,1687,0.1008,0.3011
2014_cross,promotion,female,mid,669,0.0628,0.2427
2014_cross,promotion,female,high,672,0.0446,0.2067
2014_cross,has_sub,all,low,5012,0.1594,0.3661
2014_cross,has_sub,all,mid,2367,0.1584,0.3652
2014_cross,has_sub,all,high,2520,0.1421,0.3492
2014_cross,has_sub,male,low,2912,0.1858,0.389
2014_cross,has_sub,male,mid,1441,0.1943,0.3958
2014_cross,has_sub,male,high,1564,0.179,0.3835
2014_cross,has_sub,female,low,2100,0.1229,0.3284
2014_cross,has_sub,female,mid,926,0.1026,0.3036
2014_cross,has_sub,female,high,956,0.0816,0.2739
2014_cross,bianzhi,all,low,0,,
2014_cross,bianzhi,all,mid,0,,
2014_cross,bianzhi,all,high,0,,
2014_cross,bianzhi,male,low,0,,
2014_cross,bianzhi,male,mid,0,,
2014_cross,bianzhi,male,high,0,,
2014_cross,bianzhi,female,low,0,,
2014_cross,bianzhi,female,mid,0,,
2014_cross,bianzhi,female,high,0,,
2014_cross,isei,all,low,0,,
2014_cross,isei,all,mid,0,,
2014_cross,isei,all,high,0,,
2014_cross,isei,male,low,0,,
2014_cross,isei,male,mid,0,,
2014_cross,isei,male,high,0,,
2014_cross,isei,female,low,0,,
2014_cross,isei,female,mid,0,,
2014_cross,isei,female,high,0,,
2020_cross,employed,all,low,9272,0.7918,0.406
2020_cross,employed,all,mid,5022,0.7549,0.4302
2020_cross,employed,all,high,6915,0.7475,0.4345
2020_cross,employed,male,low,4532,0.8603,0.3467
2020_cross,employed,male,mid,2707,0.8445,0.3625
2020_cross,employed,male,high,3412,0.8435,0.3634
2020_cross,employed,female,low,4740,0.7264,0.4459
2020_cross,employed,female,mid,2315,0.6501,0.477
2020_cross,employed,female,high,3503,0.654,0.4758
2020_cross,log_wage_month,all,low,4624,8.1065,1.253
2020_cross,log_wage_month,all,mid,1763,8.0011,1.388
2020_cross,log_wage_month,all,high,1645,7.8668,1.5307
2020_cross,log_wage_month,male,low,2438,8.2661,1.1583
2020_cross,log_wage_month,male,mid,1192,8.1698,1.3299
2020_cross,log_wage_month,male,high,1127,8.1319,1.2701
2020_cross,log_wage_month,female,low,2186,7.9284,1.3286
2020_cross,log_wage_month,female,mid,571,7.649,1.441
2020_cross,log_wage_month,female,high,518,7.2901,1.8576
2020_cross,log_wage_year,all,low,5190,10.3522,1.6081
2020_cross,log_wage_year,all,mid,2132,10.1813,1.735
2020_cross,log_wage_year,all,high,2164,9.946,1.803
2020_cross,log_wage_year,male,low,2814,10.4942,1.5055
2020_cross,log_wage_year,male,mid,1451,10.3723,1.649
2020_cross,log_wage_year,male,high,1476,10.2252,1.647
2020_cross,log_wage_year,female,low,2376,10.184,1.7068
2020_cross,log_wage_year,female,mid,681,9.7745,1.8416
2020_cross,log_wage_year,female,high,688,9.347,1.9709
2020_cross,mgmt,all,low,4705,0.1441,0.3512
2020_cross,mgmt,all,mid,1799,0.1373,0.3443
2020_cross,mgmt,all,high,1711,0.104,0.3054
2020_cross,mgmt,male,low,2490,0.1711,0.3767
2020_cross,mgmt,male,mid,1211,0.1594,0.3662
2020_cross,mgmt,male,high,1163,0.123,0.3285
2020_cross,mgmt,female,low,2215,0.1138,0.3176
2020_cross,mgmt,female,mid,588,0.0918,0.289
2020_cross,mgmt,female,high,548,0.0639,0.2447
2020_cross,promotion,all,low,4700,0.1277,0.3337
2020_cross,promotion,all,mid,1799,0.0928,0.2903
2020_cross,promotion,all,high,1709,0.0772,0.267
2020_cross,promotion,male,low,2487,0.1371,0.344
2020_cross,promotion,male,mid,1211,0.1057,0.3076
2020_cross,promotion,male,high,1162,0.0955,0.2941
2020_cross,promotion,female,low,2213,0.117,0.3215
2020_cross,promotion,female,mid,588,0.0663,0.2491
2020_cross,promotion,female,high,547,0.0384,0.1923
2020_cross,has_sub,all,low,5486,0.1679,0.3738
