frame,variable,n_total,n_nonmissing,pct_coverage
2014_cross,employed,31554,30075,95.31
2014_cross,log_wage_month,31554,8083,25.62
2014_cross,log_wage_year,31554,31553,100.0
2014_cross,mgmt,31554,8143,25.81
2014_cross,promotion,31554,8140,25.8
2014_cross,has_sub,31554,10577,33.52
2014_cross,bianzhi,31554,0,0.0
2014_cross,isei,31554,0,0.0
2020_cross,employed,22692,21209,93.46
2020_cross,log_wage_month,22692,8639,38.07
2020_cross,log_wage_year,22692,10177,44.85
2020_cross,mgmt,22692,10003,44.08
2020_cross,promotion,22692,9988,44.02
2020_cross,has_sub,22692,11729,51.69
2020_cross,bianzhi,22692,2599,11.45
2020_cross,isei,22692,18237,80.37
panel,employed_2020,20100,14661,72.94
panel,log_wage_month_2020,20100,6606,32.87
panel,log_wage_year_2020,20100,7913,39.37
panel,mgmt_2020,20100,7744,38.53
panel,promotion_2020,20100,7729,38.45
panel,has_sub_2020,20100,9149,45.52
panel,bianzhi_2020,20100,2022,10.06
panel,isei_2020,20100,15077,75.01
