frame,outcome,stratum,n,term,coef,se,t,p
2014_cross,employed,all,9262,const,0.72149,0.03597,20.057,0.0
2014_cross,employed,all,9262,ideation,0.00766,0.01528,0.501,0.61624
2014_cross,employed,all,9262,female,-0.01798,0.01723,-1.044,0.29672
2014_cross,employed,all,9262,age_c,0.01234,0.00264,4.681,0.0
2014_cross,employed,all,9262,age_c2,-0.01815,0.002,-9.068,0.0
2014_cross,employed,all,9262,urban,-0.00958,0.00606,-1.581,0.114
2014_cross,employed,all,9262,edu_yrs,0.00079,0.00075,1.055,0.29165
2014_cross,employed,all,9262,log_income,0.02487,0.00335,7.419,0.0
2014_cross,employed,all,9262,ideation_x_female,-0.02719,0.02918,-0.932,0.3515
2014_cross,employed,male,5614,const,0.75828,0.04549,16.669,0.0
2014_cross,employed,male,5614,ideation,0.00973,0.01532,0.635,0.52559
2014_cross,employed,male,5614,age_c,0.00562,0.00298,1.889,0.05893
2014_cross,employed,male,5614,age_c2,-0.01607,0.00236,-6.807,0.0
2014_cross,employed,male,5614,urban,-0.0105,0.00677,-1.552,0.12077
2014_cross,employed,male,5614,edu_yrs,0.00017,0.00085,0.205,0.8374
2014_cross,employed,male,5614,log_income,0.02139,0.00427,5.011,0.0
2014_cross,employed,female,3648,const,0.66339,0.05578,11.893,0.0
2014_cross,employed,female,3648,ideation,-0.03049,0.02686,-1.135,0.25641
2014_cross,employed,female,3648,age_c,0.02528,0.0054,4.684,0.0
2014_cross,employed,female,3648,age_c2,-0.01987,0.0038,-5.227,0.0
2014_cross,employed,female,3648,urban,-0.01207,0.01129,-1.069,0.28494
2014_cross,employed,female,3648,edu_yrs,0.00211,0.00134,1.574,0.11557
2014_cross,employed,female,3648,log_income,0.02906,0.00534,5.442,0.0
2014_cross,log_wage_month,all,7465,const,7.7436,0.05375,144.066,0.0
2014_cross,log_wage_month,all,7465,ideation,0.20093,0.07113,2.825,0.00474
2014_cross,log_wage_month,all,7465,female,-0.17071,0.06429,-2.655,0.00794
2014_cross,log_wage_month,all,7465,age_c,-0.06053,0.01024,-5.908,0.0
2014_cross,log_wage_month,all,7465,age_c2,-0.09567,0.00857,-11.156,0.0
2014_cross,log_wage_month,all,7465,urban,-0.05558,0.02342,-2.373,0.01765
2014_cross,log_wage_month,all,7465,edu_yrs,0.01853,0.00301,6.164,0.0
2014_cross,log_wage_month,all,7465,ideation_x_female,-0.38052,0.10871,-3.5,0.00047
2014_cross,log_wage_month,male,4472,const,7.84639,0.06213,126.289,0.0
