frame,outcome,stratum,n_hi,n_lo,diff,t,p,d
2014_cross,employed,all,9810,12284,-0.03127826621802532,-5.2441736575994495,1.585304267717372e-07,-0.07131540455130321
2014_cross,employed,male,4457,6428,0.005472852043009624,0.734467624216717,0.46268161988744716,0.014285136442464213
2014_cross,employed,female,5353,5856,-0.04449725729609766,-4.966445901900378,6.92112317969701e-07,-0.09404732412778748
2014_cross,log_wage_month,all,1789,3956,-0.06468028353395727,-2.5357800137938162,0.011265054824198642,-0.07333500673810768
2014_cross,log_wage_month,male,1125,2281,-0.02108969050049936,-0.6375720371470828,0.5238197626349409,-0.023528958602457316
2014_cross,log_wage_month,female,664,1675,-0.17900266485255223,-4.794327183543742,1.8307244694206665e-06,-0.21839121349916024
2014_cross,log_wage_year,all,7085,9256,-1.6936901281937242,-22.359103139169825,4.759388013451148e-109,-0.3487058431787161
2014_cross,log_wage_year,male,3675,5265,-1.2333944754117403,-11.481390864930518,2.806488869593744e-30,-0.24515991878692447
2014_cross,log_wage_year,female,3410,3991,-2.1074371231411515,-20.17712089991797,3.569377748105108e-88,-0.4635799117144027
2014_cross,mgmt,all,1800,3981,-0.0367407686510927,-4.089130594536162,4.4165793379909284e-05,-0.1104788469788441
2014_cross,mgmt,male,1128,2293,-0.034265943528407464,-2.7949006897293858,0.0052317388069640525,-0.0980582356288581
2014_cross,mgmt,female,672,1688,-0.04587000677048071,-3.623826040651659,0.0002997825404622695,-0.1503957411116764
2014_cross,promotion,all,1800,3979,-0.038093881768171786,-5.0613499798966215,4.3398901444310867e-07,-0.13289294245846647
2014_cross,promotion,male,1128,2292,-0.02759830678400356,-2.717886153950997,0.006614656665943642,-0.09430511304458243
2014_cross,promotion,female,672,1687,-0.05612774155305276,-5.182200881115567,2.4422085705544157e-07,-0.20224765692274904
2014_cross,has_sub,all,2520,5012,-0.01735390618072183,-2.0021657150027954,0.045318116626120265,-0.048134351548065946
2014_cross,has_sub,male,1564,2912,-0.006754834040639673,-0.5590352244053457,0.5761763529461961,-0.017450484170616662
2014_cross,has_sub,female,956,2100,-0.04126718469814704,-3.622100256553654,0.0002988742270022635,-0.13212219997272198
2020_cross,employed,all,6915,9272,-0.04434099633351363,-6.604316174440023,4.134352790166581e-11,-0.10597593012293813
2020_cross,employed,male,3412,4532,-0.01683301446843033,-2.0843144099736084,0.03716694954422412,-0.047556799454682996
2020_cross,employed,female,3503,4740,-0.07236046017217312,-7.009935261957236,2.598640795357533e-12,-0.15771426804582164
2020_cross,log_wage_month,all,1645,4624,-0.23967864686865514,-5.706947907016437,1.2875943181463153e-08,-0.18001455989361215
2020_cross,log_wage_month,male,1127,2438,-0.13427314013518732,-3.0163002388364584,0.0025907134413990784,-0.11238538134205792
2020_cross,log_wage_month,female,518,2186,-0.6383221358822118,-7.386114386642498,4.671626955053329e-13,-0.44178697593840033
2020_cross,log_wage_year,all,2164,5190,-0.4062268627648056,-9.082187124453725,1.6992403154638295e-19,-0.24356472194576023
2020_cross,log_wage_year,male,1476,2814,-0.2690720268585505,-5.233425531675672,1.788297419836269e-07,-0.17296184736924822
2020_cross,log_wage_year,female,688,2376,-0.8369631476406063,-10.096150302137435,6.808459739968407e-23,-0.4729907755385358
2020_cross,mgmt,all,1711,4705,-0.04006928973057375,-4.459630574966405,8.471041687433352e-06,-0.11798438523149896
2020_cross,mgmt,male,1163,2490,-0.04812646976556269,-3.932377068306016,8.633116307414938e-05,-0.13293306691066525
2020_cross,mgmt,female,548,2215,-0.04990113855431612,-4.010167749299818,6.495986259959771e-05,-0.1638488620788503
2020_cross,promotion,all,1709,4700,-0.05042142350260821,-6.2335285743416975,5.064490606554162e-10,-0.15888844582172895
2020_cross,promotion,male,1162,2487,-0.04158803056444284,-3.7650448638400116,0.00017017908842980182,-0.12642560018560822
2020_cross,promotion,female,547,2213,-0.07864447328442285,-7.355049266181689,3.2410911070423235e-13,-0.2617996114739519
2020_cross,has_sub,all,2177,5486,-0.026402781473566728,-2.9284354597071967,0.0034247722566896482,-0.07197871792903726
2020_cross,has_sub,male,1473,2887,-0.03126217651475549,-2.518929993402474,0.011820581486244725,-0.07901947406117489
2020_cross,has_sub,female,704,2599,-0.052723512539788034,-4.458095299529736,8.938582976836212e-06,-0.16537624312505403
2020_cross,bianzhi,all,390,1486,-0.15192048866342273,-5.504880823287996,5.389493168603125e-08,-0.30621828320043815
2020_cross,bianzhi,male,299,752,-0.12856240660357215,-3.8079306140602838,0.00015574748576441155,-0.25863201827628374
2020_cross,bianzhi,female,91,734,-0.2734077911189628,-5.768688168865486,5.952490271308005e-08,-0.5559138951757018
2020_cross,isei,all,5044,7238,-10.581090493187443,-41.97548508525516,0.0,-0.723043904855569
2020_cross,isei,male,2816,3854,-7.191505762902768,-20.349033504311926,2.4010277370900082e-89,-0.48560271310812386
2020_cross,isei,female,2228,3384,-14.658633828641275,-42.2881298292933,0.0,-1.0348294316400672
lagged_2014to2020,employed_2020,all,3886,5802,0.005393281071730094,2.2998028084556004,0.021481425584091413,0.045849583276842826
lagged_2014to2020,employed_2020,male,1953,3238,0.0027222495791305867,0.9679077355626814,0.3331419732831382,0.026827506837630417
