frame,outcome,stratum,ideation_tertile,n,mean,sd
2014_cross,edu_yrs,all,low,13502,8.914,4.508
2014_cross,edu_yrs,all,mid,8148,6.931,4.68
2014_cross,edu_yrs,all,high,9881,5.952,4.444
2014_cross,edu_yrs,male,low,6975,9.191,4.102
2014_cross,edu_yrs,male,mid,3987,7.871,4.338
2014_cross,edu_yrs,male,high,4504,7.08,4.189
2014_cross,edu_yrs,female,low,6527,8.619,4.887
2014_cross,edu_yrs,female,mid,4161,6.03,4.817
2014_cross,edu_yrs,female,high,5377,5.008,4.431
2020_cross,edu_yrs,all,low,10404,10.786,4.264
2020_cross,edu_yrs,all,mid,5097,8.544,4.545
2020_cross,edu_yrs,all,high,6844,6.39,4.499
2020_cross,edu_yrs,male,low,5021,10.816,3.941
2020_cross,edu_yrs,male,mid,2780,9.394,4.139
2020_cross,edu_yrs,male,high,3393,7.607,4.259
2020_cross,edu_yrs,female,low,5383,10.758,4.544
2020_cross,edu_yrs,female,mid,2317,7.524,4.796
2020_cross,edu_yrs,female,high,3451,5.194,4.407
2014_young_cohort,edu_yrs,all,low,1592,11.281,2.747
2014_young_cohort,edu_yrs,all,mid,1001,10.727,3.037
2014_young_cohort,edu_yrs,all,high,1201,9.8,3.367
2014_young_cohort,edu_yrs,male,low,625,11.12,2.912
2014_young_cohort,edu_yrs,male,mid,532,10.803,2.889
2014_young_cohort,edu_yrs,male,high,647,10.284,3.197
2014_young_cohort,edu_yrs,female,low,967,11.386,2.63
2014_young_cohort,edu_yrs,female,mid,469,10.642,3.198
2014_young_cohort,edu_yrs,female,high,554,9.235,3.473
2020_young_cohort,edu_yrs,all,low,1905,13.228,2.78
2020_young_cohort,edu_yrs,all,mid,1926,12.268,3.041
2020_young_cohort,edu_yrs,all,high,1365,10.952,3.365
2020_young_cohort,edu_yrs,male,low,619,13.094,2.821
2020_young_cohort,edu_yrs,male,mid,1063,12.403,3.03
2020_young_cohort,edu_yrs,male,high,871,11.274,3.266
2020_young_cohort,edu_yrs,female,low,1286,13.292,2.759
2020_young_cohort,edu_yrs,female,mid,863,12.102,3.047
2020_young_cohort,edu_yrs,female,high,494,10.383,3.462
