frame,outcome,stratum,n,term,coef,se,t,p
2014_cross,edu_yrs,all,9262,const,3.36771,0.45027,7.479,0.0
2014_cross,edu_yrs,all,9262,ideation,-2.53463,0.24499,-10.346,0.0
2014_cross,edu_yrs,all,9262,female,1.23037,0.22128,5.56,0.0
2014_cross,edu_yrs,all,9262,age_c,-1.11748,0.02952,-37.851,0.0
2014_cross,edu_yrs,all,9262,age_c2,0.02407,0.02285,1.053,0.2922
2014_cross,edu_yrs,all,9262,urban,3.41044,0.07242,47.093,0.0
2014_cross,edu_yrs,all,9262,log_income,0.64478,0.04119,15.654,0.0
2014_cross,edu_yrs,all,9262,ideation_x_female,-2.39271,0.38421,-6.228,0.0
2014_cross,edu_yrs,male,5614,const,3.93536,0.58387,6.74,0.0
2014_cross,edu_yrs,male,5614,ideation,-2.67993,0.2451,-10.934,0.0
2014_cross,edu_yrs,male,5614,age_c,-0.97096,0.03508,-27.682,0.0
2014_cross,edu_yrs,male,5614,age_c2,0.01129,0.02739,0.412,0.68012
2014_cross,edu_yrs,male,5614,urban,3.37179,0.09068,37.181,0.0
2014_cross,edu_yrs,male,5614,log_income,0.60006,0.05431,11.05,0.0
2014_cross,edu_yrs,female,3648,const,4.03282,0.66572,6.058,0.0
2014_cross,edu_yrs,female,3648,ideation,-4.35891,0.30979,-14.07,0.0
2014_cross,edu_yrs,female,3648,age_c,-1.43487,0.0553,-25.945,0.0
2014_cross,edu_yrs,female,3648,age_c2,-0.03494,0.04193,-0.833,0.40479
2014_cross,edu_yrs,female,3648,urban,3.50803,0.11912,29.449,0.0
2014_cross,edu_yrs,female,3648,log_income,0.66497,0.06383,10.417,0.0
2020_cross,edu_yrs,all,9771,const,1.69665,0.47449,3.576,0.00035
2020_cross,edu_yrs,all,9771,ideation,-3.37252,0.2296,-14.688,0.0
2020_cross,edu_yrs,all,9771,female,0.9079,0.16898,5.373,0.0
2020_cross,edu_yrs,all,9771,age_c,-1.2901,0.03074,-41.968,0.0
2020_cross,edu_yrs,all,9771,age_c2,0.09087,0.0226,4.021,6e-05
2020_cross,edu_yrs,all,9771,urban,2.82325,0.07079,39.884,0.0
2020_cross,edu_yrs,all,9771,log_income,0.9241,0.0422,21.896,0.0
2020_cross,edu_yrs,all,9771,ideation_x_female,-2.02289,0.34078,-5.936,0.0
2020_cross,edu_yrs,male,5766,const,2.07018,0.63193,3.276,0.00106
2020_cross,edu_yrs,male,5766,ideation,-3.53857,0.23151,-15.285,0.0
2020_cross,edu_yrs,male,5766,age_c,-1.17212,0.0368,-31.853,0.0
2020_cross,edu_yrs,male,5766,age_c2,0.09257,0.02795,3.312,0.00093
2020_cross,edu_yrs,male,5766,urban,2.95727,0.08984,32.918,0.0
2020_cross,edu_yrs,male,5766,log_income,0.89218,0.05683,15.698,0.0
2020_cross,edu_yrs,female,4005,const,2.11531,0.69057,3.063,0.0022
2020_cross,edu_yrs,female,4005,ideation,-4.82407,0.28983,-16.645,0.0
2020_cross,edu_yrs,female,4005,age_c,-1.52892,0.05556,-27.52,0.0
2020_cross,edu_yrs,female,4005,age_c2,0.04321,0.03984,1.085,0.27811
2020_cross,edu_yrs,female,4005,urban,2.67258,0.11423,23.397,0.0
2020_cross,edu_yrs,female,4005,log_income,0.95387,0.0632,15.094,0.0
2014_young_cohort,edu_yrs,all,1196,const,6.03411,5.75579,1.048,0.29469
2014_young_cohort,edu_yrs,all,1196,ideation,-2.30392,0.5896,-3.908,0.0001
2014_young_cohort,edu_yrs,all,1196,female,0.66054,0.45481,1.452,0.14667
2014_young_cohort,edu_yrs,all,1196,age_c,-10.67316,5.77586,-1.848,0.06487
2014_young_cohort,edu_yrs,all,1196,age_c2,-3.73862,1.4757,-2.533,0.01142
2014_young_cohort,edu_yrs,all,1196,urban,2.28093,0.20032,11.386,0.0
2014_young_cohort,edu_yrs,all,1196,log_income,-0.11935,0.08415,-1.418,0.15638
2014_young_cohort,edu_yrs,all,1196,ideation_x_female,-1.13819,0.8355,-1.362,0.17337
2014_young_cohort,edu_yrs,male,656,const,8.60743,8.03228,1.072,0.2843
2014_young_cohort,edu_yrs,male,656,ideation,-2.26004,0.59635,-3.79,0.00016
2014_young_cohort,edu_yrs,male,656,age_c,-8.76164,7.97494,-1.099,0.27233
2014_young_cohort,edu_yrs,male,656,age_c2,-3.29188,2.03697,-1.616,0.10657
2014_young_cohort,edu_yrs,male,656,urban,2.48734,0.25648,9.698,0.0
2014_young_cohort,edu_yrs,male,656,log_income,-0.18624,0.13134,-1.418,0.15666
2014_young_cohort,edu_yrs,female,540,const,3.55864,8.19442,0.434,0.66426
2014_young_cohort,edu_yrs,female,540,ideation,-3.48075,0.60203,-5.782,0.0
2014_young_cohort,edu_yrs,female,540,age_c,-13.14541,8.30596,-1.583,0.11409
2014_young_cohort,edu_yrs,female,540,age_c2,-4.33518,2.12124,-2.044,0.04147
2014_young_cohort,edu_yrs,female,540,urban,2.02938,0.31661,6.41,0.0
2014_young_cohort,edu_yrs,female,540,log_income,-0.04486,0.11088,-0.405,0.68594
2020_young_cohort,edu_yrs,all,2686,const,3.14301,1.1904,2.64,0.00833
2020_young_cohort,edu_yrs,all,2686,ideation,-3.90882,0.40355,-9.686,0.0
2020_young_cohort,edu_yrs,all,2686,female,0.49402,0.25572,1.932,0.05348
2020_young_cohort,edu_yrs,all,2686,age_c,-8.66898,1.28896,-6.726,0.0
2020_young_cohort,edu_yrs,all,2686,age_c2,-3.13804,0.40789,-7.693,0.0
2020_young_cohort,edu_yrs,all,2686,urban,1.60327,0.11835,13.547,0.0
2020_young_cohort,edu_yrs,all,2686,log_income,0.49188,0.06574,7.483,0.0
2020_young_cohort,edu_yrs,all,2686,ideation_x_female,-0.48415,0.59081,-0.819,0.41259
2020_young_cohort,edu_yrs,male,1454,const,3.7597,1.675,2.245,0.02495
2020_young_cohort,edu_yrs,male,1454,ideation,-3.86566,0.40976,-9.434,0.0
2020_young_cohort,edu_yrs,male,1454,age_c,-8.64689,1.76504,-4.899,0.0
2020_young_cohort,edu_yrs,male,1454,age_c2,-3.13038,0.5512,-5.679,0.0
2020_young_cohort,edu_yrs,male,1454,urban,1.75,0.16883,10.366,0.0
2020_young_cohort,edu_yrs,male,1454,log_income,0.42996,0.09785,4.394,1e-05
2020_young_cohort,edu_yrs,female,1232,const,3.0245,1.69176,1.788,0.07406
2020_young_cohort,edu_yrs,female,1232,ideation,-4.38099,0.45297,-9.672,0.0
2020_young_cohort,edu_yrs,female,1232,age_c,-8.74164,1.91197,-4.572,1e-05
2020_young_cohort,edu_yrs,female,1232,age_c2,-3.17627,0.61599,-5.156,0.0
2020_young_cohort,edu_yrs,female,1232,urban,1.44659,0.16589,8.72,0.0
2020_young_cohort,edu_yrs,female,1232,log_income,0.55348,0.09033,6.127,0.0
lagged_young_cohort_delta,edu_yrs_2020,all,632,const,9.48928,5.432,1.747,0.08114
lagged_young_cohort_delta,edu_yrs_2020,all,632,ideation,-0.23615,0.45699,-0.517,0.60552
lagged_young_cohort_delta,edu_yrs_2020,all,632,female,0.71124,0.36021,1.974,0.04877
lagged_young_cohort_delta,edu_yrs_2020,all,632,age_c,7.15909,5.53111,1.294,0.19603
lagged_young_cohort_delta,edu_yrs_2020,all,632,age_c2,1.98039,1.44452,1.371,0.17088
lagged_young_cohort_delta,edu_yrs_2020,all,632,urban,0.43256,0.15353,2.817,0.00499
