frame,decade,female,tertile,n,mean_edu_yrs
2014_cross,1920,0,low,20,6.2
2014_cross,1920,0,high,25,2.28
2014_cross,1930,0,low,243,6.078
2014_cross,1930,0,mid,185,4.616
2014_cross,1930,0,high,196,3.128
2014_cross,1940,0,low,624,6.58
2014_cross,1940,0,mid,506,5.506
2014_cross,1940,0,high,581,5.036
2014_cross,1950,0,low,1007,7.791
2014_cross,1950,0,mid,799,6.748
2014_cross,1950,0,high,986,6.167
2014_cross,1960,0,low,1304,8.681
2014_cross,1960,0,mid,862,8.081
2014_cross,1960,0,high,1027,7.494
2014_cross,1970,0,low,1300,9.2
2014_cross,1970,0,mid,669,8.46
2014_cross,1970,0,high,765,7.407
2014_cross,1980,0,low,1320,11.043
2014_cross,1980,0,mid,596,9.953
2014_cross,1980,0,high,629,9.42
2014_cross,1990,0,low,1157,10.974
2014_cross,1990,0,mid,352,10.594
2014_cross,1990,0,high,295,9.915
2014_cross,1920,1,low,21,1.905
2014_cross,1920,1,mid,22,0.955
2014_cross,1920,1,high,59,0.797
2014_cross,1930,1,low,178,2.556
2014_cross,1930,1,mid,162,1.938
2014_cross,1930,1,high,258,1.651
2014_cross,1940,1,low,471,4.374
2014_cross,1940,1,mid,489,3.397
2014_cross,1940,1,high,657,2.496
2014_cross,1950,1,low,781,5.024
2014_cross,1950,1,mid,880,4.224
2014_cross,1950,1,high,1196,3.611
2014_cross,1960,1,low,1031,7.352
2014_cross,1960,1,mid,967,6.022
2014_cross,1960,1,high,1415,5.724
2014_cross,1970,1,low,1165,8.536
2014_cross,1970,1,mid,746,6.843
2014_cross,1970,1,high,905,5.736
2014_cross,1980,1,low,1443,11.26
2014_cross,1980,1,mid,606,9.307
2014_cross,1980,1,high,617,7.93
2014_cross,1990,1,low,1436,11.143
2014_cross,1990,1,mid,288,9.76
2014_cross,1990,1,high,266,8.665
2020_cross,1930,0,low,32,8.281
2020_cross,1930,0,mid,27,5.963
2020_cross,1930,0,high,35,5.229
2020_cross,1940,0,low,202,7.139
2020_cross,1940,0,mid,188,5.995
2020_cross,1940,0,high,331,5.278
2020_cross,1950,0,low,479,8.251
2020_cross,1950,0,mid,452,7.555
2020_cross,1950,0,high,640,6.15
2020_cross,1960,0,low,703,8.957
2020_cross,1960,0,mid,542,8.601
2020_cross,1960,0,high,869,7.135
2020_cross,1970,0,low,851,9.657
2020_cross,1970,0,mid,511,9.037
2020_cross,1970,0,high,589,7.834
2020_cross,1980,0,low,1062,11.979
2020_cross,1980,0,mid,531,11.1
2020_cross,1980,0,high,575,9.513
2020_cross,1990,0,low,1151,13.301
2020_cross,1990,0,mid,383,12.217
2020_cross,1990,0,high,285,10.526
2020_cross,2000,0,low,531,11.26
2020_cross,2000,0,mid,144,10.681
2020_cross,2000,0,high,59,10.22
2020_cross,1930,1,low,29,5.069
2020_cross,1930,1,high,36,1.806
2020_cross,1940,1,low,159,4.623
2020_cross,1940,1,mid,172,3.994
2020_cross,1940,1,high,323,3.012
2020_cross,1950,1,low,356,5.166
2020_cross,1950,1,mid,398,4.882
2020_cross,1950,1,high,772,3.563
2020_cross,1960,1,low,550,8.036
2020_cross,1960,1,mid,517,6.567
2020_cross,1960,1,high,1057,5.358
2020_cross,1970,1,low,820,9.257
2020_cross,1970,1,mid,471,7.584
2020_cross,1970,1,high,665,5.293
2020_cross,1980,1,low,1299,11.869
2020_cross,1980,1,mid,431,10.114
2020_cross,1980,1,high,411,7.83
2020_cross,1990,1,low,1528,13.368
2020_cross,1990,1,mid,254,11.114
2020_cross,1990,1,high,156,9.301
2020_cross,2000,1,low,621,11.451
2020_cross,2000,1,mid,56,10.446
2020_cross,2000,1,high,28,9.643
