frame,outcome,stratum,n_hi,n_lo,diff,t,p,d
2014_cross,edu_yrs,all,9881,13502,-2.961800963985125,-50.039984971949,0.0,-0.661007618177531
2014_cross,edu_yrs,male,4504,6975,-2.1108167650260707,-26.57469591859678,3.9185589343159993e-150,-0.5103022594920801
2014_cross,edu_yrs,female,5377,6527,-3.61069669003982,-42.22959395670753,0.0,-0.7704275032958796
2020_cross,edu_yrs,all,6844,10404,-4.395582746913642,-64.08708475622944,0.0,-1.008524388275261
2020_cross,edu_yrs,male,3393,5021,-3.2083466945460373,-34.92570867519519,3.2260725972518604e-246,-0.787896588672386
2020_cross,edu_yrs,female,3451,5383,-5.564374586209534,-57.199971776367995,0.0,-1.2389744967674847
2014_young_cohort,edu_yrs,all,1201,1592,-1.4812405072824575,-12.440608946248528,2.017623421566275e-34,-0.48904840498747715
2014_young_cohort,edu_yrs,male,647,625,-0.8356105100463669,-4.8763541846007135,1.217773795934095e-06,-0.27305351364701425
2014_young_cohort,edu_yrs,female,554,967,-2.1510720192340003,-12.646594440612118,6.504824182438298e-34,-0.725467746349233
2020_young_cohort,edu_yrs,all,1365,1905,-2.276173170661359,-20.48227484996596,1.618874451026415e-86,-0.7493320910026331
2020_young_cohort,edu_yrs,male,871,619,-1.8193022708008346,-11.483176897566649,2.9233654397084655e-29,-0.5889697349781794
2020_young_cohort,edu_yrs,female,494,1286,-2.909788378111207,-16.749555103813112,1.0825488637053553e-53,-0.9795644927410881
lagged_young_cohort_delta,edu_yrs_2020,all,642,926,-2.3441795684382623,-13.283600213014733,1.1301239595714404e-37,-0.7062275342047122
lagged_young_cohort_delta,edu_yrs_2020,male,355,380,-1.608821349147517,-6.436533522314894,2.2406124312543493e-10,-0.4765967435558066
lagged_young_cohort_delta,edu_yrs_2020,female,287,546,-3.101134637720003,-12.105396483526176,1.6653096095964508e-29,-0.9591577880624925
