wave,subgroup,n,spearman_rho,rank_rank_slope
2014,all,10841,0.2337,0.2329
2014,wife_birth_decade=1930,214,0.289,0.2813
2014,wife_birth_decade=1940,1051,0.2361,0.2297
2014,wife_birth_decade=1950,2273,0.2423,0.2368
2014,wife_birth_decade=1960,2802,0.2359,0.2298
2014,wife_birth_decade=1970,2274,0.1943,0.1951
2014,wife_birth_decade=1980,1834,0.2178,0.2071
2014,wife_birth_decade=1990,389,0.1339,0.1229
2014,couple_urban=0,7332,0.2137,0.2108
2014,couple_urban=1,3509,0.2335,0.237
2014,wife_edu_tertile=low,3623,0.1995,0.1894
2014,wife_edu_tertile=mid,5282,0.2073,0.2049
2014,wife_edu_tertile=high,1932,0.2194,0.2186
2020,all,6624,0.2416,0.2418
2020,wife_birth_decade=1940,315,0.2992,0.264
2020,wife_birth_decade=1950,1023,0.2171,0.1969
2020,wife_birth_decade=1960,1572,0.1775,0.1769
2020,wife_birth_decade=1970,1487,0.1962,0.1916
2020,wife_birth_decade=1980,1461,0.144,0.145
2020,wife_birth_decade=1990,721,0.213,0.1598
2020,couple_urban=0,4349,0.1991,0.2002
2020,couple_urban=1,2275,0.2451,0.2455
2020,wife_edu_tertile=low,2651,0.137,0.1286
2020,wife_edu_tertile=mid,2117,0.1083,0.1068
2020,wife_edu_tertile=high,1768,0.2047,0.1825
