wave,outcome,n,term,coef,se,t,p
2014,wife_ideation,10809,const,0.5483,0.00783,69.99,0.0
2014,wife_ideation,10809,husband_ideation,0.17628,0.00994,17.731,0.0
2014,wife_ideation,10809,wife_age_c,0.02364,0.00446,5.306,0.0
2014,wife_ideation,10809,husband_age_c,-0.00964,0.00445,-2.167,0.03029
2014,wife_ideation,10809,wife_edu_yrs,-0.00544,0.0004,-13.504,0.0
2014,wife_ideation,10809,husband_edu_yrs,0.00039,0.00042,0.921,0.35711
2014,wife_ideation,10809,couple_urban,-0.02722,0.00361,-7.541,0.0
2014,husband_ideation,10809,const,0.52911,0.00851,62.212,0.0
2014,husband_ideation,10809,wife_ideation,0.19952,0.01116,17.882,0.0
2014,husband_ideation,10809,wife_age_c,-0.00394,0.0047,-0.84,0.40116
2014,husband_ideation,10809,husband_age_c,0.00422,0.00466,0.907,0.3644
2014,husband_ideation,10809,wife_edu_yrs,-0.00066,0.00045,-1.483,0.13802
2014,husband_ideation,10809,husband_edu_yrs,-0.0052,0.00045,-11.579,0.0
2014,husband_ideation,10809,couple_urban,-0.01025,0.00388,-2.643,0.00824
2020,wife_ideation,6389,const,0.56483,0.01122,50.328,0.0
2020,wife_ideation,6389,husband_ideation,0.12123,0.01369,8.856,0.0
2020,wife_ideation,6389,wife_age_c,0.02623,0.00673,3.898,0.0001
2020,wife_ideation,6389,husband_age_c,0.0032,0.00675,0.475,0.63498
2020,wife_ideation,6389,wife_edu_yrs,-0.00924,0.00058,-15.897,0.0
2020,wife_ideation,6389,husband_edu_yrs,-0.0016,0.00062,-2.569,0.01022
2020,wife_ideation,6389,couple_urban,-0.03472,0.00506,-6.868,0.0
2020,husband_ideation,6389,const,0.57546,0.01108,51.944,0.0
2020,husband_ideation,6389,wife_ideation,0.12299,0.01381,8.903,0.0
2020,husband_ideation,6389,wife_age_c,-0.01712,0.0066,-2.593,0.00953
2020,husband_ideation,6389,husband_age_c,0.0214,0.00657,3.255,0.00114
2020,husband_ideation,6389,wife_edu_yrs,-0.00241,0.00062,-3.92,9e-05
2020,husband_ideation,6389,husband_edu_yrs,-0.00644,0.00063,-10.23,0.0
2020,husband_ideation,6389,couple_urban,-0.01453,0.00516,-2.819,0.00484
