wave,outcome,n,term,coef,se,t,p
2014,wife_housework_hours,1633,const,4.43515,0.58432,7.59,0.0
2014,wife_housework_hours,1633,wife_ideation,0.79003,0.18922,4.175,3e-05
2014,wife_housework_hours,1633,husband_ideation,0.2695,0.18645,1.445,0.14852
2014,wife_housework_hours,1633,wife_age_c,0.27919,0.13349,2.092,0.03664
2014,wife_housework_hours,1633,husband_age_c,0.07717,0.13302,0.58,0.56191
2014,wife_housework_hours,1633,wife_edu_yrs,-0.01395,0.01211,-1.152,0.24948
2014,wife_housework_hours,1633,husband_edu_yrs,-0.01954,0.01283,-1.524,0.12778
2014,wife_housework_hours,1633,wife_log_income,-0.14206,0.04042,-3.514,0.00045
2014,wife_housework_hours,1633,husband_log_income,-0.12473,0.05861,-2.128,0.03348
2014,wife_housework_hours,1633,couple_urban,-0.09094,0.08696,-1.046,0.29584
2014,husband_housework_hours,1633,const,2.56166,0.45746,5.6,0.0
2014,husband_housework_hours,1633,wife_ideation,0.05067,0.16267,0.311,0.75548
2014,husband_housework_hours,1633,husband_ideation,-0.43121,0.15383,-2.803,0.00512
2014,husband_housework_hours,1633,wife_age_c,-0.1589,0.14644,-1.085,0.27807
2014,husband_housework_hours,1633,husband_age_c,0.36341,0.17884,2.032,0.04231
2014,husband_housework_hours,1633,wife_edu_yrs,-0.01235,0.01124,-1.099,0.27203
2014,husband_housework_hours,1633,husband_edu_yrs,0.00382,0.01112,0.344,0.73088
2014,husband_housework_hours,1633,wife_log_income,0.03984,0.02701,1.475,0.14044
2014,husband_housework_hours,1633,husband_log_income,-0.15199,0.0401,-3.791,0.00016
2014,husband_housework_hours,1633,couple_urban,-0.17554,0.09153,-1.918,0.0553
2020,wife_housework_hours,928,const,3.31369,0.89889,3.686,0.00024
2020,wife_housework_hours,928,wife_ideation,0.66278,0.31197,2.124,0.0339
2020,wife_housework_hours,928,husband_ideation,0.19988,0.33443,0.598,0.55022
2020,wife_housework_hours,928,wife_age_c,0.38035,0.22027,1.727,0.08455
2020,wife_housework_hours,928,husband_age_c,-0.07831,0.22788,-0.344,0.73118
2020,wife_housework_hours,928,wife_edu_yrs,-0.03277,0.02058,-1.593,0.11161
2020,wife_housework_hours,928,husband_edu_yrs,0.00557,0.02053,0.272,0.78603
2020,wife_housework_hours,928,wife_log_income,-0.15135,0.05605,-2.7,0.00706
2020,wife_housework_hours,928,husband_log_income,0.01504,0.07196,0.209,0.83454
2020,wife_housework_hours,928,couple_urban,-0.01453,0.1212,-0.12,0.9046
2020,husband_housework_hours,1038,const,5.50684,1.05701,5.21,0.0
2020,husband_housework_hours,1038,wife_ideation,-0.17785,0.27273,-0.652,0.51448
2020,husband_housework_hours,1038,husband_ideation,0.17423,0.26925,0.647,0.51772
2020,husband_housework_hours,1038,wife_age_c,-0.14618,0.17002,-0.86,0.3901
2020,husband_housework_hours,1038,husband_age_c,0.11131,0.15727,0.708,0.47926
2020,husband_housework_hours,1038,wife_edu_yrs,-0.06768,0.01852,-3.654,0.00027
2020,husband_housework_hours,1038,husband_edu_yrs,-0.00815,0.02142,-0.38,0.70366
2020,husband_housework_hours,1038,wife_log_income,0.00913,0.05369,0.17,0.86502
2020,husband_housework_hours,1038,husband_log_income,-0.35794,0.08619,-4.153,4e-05
2020,husband_housework_hours,1038,couple_urban,0.2383,0.13528,1.762,0.07844
2020,wife_childcare_hours,706,const,11.56105,2.82828,4.088,5e-05
2020,wife_childcare_hours,706,wife_ideation,-0.92088,0.74271,-1.24,0.21544
2020,wife_childcare_hours,706,husband_ideation,-1.06931,0.88763,-1.205,0.22874
2020,wife_childcare_hours,706,wife_age_c,0.15651,0.44628,0.351,0.72593
2020,wife_childcare_hours,706,husband_age_c,-0.57298,0.48581,-1.179,0.23863
2020,wife_childcare_hours,706,wife_edu_yrs,0.0694,0.04424,1.569,0.11718
2020,wife_childcare_hours,706,husband_edu_yrs,0.028,0.04712,0.594,0.55252
2020,wife_childcare_hours,706,wife_log_income,-0.88374,0.17378,-5.085,0.0
2020,wife_childcare_hours,706,husband_log_income,0.02248,0.20344,0.111,0.91204
2020,wife_childcare_hours,706,couple_urban,0.65896,0.32235,2.044,0.04131
2020,husband_childcare_hours,701,const,2.17335,1.04814,2.074,0.03849
2020,husband_childcare_hours,701,wife_ideation,-0.06808,0.34509,-0.197,0.84365
2020,husband_childcare_hours,701,husband_ideation,0.56666,0.3134,1.808,0.07102
2020,husband_childcare_hours,701,wife_age_c,-0.16655,0.2313,-0.72,0.47174
2020,husband_childcare_hours,701,husband_age_c,-0.09903,0.22932,-0.432,0.66599
2020,husband_childcare_hours,701,wife_edu_yrs,0.00555,0.02256,0.246,0.8059
2020,husband_childcare_hours,701,husband_edu_yrs,0.04051,0.02534,1.599,0.11031
2020,husband_childcare_hours,701,wife_log_income,0.00216,0.05789,0.037,0.97027
2020,husband_childcare_hours,701,husband_log_income,-0.17257,0.08642,-1.997,0.04622
2020,husband_childcare_hours,701,couple_urban,0.6233,0.17091,3.647,0.00029
