wave,outcome,n,term,coef,se,t,p
2014,wife_marriage_sat,10780,const,4.3065,0.03139,137.205,0.0
2014,wife_marriage_sat,10780,gap_ideation,-0.07097,0.07902,-0.898,0.36917
2014,wife_marriage_sat,10780,typ_concordant_traditional,0.2041,0.02492,8.19,0.0
2014,wife_marriage_sat,10780,typ_woman_more_traditional,0.11193,0.02691,4.159,3e-05
2014,wife_marriage_sat,10780,typ_man_more_traditional,-0.04056,0.02866,-1.415,0.15698
2014,wife_marriage_sat,10780,wife_age_c,0.16173,0.03135,5.159,0.0
2014,wife_marriage_sat,10780,husband_age_c,-0.15459,0.03115,-4.963,0.0
2014,wife_marriage_sat,10780,wife_edu_yrs,-0.00164,0.00264,-0.622,0.53383
2014,wife_marriage_sat,10780,husband_edu_yrs,0.00501,0.00279,1.794,0.07287
2014,wife_marriage_sat,10780,couple_urban,0.03593,0.02264,1.587,0.11251
2014,husband_marriage_sat,10776,const,4.45413,0.02753,161.799,0.0
2014,husband_marriage_sat,10776,gap_ideation,0.09079,0.06665,1.362,0.17318
2014,husband_marriage_sat,10776,typ_concordant_traditional,0.18646,0.0212,8.796,0.0
2014,husband_marriage_sat,10776,typ_woman_more_traditional,0.02943,0.02337,1.259,0.20802
2014,husband_marriage_sat,10776,typ_man_more_traditional,0.08197,0.02406,3.407,0.00066
2014,husband_marriage_sat,10776,wife_age_c,0.07789,0.02447,3.182,0.00146
2014,husband_marriage_sat,10776,husband_age_c,-0.07738,0.02417,-3.201,0.00137
2014,husband_marriage_sat,10776,wife_edu_yrs,0.01014,0.00225,4.501,1e-05
2014,husband_marriage_sat,10776,husband_edu_yrs,-0.00329,0.00237,-1.387,0.1654
2014,husband_marriage_sat,10776,couple_urban,0.01788,0.01865,0.959,0.3376
2020,wife_marriage_sat,6416,const,4.28097,0.04325,98.977,0.0
2020,wife_marriage_sat,6416,gap_ideation,-0.08298,0.09075,-0.914,0.36053
2020,wife_marriage_sat,6416,typ_concordant_traditional,0.17386,0.03432,5.066,0.0
2020,wife_marriage_sat,6416,typ_woman_more_traditional,0.14424,0.02999,4.809,0.0
2020,wife_marriage_sat,6416,typ_man_more_traditional,-0.08134,0.04137,-1.966,0.04934
2020,wife_marriage_sat,6416,wife_age_c,0.12112,0.03669,3.301,0.00097
2020,wife_marriage_sat,6416,husband_age_c,-0.09153,0.03673,-2.492,0.01273
2020,wife_marriage_sat,6416,wife_edu_yrs,-0.00801,0.00333,-2.406,0.01618
2020,wife_marriage_sat,6416,husband_edu_yrs,0.00843,0.00358,2.357,0.01845
2020,wife_marriage_sat,6416,couple_urban,0.03732,0.02639,1.414,0.15736
2020,husband_marriage_sat,6420,const,4.68204,0.03442,136.016,0.0
2020,husband_marriage_sat,6420,gap_ideation,0.12889,0.06703,1.923,0.05456
2020,husband_marriage_sat,6420,typ_concordant_traditional,0.05916,0.02727,2.17,0.03007
2020,husband_marriage_sat,6420,typ_woman_more_traditional,-0.01331,0.0234,-0.569,0.5697
2020,husband_marriage_sat,6420,typ_man_more_traditional,0.00126,0.03034,0.042,0.96679
2020,husband_marriage_sat,6420,wife_age_c,0.06925,0.02779,2.491,0.01275
2020,husband_marriage_sat,6420,husband_age_c,-0.06718,0.02873,-2.338,0.0194
2020,husband_marriage_sat,6420,wife_edu_yrs,0.00108,0.00268,0.403,0.68701
2020,husband_marriage_sat,6420,husband_edu_yrs,-0.00453,0.00281,-1.614,0.10665
2020,husband_marriage_sat,6420,couple_urban,-0.00097,0.02064,-0.047,0.96241
