stratum,covariate,pre_smd,post_smd
all,birthy_2014,-0.3676,-0.0081
all,edu_yrs_2014,-0.5333,0.013
all,urban_2014,-0.1463,0.0165
all,log_income_2014,-0.1481,0.0196
all,employed_2014,0.0571,0.0499
all,marital_2014,0.1116,0.0477
all,children_n_2014,0.2233,0.0616
male,birthy_2014,-0.2976,-0.0681
male,edu_yrs_2014,-0.3829,0.039
male,urban_2014,-0.1069,0.0429
male,log_income_2014,-0.13,0.029
male,employed_2014,0.0774,0.016
male,marital_2014,0.094,0.0564
male,children_n_2014,0.1338,0.026
female,birthy_2014,-0.5142,0.0042
female,edu_yrs_2014,-0.7824,0.0124
female,urban_2014,-0.2138,0.0
female,log_income_2014,-0.1836,-0.0404
female,employed_2014,0.0257,0.0212
female,marital_2014,0.1379,-0.0084
female,children_n_2014,0.3941,0.0577
