wave,design,stratum,n,term,coef,se,t,p
2014,A_child_ols,all,2117,const,6.64137,1.15303,5.76,0.0
2014,A_child_ols,all,2117,mother_ideation,-0.47295,0.46952,-1.007,0.3139
2014,A_child_ols,all,2117,father_ideation,-0.22588,0.52104,-0.434,0.66469
2014,A_child_ols,all,2117,child_female,0.89338,0.54853,1.629,0.10353
2014,A_child_ols,all,2117,age_c,0.44465,0.18508,2.402,0.01637
2014,A_child_ols,all,2117,age_c2,-1.20478,0.16094,-7.486,0.0
2014,A_child_ols,all,2117,urban,1.52149,0.13822,11.008,0.0
2014,A_child_ols,all,2117,parent_avg_age,0.01409,0.01716,0.821,0.41184
2014,A_child_ols,all,2117,parent_avg_edu,0.2054,0.02071,9.918,0.0
2014,A_child_ols,all,2117,parent_log_income,0.27208,0.07002,3.886,0.00011
2014,A_child_ols,all,2117,mother_id_x_female,0.01236,0.68557,0.018,0.98561
2014,A_child_ols,all,2117,father_id_x_female,-0.47459,0.72985,-0.65,0.5156
2014,A_child_ols,male,1224,const,5.51077,1.51103,3.647,0.00028
2014,A_child_ols,male,1224,mother_ideation,-0.30503,0.46964,-0.65,0.51613
2014,A_child_ols,male,1224,father_ideation,-0.1421,0.52103,-0.273,0.78511
2014,A_child_ols,male,1224,age_c,0.05595,0.23499,0.238,0.81186
2014,A_child_ols,male,1224,age_c2,-0.8247,0.18223,-4.526,1e-05
2014,A_child_ols,male,1224,urban,1.74284,0.18815,9.263,0.0
2014,A_child_ols,male,1224,parent_avg_age,0.02449,0.02184,1.121,0.2624
2014,A_child_ols,male,1224,parent_avg_edu,0.19972,0.0269,7.423,0.0
2014,A_child_ols,male,1224,parent_log_income,0.29817,0.0972,3.068,0.0022
2014,A_child_ols,female,893,const,8.86139,1.67629,5.286,0.0
2014,A_child_ols,female,893,mother_ideation,-0.64057,0.50149,-1.277,0.20182
2014,A_child_ols,female,893,father_ideation,-0.80584,0.51068,-1.578,0.11493
2014,A_child_ols,female,893,age_c,0.79853,0.29915,2.669,0.00774
2014,A_child_ols,female,893,age_c2,-2.10108,0.26856,-7.824,0.0
2014,A_child_ols,female,893,urban,1.25159,0.20277,6.172,0.0
2014,A_child_ols,female,893,parent_avg_age,0.00522,0.02715,0.192,0.84765
2014,A_child_ols,female,893,parent_avg_edu,0.21628,0.0324,6.676,0.0
2014,A_child_ols,female,893,parent_log_income,0.23743,0.09877,2.404,0.01643
2014,B_1s1d_diff,all,341,const,1.19834,1.12233,1.068,0.28641
2014,B_1s1d_diff,all,341,mother_ideation,-0.06198,1.30069,-0.048,0.96202
2014,B_1s1d_diff,all,341,father_ideation,0.3795,1.08422,0.35,0.72655
2014,B_1s1d_diff,all,341,mother_edu_yrs,0.10219,0.05225,1.956,0.05132
2014,B_1s1d_diff,all,341,father_edu_yrs,-0.13737,0.05919,-2.321,0.0209
2014,B_1s1d_diff,all,341,urban,0.13697,0.48662,0.281,0.77852
2020,A_child_ols,all,2196,const,10.21826,1.13682,8.988,0.0
2020,A_child_ols,all,2196,mother_ideation,-1.11684,0.45061,-2.479,0.01327
2020,A_child_ols,all,2196,father_ideation,-0.40221,0.44705,-0.9,0.36838
2020,A_child_ols,all,2196,child_female,0.9422,0.45032,2.092,0.03653
2020,A_child_ols,all,2196,age_c,1.23598,0.14713,8.401,0.0
2020,A_child_ols,all,2196,age_c2,-1.51934,0.15421,-9.852,0.0
2020,A_child_ols,all,2196,urban,1.03991,0.12469,8.34,0.0
2020,A_child_ols,all,2196,parent_avg_age,0.02462,0.01508,1.632,0.10274
2020,A_child_ols,all,2196,parent_avg_edu,0.1639,0.02025,8.093,0.0
2020,A_child_ols,all,2196,parent_log_income,0.08171,0.06876,1.188,0.23482
2020,A_child_ols,all,2196,mother_id_x_female,0.97338,0.57915,1.681,0.09296
2020,A_child_ols,all,2196,father_id_x_female,-1.52537,0.63823,-2.39,0.01693
2020,A_child_ols,male,1219,const,9.67565,1.49026,6.493,0.0
2020,A_child_ols,male,1219,mother_ideation,-1.02408,0.4589,-2.232,0.02583
2020,A_child_ols,male,1219,father_ideation,-0.38474,0.44872,-0.857,0.39138
