wave,outcome,parent,parent_id_tertile,child,n,mean,sd
2014,currently_married,mother,low,daughter,1212,0.3251,0.4686
2014,currently_married,mother,low,son,2127,0.5515,0.4975
2014,currently_married,mother,mid,daughter,998,0.4088,0.4919
2014,currently_married,mother,mid,son,2109,0.5799,0.4937
2014,currently_married,mother,high,daughter,232,0.3793,0.4863
2014,currently_married,mother,high,son,514,0.6206,0.4857
2014,currently_married,father,low,daughter,890,0.3124,0.4637
2014,currently_married,father,low,son,1485,0.4976,0.5002
2014,currently_married,father,mid,daughter,1127,0.3869,0.4872
2014,currently_married,father,mid,son,2350,0.5949,0.491
2014,currently_married,father,high,daughter,152,0.2895,0.455
2014,currently_married,father,high,son,313,0.6006,0.4906
2014,housework_hours,mother,low,daughter,1211,1.515,1.4494
2014,housework_hours,mother,low,son,2125,1.1383,1.5015
2014,housework_hours,mother,mid,daughter,995,1.5919,1.4919
2014,housework_hours,mother,mid,son,2107,1.0337,1.3478
2014,housework_hours,mother,high,daughter,231,1.3134,1.2528
2014,housework_hours,mother,high,son,514,1.0175,1.4087
2014,housework_hours,father,low,daughter,888,1.4077,1.3341
2014,housework_hours,father,low,son,1484,1.0243,1.3242
2014,housework_hours,father,mid,daughter,1127,1.5926,1.4842
2014,housework_hours,father,mid,son,2350,1.1152,1.51
2014,housework_hours,father,high,daughter,151,1.4185,1.5431
2014,housework_hours,father,high,son,313,0.9438,1.4351
2014,marriage_sat,mother,low,daughter,401,4.3516,0.9185
2014,marriage_sat,mother,low,son,1186,4.5211,0.8519
2014,marriage_sat,mother,mid,daughter,413,4.3608,0.926
2014,marriage_sat,mother,mid,son,1237,4.5554,0.8368
2014,marriage_sat,mother,high,daughter,88,4.4318,0.8276
2014,marriage_sat,mother,high,son,320,4.55,0.7782
2014,marriage_sat,father,low,daughter,283,4.2898,0.9825
2014,marriage_sat,father,low,son,744,4.4946,0.8604
2014,marriage_sat,father,mid,daughter,441,4.3197,0.9292
2014,marriage_sat,father,mid,son,1413,4.5669,0.8292
2014,marriage_sat,father,high,daughter,45,4.4667,0.6606
2014,marriage_sat,father,high,son,190,4.6053,0.7746
2014,ideal_children,mother,low,daughter,1206,1.7438,0.6428
2014,ideal_children,mother,low,son,2119,1.8664,0.6991
2014,ideal_children,mother,mid,daughter,990,1.7808,0.5665
2014,ideal_children,mother,mid,son,2097,1.8751,0.6687
2014,ideal_children,mother,high,daughter,232,1.8017,0.5217
2014,ideal_children,mother,high,son,510,2.0059,0.8719
2014,ideal_children,father,low,daughter,884,1.7251,0.585
2014,ideal_children,father,low,son,1480,1.8162,0.7045
2014,ideal_children,father,mid,daughter,1122,1.7674,0.5931
2014,ideal_children,father,mid,son,2342,1.9163,0.6696
2014,ideal_children,father,high,daughter,151,1.8079,0.8142
2014,ideal_children,father,high,son,311,2.0032,0.8998
2014,employed,mother,low,daughter,832,0.7332,0.4426
2014,employed,mother,low,son,1796,0.897,0.3041
2014,employed,mother,mid,daughter,776,0.7139,0.4522
2014,employed,mother,mid,son,1878,0.9052,0.293
2014,employed,mother,high,daughter,171,0.6959,0.4614
2014,employed,mother,high,son,457,0.9015,0.2983
2014,employed,father,low,daughter,601,0.7171,0.4508
2014,employed,father,low,son,1212,0.9026,0.2966
2014,employed,father,mid,daughter,847,0.7355,0.4413
2014,employed,father,mid,son,2086,0.9142,0.2802
2014,employed,father,high,daughter,120,0.7,0.4602
2014,employed,father,high,son,280,0.8679,0.3393
2014,log_wage_year,mother,low,daughter,610,6.2536,4.8236
2014,log_wage_year,mother,low,son,1611,5.8701,5.0731
2014,log_wage_year,mother,mid,daughter,554,6.3183,4.739
2014,log_wage_year,mother,mid,son,1700,6.0923,5.0032
2014,log_wage_year,mother,high,daughter,119,6.92,4.574
2014,log_wage_year,mother,high,son,412,5.7337,5.1135
2014,log_wage_year,father,low,daughter,431,6.4282,4.7293
2014,log_wage_year,father,low,son,1094,6.1753,4.9988
2014,log_wage_year,father,mid,daughter,623,6.4435,4.7436
