wave,outcome,stratum,n,term,coef,se,t,p
2014,currently_married,all,2125,const,1.14804,0.17487,6.565,0.0
2014,currently_married,all,2125,mother_ideation,0.12725,0.069,1.844,0.0653
2014,currently_married,all,2125,father_ideation,-0.02759,0.07094,-0.389,0.6974
2014,currently_married,all,2125,child_female,-0.04743,0.07671,-0.618,0.53642
2014,currently_married,all,2125,age_c,0.3347,0.03192,10.485,0.0
2014,currently_married,all,2125,age_c2,-0.13781,0.01278,-10.782,0.0
2014,currently_married,all,2125,urban,-0.06886,0.01836,-3.751,0.00018
2014,currently_married,all,2125,parent_avg_age,-0.00611,0.00227,-2.687,0.00726
2014,currently_married,all,2125,parent_avg_edu,-0.00458,0.00282,-1.623,0.10468
2014,currently_married,all,2125,parent_log_income,0.00946,0.00949,0.996,0.31935
2014,currently_married,all,2125,mother_id_x_female,-0.04386,0.10004,-0.438,0.66111
2014,currently_married,all,2125,father_id_x_female,0.12809,0.10039,1.276,0.2021
2014,currently_married,male,1229,const,1.23712,0.22877,5.408,0.0
2014,currently_married,male,1229,mother_ideation,0.13279,0.07018,1.892,0.05872
2014,currently_married,male,1229,father_ideation,-0.03225,0.07142,-0.452,0.65166
2014,currently_married,male,1229,age_c,0.36492,0.03863,9.447,0.0
2014,currently_married,male,1229,age_c2,-0.14796,0.01491,-9.925,0.0
2014,currently_married,male,1229,urban,-0.09498,0.0239,-3.974,7e-05
2014,currently_married,male,1229,parent_avg_age,-0.01003,0.00302,-3.318,0.00093
2014,currently_married,male,1229,parent_avg_edu,-0.00195,0.00377,-0.518,0.60452
2014,currently_married,male,1229,parent_log_income,0.02398,0.01288,1.862,0.06281
2014,currently_married,female,896,const,1.02298,0.25966,3.94,9e-05
2014,currently_married,female,896,mother_ideation,0.09541,0.0749,1.274,0.20306
2014,currently_married,female,896,father_ideation,0.08954,0.07228,1.239,0.21575
2014,currently_married,female,896,age_c,0.33914,0.06917,4.903,0.0
2014,currently_married,female,896,age_c2,-0.10766,0.02863,-3.761,0.00018
2014,currently_married,female,896,urban,-0.03592,0.02881,-1.247,0.21275
2014,currently_married,female,896,parent_avg_age,-0.00129,0.00341,-0.378,0.70526
2014,currently_married,female,896,parent_avg_edu,-0.00898,0.00419,-2.141,0.03255
2014,currently_married,female,896,parent_log_income,-0.00923,0.01408,-0.655,0.51232
2014,housework_hours,all,2124,const,1.83777,0.4885,3.762,0.00017
2014,housework_hours,all,2124,mother_ideation,-0.0019,0.22469,-0.008,0.99326
2014,housework_hours,all,2124,father_ideation,-0.344,0.196,-1.755,0.07939
2014,housework_hours,all,2124,child_female,0.17483,0.23521,0.743,0.45738
2014,housework_hours,all,2124,age_c,0.07128,0.09513,0.749,0.45378
2014,housework_hours,all,2124,age_c2,0.00856,0.03894,0.22,0.82613
2014,housework_hours,all,2124,urban,-0.27144,0.05044,-5.382,0.0
2014,housework_hours,all,2124,parent_avg_age,-0.00239,0.00685,-0.349,0.72717
2014,housework_hours,all,2124,parent_avg_edu,-0.02672,0.00828,-3.227,0.00127
2014,housework_hours,all,2124,parent_log_income,-0.03524,0.02579,-1.366,0.17197
2014,housework_hours,all,2124,mother_id_x_female,-0.04763,0.31876,-0.149,0.88123
2014,housework_hours,all,2124,father_id_x_female,0.54685,0.29206,1.872,0.06129
2014,housework_hours,male,1229,const,0.9119,0.57878,1.576,0.11539
2014,housework_hours,male,1229,mother_ideation,0.0579,0.22923,0.253,0.80062
2014,housework_hours,male,1229,father_ideation,-0.32136,0.19366,-1.659,0.09729
2014,housework_hours,male,1229,age_c,0.06891,0.11315,0.609,0.54261
2014,housework_hours,male,1229,age_c2,0.1072,0.0466,2.3,0.02161
2014,housework_hours,male,1229,urban,-0.32531,0.05725,-5.682,0.0
2014,housework_hours,male,1229,parent_avg_age,0.0053,0.00861,0.616,0.53772
