wave,parent,parent_id_tertile,child,n,mean_child_id
2014,mother,low,daughter,980,0.4483
2014,mother,low,son,1594,0.5384
2014,mother,mid,daughter,818,0.5098
2014,mother,mid,son,1610,0.5692
2014,mother,high,daughter,189,0.5119
2014,mother,high,son,374,0.5888
2014,father,low,daughter,807,0.4477
2014,father,low,son,1304,0.5261
2014,father,mid,daughter,1035,0.5004
2014,father,mid,son,1996,0.5688
2014,father,high,daughter,145,0.5099
2014,father,high,son,278,0.6236
2020,mother,low,daughter,679,0.3221
2020,mother,low,son,923,0.4663
2020,mother,mid,daughter,846,0.3766
2020,mother,mid,son,1321,0.5059
2020,mother,high,daughter,147,0.3393
2020,mother,high,son,204,0.5282
2020,father,low,daughter,624,0.3246
2020,father,low,son,797,0.4656
2020,father,mid,daughter,601,0.3489
2020,father,mid,son,917,0.4958
2020,father,high,daughter,447,0.3914
2020,father,high,son,734,0.5186
