wave,stratum,include_edu,n,term,coef,se,t,p
2014,all,False,2125,const,0.57658,0.08465,6.811,0.0
2014,all,False,2125,mother_ideation,0.0959,0.03582,2.678,0.00747
2014,all,False,2125,father_ideation,0.10924,0.03351,3.26,0.00113
2014,all,False,2125,child_female,-0.11023,0.0412,-2.676,0.00752
2014,all,False,2125,age_c,0.01524,0.01791,0.851,0.39482
2014,all,False,2125,age_c2,-0.02446,0.00767,-3.19,0.00144
2014,all,False,2125,urban,-0.02946,0.00939,-3.137,0.00173
2014,all,False,2125,parent_avg_age,-0.00121,0.00114,-1.057,0.29078
2014,all,False,2125,parent_avg_edu,0.00011,0.00133,0.08,0.93649
2014,all,False,2125,parent_log_income,-0.00515,0.00467,-1.103,0.27023
2014,all,False,2125,mother_id_x_female,0.07169,0.05299,1.353,0.17619
2014,all,False,2125,father_id_x_female,0.00655,0.05105,0.128,0.89788
2014,male,False,1229,const,0.52814,0.10308,5.124,0.0
2014,male,False,1229,mother_ideation,0.10492,0.0358,2.93,0.00345
2014,male,False,1229,father_ideation,0.10944,0.03376,3.242,0.00122
2014,male,False,1229,age_c,0.002,0.02087,0.096,0.92365
2014,male,False,1229,age_c2,-0.02274,0.00909,-2.501,0.01252
2014,male,False,1229,urban,-0.02689,0.01198,-2.245,0.02493
2014,male,False,1229,parent_avg_age,-0.00132,0.00146,-0.902,0.36712
2014,male,False,1229,parent_avg_edu,-0.00046,0.00167,-0.275,0.7831
2014,male,False,1229,parent_log_income,-0.00147,0.00566,-0.26,0.795
2014,female,False,896,const,0.55815,0.13931,4.007,7e-05
2014,female,False,896,mother_ideation,0.15964,0.03974,4.017,6e-05
2014,female,False,896,father_ideation,0.11001,0.03888,2.83,0.00477
2014,female,False,896,age_c,0.0906,0.03582,2.53,0.01159
2014,female,False,896,age_c2,-0.00228,0.01515,-0.15,0.88054
2014,female,False,896,urban,-0.03532,0.01509,-2.341,0.01944
2014,female,False,896,parent_avg_age,-0.0009,0.00184,-0.491,0.62338
2014,female,False,896,parent_avg_edu,0.00021,0.0022,0.093,0.92567
2014,female,False,896,parent_log_income,-0.00964,0.00781,-1.235,0.21723
2014,all,True,2117,const,0.60727,0.08481,7.16,0.0
2014,all,True,2117,mother_ideation,0.09186,0.03589,2.559,0.01056
2014,all,True,2117,father_ideation,0.10807,0.03387,3.191,0.00144
2014,all,True,2117,child_female,-0.10724,0.04124,-2.601,0.00937
2014,all,True,2117,age_c,-0.00282,0.01912,-0.148,0.8827
2014,all,True,2117,age_c2,-0.03475,0.00838,-4.145,4e-05
2014,all,True,2117,urban,-0.01632,0.0097,-1.683,0.09252
2014,all,True,2117,parent_avg_age,-0.00094,0.00113,-0.825,0.4095
2014,all,True,2117,parent_avg_edu,0.00208,0.00138,1.511,0.13105
2014,all,True,2117,parent_log_income,-0.00139,0.00462,-0.3,0.76387
2014,all,True,2117,mother_id_x_female,0.07564,0.05265,1.437,0.15099
2014,all,True,2117,father_id_x_female,0.00732,0.05043,0.145,0.88465
2014,all,True,2117,child_edu_yrs,-0.00905,0.00156,-5.795,0.0
2014,male,True,1224,const,0.55049,0.10421,5.282,0.0
2014,male,True,1224,mother_ideation,0.10334,0.03579,2.887,0.00396
2014,male,True,1224,father_ideation,0.10976,0.03399,3.229,0.00128
2014,male,True,1224,age_c,-0.00724,0.02197,-0.33,0.74183
2014,male,True,1224,age_c2,-0.0274,0.00969,-2.826,0.00479
2014,male,True,1224,urban,-0.0171,0.01264,-1.353,0.17628
2014,male,True,1224,parent_avg_age,-0.00115,0.00145,-0.792,0.42875
2014,male,True,1224,parent_avg_edu,0.00071,0.00173,0.411,0.68135
2014,male,True,1224,parent_log_income,0.00044,0.00577,0.077,0.93873
2014,male,True,1224,child_edu_yrs,-0.00571,0.00209,-2.732,0.00639
2014,female,True,893,const,0.61553,0.13849,4.445,1e-05
2014,female,True,893,mother_ideation,0.15436,0.03934,3.924,9e-05
2014,female,True,893,father_ideation,0.10445,0.03756,2.781,0.00554
2014,female,True,893,age_c,0.04086,0.03798,1.076,0.28228
2014,female,True,893,age_c2,-0.03126,0.01655,-1.889,0.0592
2014,female,True,893,urban,-0.01863,0.01515,-1.23,0.21893
2014,female,True,893,parent_avg_age,-0.00051,0.00183,-0.28,0.77951
2014,female,True,893,parent_avg_edu,0.00358,0.00223,1.603,0.10918
2014,female,True,893,parent_log_income,-0.0035,0.00762,-0.46,0.64584
2014,female,True,893,child_edu_yrs,-0.01448,0.00232,-6.243,0.0
2020,all,False,2198,const,0.45061,0.08353,5.394,0.0
2020,all,False,2198,mother_ideation,0.07914,0.03082,2.567,0.01031
2020,all,False,2198,father_ideation,0.10436,0.02885,3.617,0.00031
2020,all,False,2198,child_female,-0.12039,0.0337,-3.572,0.00036
2020,all,False,2198,age_c,0.07062,0.01327,5.321,0.0
2020,all,False,2198,age_c2,0.01569,0.00593,2.648,0.00816
2020,all,False,2198,urban,-0.04114,0.00929,-4.428,1e-05
2020,all,False,2198,parent_avg_age,-0.00018,0.001,-0.177,0.85946
2020,all,False,2198,parent_avg_edu,-0.00391,0.00129,-3.036,0.00243
2020,all,False,2198,parent_log_income,0.00016,0.00464,0.035,0.97223
2020,all,False,2198,mother_id_x_female,0.00673,0.04312,0.156,0.876
2020,all,False,2198,father_id_x_female,-0.01665,0.04402,-0.378,0.70527
