wave,parent,stratum,n,pearson_r,spearman_r
2014,mother,all,5565,0.1426,0.1483
2014,mother,male,3578,0.1198,0.1221
2014,mother,female,1987,0.1536,0.1693
2014,father,all,5565,0.1654,0.1696
2014,father,male,3578,0.1626,0.1664
2014,father,female,1987,0.149,0.1575
2014,mother,mother_child_age_gap=≤25,3227,0.1318,0.1382
2014,mother,mother_child_age_gap=26-30,1636,0.157,0.1572
2014,mother,mother_child_age_gap=31-35,543,0.1531,0.1648
2014,mother,mother_child_age_gap=36+,159,0.1491,0.166
2020,mother,all,4120,0.1467,0.1291
2020,mother,male,2448,0.1266,0.124
2020,mother,female,1672,0.152,0.1309
2020,father,all,4120,0.1486,0.1489
2020,father,male,2448,0.1285,0.1315
2020,father,female,1672,0.1467,0.1456
2020,mother,mother_child_age_gap=≤25,2416,0.1422,0.128
2020,mother,mother_child_age_gap=26-30,1190,0.1572,0.1329
2020,mother,mother_child_age_gap=31-35,420,0.1424,0.1204
2020,mother,mother_child_age_gap=36+,86,0.1625,0.1635
