outcome,stratum,n,term,coef,se,t,p
age_first_marriage,all,38091,ideation,-3.4234,0.3743,-9.15,0.0
age_first_marriage,all,38091,female,1.2526,0.2311,5.42,0.0
age_first_marriage,all,38091,ideation_x_female,-3.4897,0.49,-7.12,0.0
age_first_marriage,all,38091,birth_yr_c,-2.5262,0.0344,-73.5,0.0
age_first_marriage,all,38091,urban,-0.1164,0.1078,-1.08,0.28037
age_first_marriage,all,38091,edu_yrs,-0.0119,0.0116,-1.03,0.30267
age_first_marriage,all,38091,log_income,-0.0146,0.0137,-1.07,0.28588
age_first_marriage,male,17788,ideation,-3.3519,0.3773,-8.88,0.0
age_first_marriage,male,17788,birth_yr_c,-2.48,0.0492,-50.39,0.0
age_first_marriage,male,17788,urban,0.4255,0.1553,2.74,0.00616
age_first_marriage,male,17788,edu_yrs,-0.033,0.0168,-1.96,0.04947
age_first_marriage,male,17788,log_income,-0.0342,0.0214,-1.6,0.10953
age_first_marriage,female,20303,ideation,-7.0271,0.3347,-21.0,0.0
age_first_marriage,female,20303,birth_yr_c,-2.5692,0.0482,-53.3,0.0
age_first_marriage,female,20303,urban,-0.5969,0.1497,-3.99,7e-05
age_first_marriage,female,20303,edu_yrs,0.0066,0.016,0.41,0.68076
age_first_marriage,female,20303,log_income,0.0005,0.0179,0.03,0.97821
num_children,all,69535,ideation,0.8345,0.0395,21.11,0.0
num_children,all,69535,female,-0.2369,0.0232,-10.23,0.0
num_children,all,69535,ideation_x_female,0.9549,0.0517,18.46,0.0
num_children,all,69535,birth_yr_c,-0.0327,0.0034,-9.49,0.0
num_children,all,69535,urban,-0.2308,0.0112,-20.57,0.0
num_children,all,69535,edu_yrs,-0.0171,0.0012,-14.27,0.0
num_children,all,69535,log_income,-0.0069,0.0014,-4.98,0.0
num_children,male,33499,ideation,0.822,0.0397,20.72,0.0
num_children,male,33499,birth_yr_c,-0.0344,0.005,-6.87,0.0
num_children,male,33499,urban,-0.2636,0.0162,-16.28,0.0
num_children,male,33499,edu_yrs,-0.0162,0.0017,-9.28,0.0
num_children,male,33499,log_income,-0.0093,0.0021,-4.42,1e-05
num_children,female,36036,ideation,1.8053,0.0343,52.56,0.0
num_children,female,36036,birth_yr_c,-0.0306,0.0047,-6.45,0.0
num_children,female,36036,urban,-0.1989,0.0156,-12.78,0.0
num_children,female,36036,edu_yrs,-0.018,0.0016,-10.9,0.0
num_children,female,36036,log_income,-0.0052,0.0019,-2.76,0.00575
ideal_children,all,56012,ideation,0.5589,0.0351,15.9,0.0
ideal_children,all,56012,female,-0.1918,0.02,-9.57,0.0
ideal_children,all,56012,ideation_x_female,0.4868,0.0459,10.6,0.0
ideal_children,all,56012,birth_yr_c,-0.0053,0.003,-1.79,0.073
ideal_children,all,56012,urban,-0.0974,0.0099,-9.86,0.0
