wave,outcome,n,mean,sd
1990,wife_does_more_housework,0,,
1990,leadership_ever,0,,
1990,housework_hours_1990,23720,3.5711,2.7572
1990,first_marriage_age_1990,20527,22.8334,3.5812
1990,log_income,11199,4.8961,1.0328
1990,edu_yrs,23722,7.4426,4.8264
1990,employed,20997,1.0,0.0
2000,wife_does_more_housework,16429,0.7476,0.4344
2000,leadership_ever,18427,0.1622,0.3686
2000,housework_hours_1990,0,,
2000,first_marriage_age_1990,0,,
2000,log_income,17335,7.9747,1.7017
2000,edu_yrs,19182,6.4272,3.8336
2000,employed,19260,0.4713,0.4992
2010,wife_does_more_housework,19265,0.7275,0.4453
2010,leadership_ever,22737,0.1618,0.3683
2010,housework_hours_1990,0,,
2010,first_marriage_age_1990,0,,
2010,log_income,22886,7.2849,3.8708
2010,edu_yrs,22968,7.1548,4.3547
2010,employed,22966,0.763,0.4252
