wave,outcome,n_total,n_have,pct_missing
1990,wife_does_more_housework,23722,0,100.0
1990,leadership_ever,23722,0,100.0
1990,housework_hours_1990,23722,23720,0.0
1990,first_marriage_age_1990,23722,20527,13.5
1990,log_income,23722,11199,52.8
1990,edu_yrs,23722,23722,0.0
1990,employed,23722,20997,11.5
2000,wife_does_more_housework,19283,16429,14.8
2000,leadership_ever,19283,18427,4.4
2000,housework_hours_1990,19283,0,100.0
2000,first_marriage_age_1990,19283,0,100.0
2000,log_income,19283,17335,10.1
2000,edu_yrs,19283,19182,0.5
2000,employed,19283,19260,0.1
2010,wife_does_more_housework,22968,19265,16.1
2010,leadership_ever,22968,22737,1.0
2010,housework_hours_1990,22968,0,100.0
2010,first_marriage_age_1990,22968,0,100.0
2010,log_income,22968,22886,0.4
2010,edu_yrs,22968,22968,0.0
2010,employed,22968,22966,0.0
