outcome,stratum,n,term,coef,se,t,p
wife_does_more_housework,all,33882,ideation,0.2379,0.0231,10.28,0.0
wife_does_more_housework,all,33882,female,0.0411,0.0138,2.98,0.00291
wife_does_more_housework,all,33882,ideation_x_female,-0.0158,0.0304,-0.52,0.60329
wife_does_more_housework,all,33882,birth_yr_c,0.001,0.0022,0.46,0.64905
wife_does_more_housework,all,33882,urban,-0.0022,0.0058,-0.38,0.70259
wife_does_more_housework,all,33882,edu_yrs,-0.0013,0.0007,-1.79,0.07316
wife_does_more_housework,all,33882,log_income,-0.0006,0.0008,-0.72,0.47057
wife_does_more_housework,male,15812,ideation,0.2378,0.0237,10.05,0.0
wife_does_more_housework,male,15812,birth_yr_c,0.0013,0.0033,0.39,0.69335
wife_does_more_housework,male,15812,urban,-0.0045,0.0087,-0.52,0.60568
wife_does_more_housework,male,15812,edu_yrs,-0.0007,0.0011,-0.66,0.5088
wife_does_more_housework,male,15812,log_income,-0.0005,0.0012,-0.43,0.66391
wife_does_more_housework,female,18070,ideation,0.2222,0.021,10.57,0.0
wife_does_more_housework,female,18070,birth_yr_c,0.0007,0.003,0.24,0.80847
wife_does_more_housework,female,18070,urban,-0.0002,0.0078,-0.03,0.97872
wife_does_more_housework,female,18070,edu_yrs,-0.0018,0.001,-1.85,0.06363
wife_does_more_housework,female,18070,log_income,-0.0006,0.0011,-0.6,0.54634
leadership_ever,all,39125,ideation,-0.2585,0.0196,-13.17,0.0
leadership_ever,all,39125,female,-0.1297,0.0111,-11.72,0.0
leadership_ever,all,39125,ideation_x_female,0.0271,0.0236,1.15,0.24923
leadership_ever,all,39125,birth_yr_c,-0.0053,0.0017,-3.1,0.00194
leadership_ever,all,39125,urban,0.0536,0.0045,11.87,0.0
leadership_ever,all,39125,edu_yrs,-0.0001,0.0006,-0.09,0.92623
leadership_ever,all,39125,log_income,0.0012,0.0006,2.01,0.04466
leadership_ever,male,18682,ideation,-0.2462,0.0201,-12.22,0.0
leadership_ever,male,18682,birth_yr_c,-0.0072,0.0028,-2.57,0.01011
leadership_ever,male,18682,urban,0.0689,0.0075,9.22,0.0
leadership_ever,male,18682,edu_yrs,-0.0005,0.0009,-0.59,0.55725
leadership_ever,male,18682,log_income,0.0022,0.001,2.19,0.02874
leadership_ever,female,20443,ideation,-0.2441,0.0141,-17.29,0.0
leadership_ever,female,20443,birth_yr_c,-0.0038,0.0021,-1.83,0.06733
leadership_ever,female,20443,urban,0.0404,0.0053,7.64,0.0
leadership_ever,female,20443,edu_yrs,0.0004,0.0007,0.62,0.53777
leadership_ever,female,20443,log_income,0.0004,0.0007,0.61,0.54192
housework_hours_1990,all,11198,ideation,-0.4621,0.1642,-2.81,0.0049
housework_hours_1990,all,11198,female,1.0977,0.1156,9.49,0.0
housework_hours_1990,all,11198,ideation_x_female,2.0425,0.2672,7.64,0.0
housework_hours_1990,all,11198,birth_yr_c,-0.3045,0.0208,-14.67,0.0
housework_hours_1990,all,11198,urban,-0.0746,0.0998,-0.75,0.45446
housework_hours_1990,all,11198,edu_yrs,-0.008,0.0053,-1.5,0.1324
housework_hours_1990,all,11198,log_income,-0.2323,0.0272,-8.56,0.0
housework_hours_1990,male,5490,ideation,-0.5038,0.1628,-3.09,0.00198
housework_hours_1990,male,5490,birth_yr_c,-0.1599,0.0256,-6.25,0.0
housework_hours_1990,male,5490,urban,0.1403,0.1063,1.32,0.187
housework_hours_1990,male,5490,edu_yrs,-0.0002,0.0064,-0.03,0.97865
housework_hours_1990,male,5490,log_income,-0.0418,0.0364,-1.15,0.25093
housework_hours_1990,female,5708,ideation,1.5213,0.2109,7.21,0.0
housework_hours_1990,female,5708,birth_yr_c,-0.4335,0.0338,-12.83,0.0
housework_hours_1990,female,5708,urban,-0.5113,0.1902,-2.69,0.00722
housework_hours_1990,female,5708,edu_yrs,-0.0099,0.0086,-1.14,0.25257
housework_hours_1990,female,5708,log_income,-0.2765,0.0341,-8.12,0.0
first_marriage_age_1990,all,9882,ideation,-0.0781,0.3304,-0.24,0.81309
first_marriage_age_1990,all,9882,female,-1.5423,0.1923,-8.02,0.0
first_marriage_age_1990,all,9882,ideation_x_female,-0.9481,0.4318,-2.2,0.02813
first_marriage_age_1990,all,9882,birth_yr_c,0.1998,0.0327,6.11,0.0
first_marriage_age_1990,all,9882,urban,1.3078,0.1623,8.06,0.0
first_marriage_age_1990,all,9882,edu_yrs,0.0732,0.009,8.09,0.0
first_marriage_age_1990,all,9882,log_income,0.3432,0.0333,10.32,0.0
first_marriage_age_1990,male,4756,ideation,-0.0372,0.3288,-0.11,0.90996
first_marriage_age_1990,male,4756,birth_yr_c,0.0728,0.0501,1.45,0.14599
first_marriage_age_1990,male,4756,urban,1.4478,0.2138,6.77,0.0
first_marriage_age_1990,male,4756,edu_yrs,0.0298,0.0138,2.17,0.03041
first_marriage_age_1990,male,4756,log_income,0.309,0.0791,3.91,0.0001
first_marriage_age_1990,female,5126,ideation,-0.9461,0.2765,-3.42,0.00063
first_marriage_age_1990,female,5126,birth_yr_c,0.2967,0.0432,6.87,0.0
first_marriage_age_1990,female,5126,urban,1.2364,0.2404,5.14,0.0
first_marriage_age_1990,female,5126,edu_yrs,0.1074,0.0119,9.04,0.0
first_marriage_age_1990,female,5126,log_income,0.3087,0.0364,8.49,0.0
log_income,all,51309,ideation,-0.1234,0.1011,-1.22,0.22247
log_income,all,51309,female,-0.0628,0.0585,-1.07,0.2828
log_income,all,51309,ideation_x_female,0.0401,0.1404,0.29,0.77532
log_income,all,51309,birth_yr_c,0.1497,0.0128,11.74,0.0
log_income,all,51309,urban,-0.8834,0.0349,-25.33,0.0
log_income,all,51309,edu_yrs,0.1357,0.0035,38.55,0.0
log_income,male,24511,ideation,-0.1765,0.1022,-1.73,0.0842
log_income,male,24511,birth_yr_c,0.1774,0.018,9.84,0.0
log_income,male,24511,urban,-0.9172,0.0506,-18.14,0.0
log_income,male,24511,edu_yrs,0.1318,0.0052,25.53,0.0
log_income,female,26798,ideation,-0.0384,0.1008,-0.38,0.70332
log_income,female,26798,birth_yr_c,0.1287,0.0181,7.11,0.0
log_income,female,26798,urban,-0.8464,0.0483,-17.51,0.0
log_income,female,26798,edu_yrs,0.1369,0.0049,28.13,0.0
edu_yrs,all,51309,ideation,-0.132,0.1426,-0.93,0.35475
edu_yrs,all,51309,female,-0.2479,0.0854,-2.9,0.00371
edu_yrs,all,51309,ideation_x_female,-0.1846,0.1944,-0.95,0.34222
edu_yrs,all,51309,birth_yr_c,1.0088,0.0144,69.83,0.0
edu_yrs,all,51309,urban,4.3591,0.0338,129.1,0.0
edu_yrs,all,51309,log_income,0.2185,0.0058,37.85,0.0
edu_yrs,male,24511,ideation,-0.146,0.1447,-1.01,0.31286
edu_yrs,male,24511,birth_yr_c,0.9297,0.0206,45.2,0.0
edu_yrs,male,24511,urban,4.3092,0.0486,88.64,0.0
edu_yrs,male,24511,log_income,0.212,0.0084,25.23,0.0
edu_yrs,female,26798,ideation,-0.3173,0.1387,-2.29,0.02219
edu_yrs,female,26798,birth_yr_c,1.0966,0.0201,54.65,0.0
edu_yrs,female,26798,urban,4.41,0.0469,94.05,0.0
edu_yrs,female,26798,log_income,0.2174,0.0079,27.56,0.0
employed,all,49960,ideation,-0.0145,0.0123,-1.18,0.23791
employed,all,49960,female,-0.0412,0.0076,-5.42,0.0
employed,all,49960,ideation_x_female,0.0649,0.0171,3.8,0.00014
employed,all,49960,birth_yr_c,0.0197,0.0013,15.08,0.0
employed,all,49960,urban,-0.438,0.0038,-116.48,0.0
employed,all,49960,edu_yrs,-0.0044,0.0004,-11.83,0.0
employed,all,49960,log_income,0.0668,0.0005,123.58,0.0
